tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0167260,2003,AAFCA Award,Best Picture,True,False,The Lord of the Rings: The Return of the King,,[],The Lord of the Rings: The Return of the King,2003.0,Others,2077482553
tt0317248,2003,AAFCA Award,Top 10 Films,True,False,City of God,,[],City of God,2004.0,Others,52489246
tt0301199,2003,AAFCA Award,Top 10 Films,True,False,Dirty Pretty Things,,[],Dirty Pretty Things,2003.0,Others,30380379
tt0266543,2003,AAFCA Award,Top 10 Films,True,False,Finding Nemo,,[],Finding Nemo,2003.0,Others,1879867520
tt0298845,2003,AAFCA Award,Top 10 Films,True,False,In America,,[],In America,2004.0,Drama,56163695
tt0335266,2003,AAFCA Award,Top 10 Films,True,False,Lost in Translation,,[],Lost in Translation,2003.0,Drama,225532721
tt0327056,2003,AAFCA Award,Top 10 Films,True,False,Mystic River,,[],Mystic River,2003.0,Others,340818679
tt0317740,2003,AAFCA Award,Top 10 Films,True,True,The Italian Job,,[],The Italian Job,2003.0,Others,392999083
tt0325710,2003,AAFCA Award,Top 10 Films,True,False,The Last Samurai,,[],The Last Samurai,2003.0,Others,784467919
tt0343121,2003,AAFCA Award,Top 10 Films,True,False,Tupac: Resurrection,,[],Tupac: Resurrection,2003.0,Biography,21506871
tt0350258,2004,AAFCA Award,Best Picture,True,False,Ray,,[],Ray,2004.0,Biography,266796631
tt0367790,2004,AAFCA Award,Top 10 Films,True,False,Baadasssss!,,[],Baadasssss!,2004.0,Biography,1009295
tt0306597,2004,AAFCA Award,Top 10 Films,True,False,Brother to Brother,,[],Brother to Brother,2004.0,Drama,223276
tt0369339,2004,AAFCA Award,Top 10 Films,True,False,Collateral,,[],Collateral,2004.0,Others,429737269
tt0308644,2004,AAFCA Award,Top 10 Films,True,False,Finding Neverland,,[],Finding Neverland,2004.0,Biography,226046811
tt0395169,2004,AAFCA Award,Top 10 Films,True,False,Hotel Rwanda,,[],Hotel Rwanda,2005.0,Biography,76495369
tt0405159,2004,AAFCA Award,Top 10 Films,True,False,Million Dollar Baby,,[],Million Dollar Baby,2005.0,Drama,425139474
tt0375063,2004,AAFCA Award,Top 10 Films,True,False,Sideways,,[],Sideways,2005.0,Others,242831604
tt0338751,2004,AAFCA Award,Top 10 Films,True,False,The Aviator,,[],The Aviator,2004.0,Biography,424790164
tt0399901,2004,AAFCA Award,Top 10 Films,True,False,Woman Thou Art Loosed,,[],Woman Thou Art Loosed,2004.0,Drama,18419080
tt0375679,2005,AAFCA Award,Best Picture,True,False,Crash,,[],Crash,2005.0,Others,201113069
tt0372784,2005,AAFCA Award,Top 10 Films,True,False,Batman Begins,,[],Batman Begins,2005.0,Others,762394583
tt0388795,2005,AAFCA Award,Top 10 Films,True,False,Brokeback Mountain,,[],Brokeback Mountain,2006.0,Drama,336486379
tt0379725,2005,AAFCA Award,Top 10 Films,True,False,Capote,,[],Capote,2006.0,Biography,100294797
tt0433383,2005,AAFCA Award,Top 10 Films,True,False,"Good Night, and Good Luck.",,[],"Good Night, and Good Luck.",2005.0,Biography,111477892
tt0410097,2005,AAFCA Award,Top 10 Films,True,False,Hustle & Flow,,[],Hustle & Flow,2005.0,Others,59854384
tt0395972,2005,AAFCA Award,Top 10 Films,True,False,North Country,,[],North Country,2005.0,Drama,55867638
tt0365737,2005,AAFCA Award,Top 10 Films,True,False,Syriana,,[],Syriana,2005.0,Drama,188024167
tt0387131,2005,AAFCA Award,Top 10 Films,True,False,The Constant Gardener,,[],The Constant Gardener,2005.0,Drama,150995124
tt0358273,2005,AAFCA Award,Top 10 Films,True,False,Walk the Line,,[],Walk the Line,2005.0,Biography,395683339
tt0443489,2006,AAFCA Award,Best Picture,True,False,Dreamgirls,,[],Dreamgirls,2006.0,Drama,327100979
tt0437800,2006,AAFCA Award,Top 10 Films,True,False,Akeelah and the Bee,,[],Akeelah and the Bee,2006.0,Drama,47935040
tt0308055,2006,AAFCA Award,Top 10 Films,True,False,Bobby,,[],Bobby,2006.0,Biography,40534363
