tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0311750,1962,APFF Award,Best Film,True,False,My Mother and Her Guest,nm0645661,Sang-ok Shin,My Mother and Her Guest,1961.0,Drama,31442959
tt0091355,1987,APFF Award,Best Screenplay,True,False,The Terrorizers,nm0945981,Edward Yang,The Terrorizers,1986.0,Others,2740
tt0101258,1991,Grand Jury Award,,True,True,Days of Being Wild,,[],Days of Being Wild,1991.0,Others,6148674
tt0105652,1992,APFF Award,Best Film,True,False,Pushing Hands,nm0000487,Ang Lee,Pushing Hands,1992.0,Others,558072
tt0106332,1993,APFF Award,Best Editing,True,False,Farewell My Concubine,nm0670482,Xiaonan Pei,Farewell My Concubine,1993.0,Drama,18300141
tt0111797,1994,APFF Award,Best Editing,True,False,Eat Drink Man Woman,nm0820163,Tim Squyres,Eat Drink Man Woman,1994.0,Others,25021075
tt0115486,1996,Grand Jury Award,,True,True,Ah-chung,,[],Zhong zi,1997.0,Drama,86
tt0113658,1996,APFF Award,Best Cinematography,True,False,Lilian's Story,nm0005744,Slawomir Idziak,Lilian's Story,1998.0,Drama,1905
tt0115760,1996,APFF Award,Best Editing,True,False,Broken English,nm0183473,David Coulson,Broken English,1997.0,Drama,1728267
tt0117905,1997,APFF Award,Best Screenplay,True,False,Comrades: Almost a Love Story,nm0387306,Ivy Ho,Comrades: Almost a Love Story,1997.0,Drama,56182
tt0192657,1999,Best Film,,True,True,Shiri,nm0126496,Moo-Rim Byun,Shiri,2002.0,Action,336817
tt0212423,1999,Best Film,,True,False,The Personals,nm0398836,Li-Kong Hsu,The Personals,1998.0,Others,31871
tt0245837,2000,Special Jury Award,,True,True,Chunhyang,nm0407990,Kwon-taek Im,Chunhyang,2000.0,Drama,1172319
tt0118694,2000,APFF Award,Best Cinematography,True,False,In the Mood for Love,nm0236313,Christopher Doyle,In the Mood for Love,2001.0,Drama,22616335
tt0253378,2000,APFF Award,Best Screenplay,True,False,Virgin Stripped Bare by Her Bachelors,nm0393254,Sang-soo Hong,Virgin Stripped Bare by Her Bachelors,2001.0,Others,5708
tt0284880,2001,APFF Award,Best Art Direction,True,False,Bang Rajan,nm0995696,Bunthin Thuaykaew,Bang Rajan,2001.0,Action,75177
tt0275083,2001,APFF Award,Best Editing,True,False,The Warrior,nm0453479,Hyun Kim,The Warrior,2002.0,Action,1342190
tt0269746,2001,APFF Award,Best Film,True,False,What Time Is It There?,nm0158857,Ming-liang Tsai,What Time Is It There?,2001.0,Drama,661066
tt0259744,2001,APFF Award,Best Music,True,False,Fleeing by Night,nm0044951,Chris Babida,Fleeing by Night,2000.0,Drama,18782
tt0266705,2001,APFF Award,Best Screenplay,True,False,The Child and the Soldier,nm0591925,Reza Mirkarimi,The Child and the Soldier,2000.0,Drama,5761
tt0286098,2002,Best Special Effects,,True,True,Zu Warriors,,[],Zu Warriors,2006.0,Action,180449
tt0287645,2002,Special Jury Award,,True,True,Rain,nm0420422,Christine Jeffs,Rain,2002.0,Drama,1367672
tt0293660,2002,APFF Award,Best Cinematography,True,False,The Touch,nm0666702,Peter Pau,The Touch,2003.0,Action,3138395
tt0335177,2002,APFF Award,Best Film,True,False,Inochi,nm0793997,Tetsuo Shinohara,Inochi,2002.0,Drama,5911718
tt0306359,2002,APFF Award,Best Sound,True,False,Transistor Love Story,,[],Transistor Love Story,2002.0,Others,5304
tt0377556,2003,Special Jury Award,,True,True,"Goodbye, Dragon Inn",nm0158857,Ming-liang Tsai,"Goodbye, Dragon Inn",2003.0,Others,1470800
tt0328500,2003,APFF Award,Best Art Direction,True,False,T.R.Y.,nm0408349,Hisao Inagaki,T.R.Y.,2003.0,Action,12140027
tt0338564,2003,APFF Award,Best Sound,True,False,Infernal Affairs,nm0874686,Kinson Tsang,Infernal Affairs,2004.0,Others,12120184
tt0359784,2004,APFF Award,Best Animated Film,True,False,Oseam,nm1347425,Baek-yeob Seong,Oseam,2004.0,Others,8912
tt0369060,2004,APFF Award,Best Editing,True,False,Infernal Affairs II,nm1323871,Curran Pang,Infernal Affairs II,2004.0,Action,4343124
tt0465636,2004,APFF Award,Best Film,True,False,Taipei 21,nm0795908,Alex Yang,Taipei 21,2004.0,Drama,19370
tt0415046,2004,APFF Award,Best Music,True,False,The Overture,nm1041228,Chatchai Pongprapaphan,The Overture,2005.0,Others,1720190
tt0373786,2004,APFF Award,Best Special Effects,True,False,Devilman,nm0125206,Hiroshi Butsuda,Devilman,2004.0,Action,5450438
tt0453396,2005,APFF Award,Best Art Direction,True,False,Samurai Commando Mission 1549,nm0793693,Takeshi Shimizu,Samurai Commando Mission 1549,2005.0,Action,19246526
tt0386064,2005,APFF Award,Best Film,True,False,Tae Guk Gi: The Brotherhood of War,nm0437625,Je-kyu Kang,Tae Guk Gi: The Brotherhood of War,2004.0,Action,95818465
tt0442574,2005,APFF Award,Best Screenplay,True,False,The Moon Also Rises,nm0510862,Cheng-sheng Lin,The Moon Also Rises,2005.0,Drama,19685
tt0470130,2005,APFF Award,Best Special Effects,True,False,Necromancer,nm1983812,Piyapan Choopetch,Necromancer,2005.0,Others,1162459
tt0454914,2006,APFF Award,Best Art Direction,True,False,Perhaps Love,nm0354008,Chung Man Yee,Perhaps Love,2007.0,Drama,3270545
tt0465676,2006,APFF Award,Best Cinematography,True,False,The Banquet,nm0955377,Li Zhang,The Banquet,2007.0,Action,28530704
tt0468492,2006,APFF Award,Best Editing,True,False,The Host,nm1030527,Sun-min Kim,The Host,2007.0,Action,114034597
tt1360860,2009,Special Jury Award,,True,True,About Elly,nm1410815,Asghar Farhadi,About Elly,2009.0,Drama,1617130
tt1604900,2010,APFF Award,Best Art Direction,True,False,Monga,nm3823092,Po-Jen Chen,Monga,2011.0,Action,4924944
tt1703914,2010,APFF Award,Best Cinematography,True,False,The Fourth Portrait,nm3010935,Mong-Hong Chung,The Fourth Portrait,2011.0,Drama,10418
tt1562343,2010,APFF Award,Best Documentary Film,True,False,KJ: Music and Life,nm1095800,King-wai Cheung,KJ: Music and Life,2009.0,Others,101801
tt1954470,2012,APFF Award,Best Art Direction,True,False,Gangs of Wasseypur,nm1210045,Wasiq Khan,Gangs of Wasseypur,2014.0,Action,715
tt2301291,2012,APFF Award,Best Art Direction,False,False,Din Tao: Leader of the Parade,nm5971755,Yung-kun Lai,Din Tao: Leader of the Parade,2012.0,Others,309438
tt2290840,2012,APFF Award,Best Art Direction,False,False,Masquerade,nm5357043,Heung-seok Oh,Masquerade,2012.0,Drama,90207169
tt2078768,2012,APFF Award,Best Art Direction,True,False,The Silent War,nm0541217,Lim Chung Man,The Silent War,2012.0,Others,887699
tt2084098,2012,APFF Award,Best Cinematography,True,False,Starry Starry Night,nm0689667,Jake Pollock,Starry Starry Night,2012.0,Drama,667669
tt2330866,2012,APFF Award,Best Cinematography,False,False,The Thieves,nm0158883,Young-hwan Choi,The Thieves,2012.0,Action,93030180
tt2186715,2012,APFF Award,Best Editing,True,False,Cold War,nm0477274,Chi-Leung Kwong,Cold War,2013.0,Action,8064233
tt1970077,2012,APFF Award,Best Editing,False,False,Dreams for Sale,nm0594366,Ryûji Miyajima,Dreams for Sale,2013.0,Others,4424189
tt2398136,2012,APFF Award,Best Editing,False,False,I Miss U,nm5033504,Nitipod Kositngamdeewongse,I Miss U,2012.0,Others,576245
tt1371585,2012,APFF Award,Best Film,True,False,Life Without Principle,,[],Life Without Principle,2012.0,Others,618099
tt1650453,2012,APFF Award,Best Film,False,False,I Wish,,[],I Wish,2012.0,Drama,1876132
tt1996310,2012,APFF Award,Best Film,False,False,Lore,,[],Lore,2012.0,Drama,3681414
tt2082197,2012,APFF Award,Best Music,True,False,Barfi!,nm1338587,Pritam Chakraborty,Barfi!,2012.0,Others,8056042
tt2319760,2012,APFF Award,Best Screenplay,False,False,Girlfriend Boyfriend,nm3127578,Ya-che Yang,Girlfriend Boyfriend,2012.0,Drama,812015
tt2078599,2012,APFF Award,Best Screenplay,False,False,Key of Life,nm1932020,Kenji Uchida,Key of Life,2012.0,Others,4915154
tt2082221,2012,APFF Award,Best Sound,False,False,Nameless Gangster: Rules of the Time,nm1255630,Suk-won Kim,Nameless Gangster: Rules of the Time,2013.0,Action,34868910
tt2473804,2012,APFF Award,Best Sound,False,False,The Wedding Diary,nm0038407,Sunij Asavinikul,The Wedding Diary,2012.0,Others,1384557
tt2350496,2013,Outstanding Achievement Award,,True,True,The Lunchbox,nm0451234,Irrfan Khan,The Lunchbox,2013.0,Drama,17326228
tt1706620,2013,APFF Award,Best Art Direction,True,False,Snowpiercer,nm0624983,Ondrej Nekvasil,Snowpiercer,2014.0,Action,97952982
tt2776344,2013,APFF Award,Best Art Direction,False,False,Pee Mak,nm0467780,Arkadech Keawkotr,Pee Mak,2013.0,Others,14259625
tt1462900,2013,APFF Award,Best Art Direction,True,False,The Grandmaster,nm0151858,William Chang,The Grandmaster,2013.0,Action,87960967
tt2347134,2013,APFF Award,Best Art Direction,False,False,Unforgiven,nm0361739,Mitsuo Harada,Unforgiven,2014.0,Action,7290132
tt2409302,2013,APFF Award,Best Art Direction,False,False,Why Don't You Play in Hell?,nm0408349,Hisao Inagaki,Why Don't You Play in Hell?,2014.0,Action,1360321
tt3119416,2013,APFF Award,Best Cinematography,True,False,Stray Dogs,nm0508684,Pen-Jung Liao,Stray Dogs,2013.0,Drama,26267
tt2969656,2013,APFF Award,Best Editing,False,False,Cold Eyes,nm1315834,Min-kyeong Shin,Cold Eyes,2013.0,Action,36111244
tt2331143,2013,APFF Award,Best Editing,True,False,"Like Father, Like Son",nm0466153,Hirokazu Koreeda,"Like Father, Like Son",2013.0,Drama,22170045
tt2901736,2013,APFF Award,Best Film,False,False,Ilo Ilo,nm2021547,Anthony Chen,Ilo Ilo,2013.0,Drama,1347479
tt2741806,2013,APFF Award,Best Film,False,False,In Bloom,nm2206574,Nana Ekvtimishvili,In Bloom,2014.0,Drama,167507
tt2500392,2013,APFF Award,Best Music,False,False,Ask This of Rikyu,nm0412611,Tarô Iwashiro,Ask This of Rikyu,2014.0,Drama,7472686
tt2580928,2013,APFF Award,Best Music,False,False,Mt. Zion,nm5792317,Shane McLean,Mt. Zion,2013.0,Drama,461749
tt2901548,2013,APFF Award,Best Music,False,False,The Rooftop,nm1727100,Jay Chou,The Rooftop,2013.0,Action,21790770
tt2626926,2013,APFF Award,Best Screenplay,False,False,Closed Curtain,nm0070159,Jafar Panahi,Closed Curtain,2013.0,Drama,67658
tt2765340,2013,APFF Award,Best Screenplay,False,False,So Young,nm1829803,Qiang Li,So Young,2013.0,Drama,125788617
tt2594950,2013,APFF Award,Best Screenplay,False,False,The Major,nm4021775,Yuriy Bykov,The Major,2013.0,Action,63643
tt3003668,2013,APFF Award,Best Sound,False,False,Unbeatable,nm0155611,Phyllis Cheng,Unbeatable,2014.0,Action,27828113
tt5923026,2018,Special Award,,True,True,Marlina the Murderer in Four Acts,,[],Marlina the Murderer in Four Acts,2017.0,Drama,45708
tt3741834,2018,APFF Award,Best Cinematography,True,False,Lion,nm0292132,Greig Fraser,Lion,2017.0,Others,202102882
tt6113666,2018,APFF Award,Best Costume Design,False,False,Thinking of Him,,[],Thinking of Him,2018.0,Drama,235
tt6788942,2018,APFF Award,Best Editing,True,False,Bad Genius,nm5292893,Chonlasit Upanigkit,Bad Genius,2017.0,Others,46487422
tt3758172,2018,APFF Award,Best Visual Effects,False,False,Jungle,,[],Jungle,2017.0,Action,1975318
