tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt1996310,2013,Tiantian Award,Best Cinematography,True,False,Lore,nm1714622,Adam Arkapaw,Lore,2012.0,Drama,3681414
tt2113822,2013,Tiantian Award,Best Picture,True,False,Back to 1942,nm0271815,Xiaogang Feng,Back to 1942,2012.0,Drama,1366913
tt1942060,2013,Tiantian Award,Best Picture,True,False,The German Friend,nm0576197,Jeanine Meerapfel,The German Friend,2013.0,Drama,94596
tt2379436,2013,Tiantian Award,Best Picture,False,False,Gone Fishing,nm0815044,Carlos Sorin,Gone Fishing,2012.0,Drama,332935
tt1836808,2013,Tiantian Award,Best Picture,False,False,Great Expectations,nm0001565,Mike Newell,Great Expectations,2013.0,Drama,7084736
tt2180587,2013,Tiantian Award,Best Picture,False,False,Home for the Weekend,nm0772691,Hans-Christian Schmid,Home for the Weekend,2012.0,Drama,861715
tt2336960,2013,Tiantian Award,Best Picture,True,False,Inch'Allah,nm1932706,Anaïs Barbeau-Lavalette,Inch'Allah,2013.0,Drama,357841
tt2125496,2013,Tiantian Award,Best Picture,False,False,Manslaughter,nm0474233,Pieter Kuijpers,Manslaughter,2012.0,Drama,795905
tt1047011,2013,Tiantian Award,Best Picture,True,False,Unfinished Song,nm1440314,Paul Andrew Williams,Unfinished Song,2013.0,Comedy,9609545
tt1934205,2013,Tiantian Award,Best Picture,False,False,What the Day Owes the Night,nm0002178,Alexandre Arcady,What the Day Owes the Night,2012.0,Drama,1567979
tt1462900,2014,Tiantian Award,Best Cinematography,True,False,The Grandmaster,nm0494628,Philippe Le Sourd,The Grandmaster,2013.0,Others,87960967
tt2474438,2014,Tiantian Award,Best Music,True,False,Attila Marcel,,[],Attila Marcel,2014.0,Comedy,1286389
tt2932606,2014,Tiantian Award,Best Picture,True,False,Siddharth,,[],Siddharth,2013.0,Drama,142382
tt2191082,2014,Tiantian Award,Best Picture,False,False,A Promise,nm0496312,Patrice Leconte,A Promise,2014.0,Drama,529485
tt2278392,2014,Tiantian Award,Best Picture,True,False,American Dreams in China,nm0151066,Peter Ho-Sun Chan,American Dreams in China,2013.0,Drama,95302344
tt1839522,2014,Tiantian Award,Best Picture,False,False,Circles,nm0326740,Srdan Golubovic,Circles,2013.0,Drama,79475
tt2901736,2014,Tiantian Award,Best Picture,False,False,Ilo Ilo,nm2021547,Anthony Chen,Ilo Ilo,2013.0,Drama,1347479
tt2741806,2014,Tiantian Award,Best Picture,False,False,In Bloom,nm2206574,Nana Ekvtimishvili,In Bloom,2014.0,Drama,167507
tt2544182,2014,Tiantian Award,Best Picture,False,False,The Enemy Within,nm0874905,Yorgos Tsemberopoulos,The Enemy Within,2014.0,Others,51904
tt2178256,2014,Tiantian Award,Best Picture,True,False,The Rocket,nm1203596,Kim Mordaunt,The Rocket,2013.0,Drama,555962
tt2343793,2014,Tiantian Award,Best Picture,False,False,Third Person,nm0353673,Paul Haggis,Third Person,2014.0,Drama,3930319
tt3078718,2014,Tiantian Award,Best Picture,False,False,"Zoran, My Nephew the Idiot",nm2663031,Matteo Oleotto,"Zoran, My Nephew the Idiot",2013.0,Comedy,911841
tt3660378,2015,Tiantian Award,Best Music,True,False,Gruber geht,nm7066340,Florian Blauensteiner,Gruber geht,2015.0,Drama,301985
tt4084744,2015,Tiantian Award,Best Picture,False,False,Battle for Sevastopol,,[],Battle for Sevastopol,2016.0,Others,8102001
tt3726704,2015,Tiantian Award,Best Picture,False,False,Experimenter,nm0021899,Michael Almereyda,Experimenter,2015.0,Others,407994
tt2580658,2015,Tiantian Award,Best Picture,False,False,La scelta,nm0686375,Michele Placido,La scelta,2015.0,Drama,1234513
tt3294200,2015,Tiantian Award,Best Picture,False,False,The Falling,nm1345246,Carol Morley,The Falling,2015.0,Drama,615108
tt3950078,2015,Tiantian Award,Best Picture,False,False,The Taking of Tiger Mountain,,[],The Taking of Tiger Mountain,2015.0,Others,155142665
tt4034414,2015,Tiantian Award,Best Picture,False,False,Whistle Blower,nm0948027,Soon-rye Yim,Whistle Blower,2015.0,Drama,13522870
tt2909116,2015,Tiantian Award,Best Picture,True,False,Wolf Totem,,[],Wolf Totem,2015.0,Others,135936624
tt3170902,2015,Forward Future Award,Best Picture by a New Director,True,True,Theeb,,[],Theeb,2015.0,Others,1149738
tt4374460,2016,Tiantian Award,Best Cinematography,True,False,Aferim!,nm1857454,Marius Panduru,Aferim!,2016.0,Others,494256
tt3841424,2016,Tiantian Award,Best Music,True,False,Land of Mine,nm2388529,Sune Martin,Land of Mine,2016.0,Drama,3888316
