tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0042332,1951,Golden Berlin Bear,Best Musical,True,True,Cinderella,nm0314671,Clyde Geronimi,Cinderella,1950.0,Others,2038619919
tt0044103,1951,Silver Berlin Bear,Best Musical,True,True,The Tales of Hoffmann,nm0003836,Michael Powell,The Tales of Hoffmann,1952.0,Others,1916995
tt0042393,1951,Bronze Berlin Bear,Best Crime or Adventure,True,True,Destination Moon,nm0681635,Irving Pichel,Destination Moon,1950.0,Others,52581893
tt0044602,1952,Silver Berlin Bear,,True,True,Fanfan la Tulipe,nm0160108,Christian-Jaque,Fanfan la Tulipe,1953.0,Others,585559
tt0046268,1953,Golden Berlin Bear,,True,False,The Wages of Fear,nm0167241,Henri-Georges Clouzot,The Wages of Fear,1955.0,Others,10509
tt0044741,1954,Golden Berlin Bear,Competition,False,True,Ikiru,nm0000041,Akira Kurosawa,Ikiru,1956.0,Drama,1439955
tt0050083,1957,Golden Berlin Bear,,True,True,12 Angry Men,nm0001486,Sidney Lumet,12 Angry Men,1957.0,Drama,5275
tt0051204,1957,Golden Berlin Bear,,False,True,Woman in a Dressing Gown,nm0496746,J. Lee Thompson,Woman in a Dressing Gown,1957.0,Drama,192979
tt0050986,1958,Golden Berlin Bear,,True,True,Wild Strawberries,nm0000005,Ingmar Bergman,Wild Strawberries,1959.0,Drama,127545
tt0052296,1958,Golden Berlin Bear,,False,False,A Time to Love and a Time to Die,nm0802862,Douglas Sirk,A Time to Love and a Time to Die,1958.0,Drama,100729
tt0288715,1958,Golden Berlin Bear,,False,False,The Outlaws,nm0468002,Nikos Koundouros,The Outlaws,1958.0,Others,86594
tt0051808,1959,Golden Berlin Bear,,False,True,The Hidden Fortress,nm0000041,Akira Kurosawa,The Hidden Fortress,1960.0,Others,802798
tt0053168,1960,Golden Berlin Bear,,False,False,Pickpocket,nm0000975,Robert Bresson,Pickpocket,1963.0,Crime,63183
tt0053964,1960,Golden Berlin Bear,,False,True,The Love Game,nm0003606,Philippe de Broca,The Love Game,1960.0,Comedy,39284
tt0054130,1961,Golden Berlin Bear,,True,False,La notte,nm0000774,Michelangelo Antonioni,La Notte,1962.0,Drama,666224
tt0055572,1961,Golden Berlin Bear,,False,True,A Woman Is a Woman,nm0000419,Jean-Luc Godard,A Woman Is a Woman,1964.0,Comedy,1654324
tt0054460,1961,Golden Berlin Bear,,False,False,The Bad Sleep Well,nm0000041,Akira Kurosawa,The Bad Sleep Well,1963.0,Crime,786953
tt0056141,1962,Golden Berlin Bear,,True,False,A Kind of Loving,nm0772259,John Schlesinger,A Kind of Loving,1962.0,Drama,116207
