tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0269746,2001,Netpac Award,,True,True,What Time Is It There?,nm0158857,Ming-liang Tsai,What Time Is It There?,2001.0,Drama,661066
tt0283900,2003,Audience Award,,True,False,L'auberge espagnole,nm0458251,Cédric Klapisch,L'auberge espagnole,2003.0,Comedy,51708661
tt0320193,2003,Netpac Award,,True,True,Oasis,nm0496969,Chang-dong Lee,Oasis,2004.0,Drama,9064124
tt0382806,2005,FIPRESCI Prize,,True,True,Look Both Ways,nm0915016,Sarah Watt,Look Both Ways,2005.0,Drama,3452335
tt0370986,2005,Interfaith Award,,True,True,Mysterious Skin,nm0000777,Gregg Araki,Mysterious Skin,2005.0,Drama,2951181
tt0381717,2005,Interfaith Award - Special Commendation,,True,True,Yes,nm0006845,Sally Potter,Yes,2004.0,Drama,1424698
tt0325675,2005,Netpac Award - Special Mention,,True,True,Boats Out of Watermelon Rinds,nm1204496,Ahmet Uluçay,Boats Out of Watermelon Rinds,2005.0,Comedy,17728
tt0477999,2006,Interfaith Award,,True,True,The Masseur,,[],The Masseur,2005.0,Drama,13855
tt1110272,2008,Cine Sparks Jury Award,,True,True,The King of Ping Pong,nm0429634,Jens Jonsson,The King of Ping Pong,2008.0,Drama,355060
tt0857191,2008,Interfaith Award,,True,True,The Visitor,nm0565336,Tom McCarthy,The Visitor,2008.0,Drama,32446338
tt1175523,2008,Interfaith Award - Special Commendation,,True,True,Little Moth,nm2897919,Tao Peng,Little Moth,2007.0,Drama,61472
tt1031930,2008,Netpac Award,,True,True,Foster Child,nm1137289,Brillante Mendoza,Foster Child,2008.0,Drama,211335
tt1360860,2009,Netpac Award,,True,True,About Elly,nm1410815,Asghar Farhadi,About Elly,2009.0,Drama,1617130
tt1846783,2011,Audience Award,,True,False,The Orator,nm4044077,Tusi Tamasese,The Orator,2012.0,Drama,836394
tt2125666,2012,Cine Sparks Jury Award,,True,True,The Queen of Versailles,,[],The Queen of Versailles,2012.0,Others,5521799
tt3399916,2013,Audience Award,,True,False,The Dead Lands,nm0822101,Glenn Standring,The Dead Lands,2015.0,Others,986392
