tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0165078,1999,Best Film,,True,True,After Life,nm0466153,Hirokazu Koreeda,After Life,1999.0,Drama,2466253
tt0157016,1999,Best Film,,False,False,I Stand Alone,nm0637615,Gaspar Noé,I Stand Alone,1998.0,Others,21727
tt0119577,1999,Best Film,,False,False,Love Is the Devil: Study for a Portrait of Francis Bacon,nm0562266,John Maybury,Love Is the Devil: Study for a Portrait of Francis Bacon,1998.0,Others,1103231
tt0156901,1999,Best Film,,False,True,The Apple,nm0538533,Samira Makhmalbaf,The Apple,1999.0,Drama,47247
tt0220726,2000,Best Film,,True,True,Human Resources,nm0134559,Laurent Cantet,Human Resources,2000.0,Comedy,174139
tt0192194,2000,Best Actor,,True,True,Julien Donkey-Boy,nm0001971,Ewen Bremner,Julien Donkey-Boy,1999.0,Comedy,270197
tt0181396,2000,OCIC Award,,True,True,But Forever in My Mind,nm0610831,Gabriele Muccino,But Forever in My Mind,2000.0,Comedy,35469
tt0166175,2000,OCIC Special Award,,True,True,East Is East,nm0640740,Damien O'Donnell,East Is East,2000.0,Comedy,12385534
tt0215369,2000,ADF Cinematography Award - Special Mention,,True,True,Shower,nm0955359,Jian Zhang,Shower,2000.0,Comedy,5038610
tt0237993,2001,Best Film,,False,False,101 Reykjavík,nm0466349,Baltasar Kormákur,101 Reykjavík,2000.0,Comedy,988211
tt0269743,2001,Best Film,,False,False,Barking Dogs Never Bite,nm0094435,Joon-ho Bong,Barking Dogs Never Bite,2001.0,Comedy,65334
tt0246266,2001,Best Film,,False,True,Blackboards,nm0538533,Samira Makhmalbaf,Blackboards,2000.0,Drama,95892
tt0302471,2001,Best Film,,False,False,El descanso,nm0604169,Rodrigo Moreno,El descanso,2002.0,Comedy,5683
tt0327730,2001,Best Film,,False,False,The Firefly,nm0442905,Naomi Kawase,The Firefly,2001.0,Drama,24896
tt0263957,2001,Best Film,,False,False,The Iron Ladies,nm0861129,Yongyoot Thongkongtoon,The Iron Ladies,2001.0,Comedy,60467
