tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0109454,1994,Golden Pyramid,,True,False,Colonel Chabert,nm0002174,Yves Angelo,Colonel Chabert,1994.0,Drama,1585128
tt0129923,1997,Golden Pyramid,,True,True,The Chambermaid on the Titanic,nm0000940,Bigas Luna,The Chambermaid on the Titanic,1998.0,Drama,2945297
tt0119683,1998,Golden Pyramid,,False,False,Les Misérables,nm0000806,Bille August,Les Misérables,1998.0,Others,44254135
tt0160513,2000,Golden Pyramid,,False,False,A Map of the World,nm0254623,Scott Elliott,A Map of the World,2000.0,Drama,1689028
tt0256259,2001,Golden Pyramid,,True,False,Pauline and Paulette,nm0213529,Lieven Debrauwer,Pauline and Paulette,2001.0,Comedy,769324
tt0181875,2001,Golden Pyramid,,False,True,Almost Famous,nm0001081,Cameron Crowe,Almost Famous,2000.0,Others,117576412
tt0296008,2001,Golden Pyramid,,False,False,Inch'Allah dimanche,nm0071117,Yamina Benguigui,Inch'Allah dimanche,2002.0,Others,552592
tt0290858,2001,Golden Pyramid,,False,False,"Sia, the Dream of the Python",nm0468125,Dani Kouyaté,"Sia, the Dream of the Python",2002.0,Drama,34810
tt0279747,2002,Golden Pyramid,,False,False,Broken Hearts,nm0599472,Rafael Montero,Broken Hearts,2001.0,Others,885565
tt0240521,2002,Golden Pyramid,,False,False,Ferocious,nm0537923,Gilles de Maistre,Ferocious,2002.0,Drama,280507
tt0355715,2002,Golden Pyramid,,False,True,His Excellency the Minister,nm0782484,Samir Seif,His Excellency the Minister,2003.0,Drama,1025491
tt0277027,2002,Golden Pyramid,,False,True,I Am Sam,nm0625458,Jessie Nelson,I Am Sam,2002.0,Drama,199315883
tt0336018,2002,Golden Pyramid,,False,False,Sleeping Beauties,nm0523566,Eloy Lozano,Sleeping Beauties,2001.0,Drama,8003
tt0362274,2002,Golden Pyramid,,False,False,"Va, petite!",nm0346365,Alain Guesnier,"Va, petite!",2003.0,Others,14917
tt0366581,2003,Golden Pyramid,Best Film,False,True,Girl's Love,nm0015706,Khaled El Hagar,Girl's Love,2004.0,Comedy,677029
tt0336432,2003,Golden Pyramid,Best Film,False,False,Only Girls,nm0427136,Pierre Jolivet,Only Girls,2004.0,Comedy,1647291
tt0416494,2004,Golden Pyramid,,False,True,Al bahethat an al horeya,nm1405841,Enas El-Degheidy,Al bahethat an al horeya,2004.0,Drama,266077
tt0387844,2004,Golden Pyramid,,False,False,Asmali konak: Hayat,nm1283973,Abdullah Oguz,Asmali konak: Hayat,2003.0,Drama,10939221
tt0362789,2004,Golden Pyramid,,False,True,Ay Juancito,nm0647055,Héctor Olivera,Ay Juancito,2004.0,Others,343208
tt0347334,2004,Golden Pyramid,,False,True,Bless the Woman,nm0332892,Stanislav Govorukhin,Bless the Woman,2003.0,Drama,833526
tt0456902,2004,Golden Pyramid,,False,False,Concorso di colpa,nm0289576,Claudio Fragasso,Concorso di colpa,2005.0,Others,103806
tt0452774,2004,Golden Pyramid,,False,True,Enta omry,nm0950352,Khaled Youssef,Enta omry,2004.0,Drama,600312
tt0387952,2004,Golden Pyramid,,False,True,The Giraffe's Neck,nm1465130,Safy Nebbou,The Giraffe's Neck,2004.0,Drama,1857798
tt0343221,2005,Golden Pyramid,,True,False,Mother of Mine,nm0405605,Klaus Härö,Mother of Mine,2006.0,Drama,3667812
tt0478213,2005,Best Arabic Film,,True,True,A New Day in Old Sana'a,nm2026756,Bader Ben Hirsi,A New Day in Old Sana'a,2006.0,Drama,1869
tt0446298,2006,Golden Pyramid,Best Film,False,False,Civic Duty,nm1199954,Jeff Renfroe,Civic Duty,2006.0,Drama,258896
tt1050719,2006,Golden Pyramid,Best Film,False,True,Cut and Paste,nm1672004,Hala Khalil,Cut and Paste,2008.0,Comedy,50581
tt0488414,2006,Golden Pyramid,Best Film,False,True,Omkara,nm0080235,Vishal Bhardwaj,Omkara,2006.0,Others,22240486
tt0365737,2006,Special Award,Arabs in The International Cinema,True,True,Syriana,nm0906756,Amr Waked,Syriana,2005.0,Drama,188024167
tt0853246,2007,Golden Pyramid,Best Film,False,True,Kicks,nm0855350,Albert Ter Heerdt,Kicks,2007.0,Others,600608
tt0834951,2007,Golden Pyramid,Best Film,False,False,Seachd: The Inaccessible Pinnacle,nm2126684,Simon David Miller,Seachd: The Inaccessible Pinnacle,2007.0,Drama,24434
tt1325618,2007,Best Actress,,True,True,Polnoe dykhanie,nm0529414,Tatyana Lyutaeva,Polnoe dykhanie,2007.0,Drama,22279
tt0986379,2007,Best Actress,,True,True,Ópera,nm2586944,Marina Magro,Ópera,2008.0,Drama,9095
tt1176942,2008,Golden Pyramid,Best Film,True,False,Return to Hansala,nm0349484,Chus Gutiérrez,Return to Hansala,2009.0,Drama,169713
tt1086214,2008,Silver Pyramid,Special Jury Award,True,True,Cut Loose,nm0894178,Jan Verheyen,Cut Loose,2009.0,Drama,730455
