tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0032138,1939,Palme d'Or,,False,False,The Wizard of Oz,nm0281808,Victor Fleming,The Wizard of Oz,1939.0,Others,942764496
tt0037558,1946,Grand Prize of the Festival,Feature Film,False,True,Brief Encounter,nm0000180,David Lean,Brief Encounter,1946.0,Drama,906347
tt0038890,1946,Grand Prize of the Festival,Feature Film,False,True,"Rome, Open City",nm0744023,Roberto Rossellini,"Rome, Open City",1946.0,Drama,235951
tt0038348,1946,Grand Prize of the Festival,Feature Film,False,True,Beauty and the Beast,nm0168413,Jean Cocteau,Beauty and the Beast,1947.0,Drama,6524511
tt0038787,1946,Grand Prize of the Festival,Feature Film,False,True,Notorious,nm0000033,Alfred Hitchcock,Notorious,1946.0,Drama,1067739
tt0033563,1947,Award,Best Animation Design,False,True,Dumbo,nm0789313,Ben Sharpsteen,Dumbo,1941.0,Others,62316
tt0039155,1947,Award,Best Psychological and Love Film,False,True,Antoine and Antoinette,nm0065442,Jacques Becker,Antoine and Antoinette,1948.0,Comedy,208389
tt0041959,1949,Grand Prize of the Festival,,False,True,The Third Man,nm0715346,Carol Reed,The Third Man,1950.0,Others,23987225
tt0041710,1949,Grand Prize of the Festival,,False,True,Occupe-toi d'Amélie..!,nm0002193,Claude Autant-Lara,Occupe-toi d'Amélie..!,1951.0,Comedy,101245
tt0041800,1949,Grand Prize of the Festival,,False,True,Rendezvous in July,nm0065442,Jacques Becker,Rendezvous in July,1949.0,Comedy,245174
tt0041735,1949,Grand Prize of the Festival,,False,True,The Passionate Friends,nm0000180,David Lean,The Passionate Friends,1949.0,Drama,433089
tt0045251,1952,Grand Prize of the Festival,,False,True,Othello,nm0000080,Orson Welles,Othello,1955.0,Drama,550615
tt0043278,1952,Grand Prize of the Festival,,False,True,An American in Paris,nm0591486,Vincente Minnelli,An American in Paris,1951.0,Drama,46414
tt0045274,1952,Grand Prize of the Festival,,False,True,Umberto D.,nm0001120,Vittorio De Sica,Umberto D.,1955.0,Drama,1364493
tt0044518,1953,Grand Prize of the Festival,Best Short Film,False,True,White Mane,nm0483738,Albert Lamorisse,White Mane,1953.0,Drama,9382231
tt0045897,1953,Grand Prize of the Festival,,False,True,I Confess,nm0000033,Alfred Hitchcock,I Confess,1953.0,Crime,19286641
tt0046487,1953,Grand Prize of the Festival,,False,True,Monsieur Hulot's Holiday,nm0004244,Jacques Tati,Monsieur Hulot's Holiday,1954.0,Comedy,1980772
tt0046183,1953,Grand Prize of the Festival,,False,True,Peter Pan,nm0527217,Hamilton Luske,Peter Pan,1953.0,Others,1685742170
tt0045935,1954,Grand Prize of the Festival,,False,True,Gate of Hell,nm0455938,Teinosuke Kinugasa,Gate of Hell,1954.0,Drama,70586
tt0046851,1955,Palme d'Or,,False,False,A Story from Chikamatsu,nm0003226,Kenji Mizoguchi,A Story from Chikamatsu,1970.0,Drama,60086
tt0047849,1955,Palme d'Or,,False,True,Bad Day at Black Rock,nm0836328,John Sturges,Bad Day at Black Rock,1955.0,Crime,103492
tt0048028,1955,Palme d'Or,,False,True,East of Eden,nm0001415,Elia Kazan,East of Eden,1955.0,Drama,230462
tt0048021,1955,Palme d'Or,,False,True,Rififi,nm0202088,Jules Dassin,Rififi,1956.0,Crime,9764536
tt0048198,1956,Palme d'Or,,False,False,I Live in Fear,nm0000041,Akira Kurosawa,I Live in Fear,1967.0,Drama,727154
tt0048473,1956,Palme d'Or,,False,True,Pather Panchali,nm0006249,Satyajit Ray,Pather Panchali,1958.0,Drama,2383785
tt0048641,1956,Palme d'Or,,False,True,Smiles of a Summer Night,nm0000005,Ingmar Bergman,Smiles of a Summer Night,1957.0,Comedy,101940
tt0049291,1956,Palme d'Or,,False,False,The Harder They Fall,nm0733476,Mark Robson,The Harder They Fall,1956.0,Drama,12824899
tt0049470,1956,Palme d'Or,,False,False,The Man Who Knew Too Much,nm0000033,Alfred Hitchcock,The Man Who Knew Too Much,1956.0,Drama,76946
tt0049531,1956,Palme d'Or,,False,True,The Mystery of Picasso,nm0167241,Henri-Georges Clouzot,The Mystery of Picasso,1957.0,Biography,2418549
tt0050237,1957,Palme d'Or,,False,True,He Who Must Die,nm0202088,Jules Dassin,He Who Must Die,1958.0,Drama,128817
tt0050783,1957,Palme d'Or,,False,True,The Nights of Cabiria,nm0000019,Federico Fellini,The Nights of Cabiria,1957.0,Drama,13611443
tt0050976,1957,Palme d'Or,,False,True,The Seventh Seal,nm0000005,Ingmar Bergman,The Seventh Seal,1958.0,Drama,2038822
tt0050634,1958,Palme d'Or,,True,True,The Cranes Are Flying,nm0435563,Mikhail Kalatozov,The Cranes Are Flying,1960.0,Drama,219406
tt0052893,1959,Palme d'Or,,False,False,Hiroshima mon amour,nm0720297,Alain Resnais,Hiroshima Mon Amour,1960.0,Drama,1698493
tt0053198,1959,Palme d'Or,,False,True,The 400 Blows,nm0000076,François Truffaut,The 400 Blows,1959.0,Crime,1110442
