tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0062315,1967,Gold Hugo,Best Feature,False,False,Sublokator,nm0538105,Janusz Majewski,Sublokator,1967.0,Comedy,14049091
tt0063803,1967,Gold Hugo,Best Feature,False,False,Who's That Knocking at My Door,nm0000217,Martin Scorsese,Who's That Knocking at My Door,1968.0,Drama,117107
tt0065551,1971,Gold Hugo,Best Feature,False,False,"Ciao, Federico!",nm0045477,Gideon Bachmann,"Ciao, Federico!",1970.0,Documentary,5350
tt0065671,1971,Gold Hugo,Best Feature,False,False,Dyadya Vanya,nm0464846,Andrey Konchalovskiy,Dyadya Vanya,1971.0,Drama,12183
tt0069293,1972,Gold Hugo,Best Feature,False,False,Solaris,nm0001789,Andrei Tarkovsky,Solaris,1972.0,Drama,474704
tt0070460,1973,Gold Hugo,Best Feature,False,False,Day for Night,nm0000076,François Truffaut,Day for Night,1973.0,Comedy,5755
tt0070040,1973,Gold Hugo,Best Feature,False,False,The Spirit of the Beehive,nm0258977,Víctor Erice,The Spirit of the Beehive,1973.0,Drama,733857
tt0071219,1974,Gold Hugo,Best Feature,False,False,A Bigger Splash,nm0371883,Jack Hazan,A Bigger Splash,1973.0,Biography,959173
tt0071521,1974,Gold Hugo,Best Feature,False,False,Freebie and the Bean,nm0750701,Richard Rush,Freebie and the Bean,1974.0,Others,14771560
tt0073486,1975,Gold Hugo,Best Feature,False,False,One Flew Over the Cuckoo's Nest,nm0001232,Milos Forman,One Flew Over the Cuckoo's Nest,1975.0,Drama,1007306925
tt0071691,1975,Gold Hugo,Best Feature,False,False,The Enigma of Kaspar Hauser,nm0001348,Werner Herzog,The Enigma of Kaspar Hauser,1975.0,Biography,13451
tt0073076,1976,Gold Hugo,Best Feature,False,False,Grey Gardens,nm0563100,David Maysles,Grey Gardens,1975.0,Comedy,345626
tt0074152,1976,Gold Hugo,Best Feature,False,False,Small Change,nm0000076,François Truffaut,Small Change,1976.0,Comedy,342540
tt0074888,1976,Gold Hugo,Best Feature,False,False,The Best Way to Walk,nm0002218,Claude Miller,The Best Way to Walk,1976.0,Drama,60771
tt0076446,1978,Gold Hugo,Best Feature,False,False,An Unfinished Piece for Mechanical Piano,nm0586482,Nikita Mikhalkov,Unfinished Piece for the Player Piano,1978.0,Drama,7795
tt0077427,1978,Gold Hugo,Best Feature,False,False,Germany in Autumn,nm0116753,Alf Brustellin,Germany in Autumn,1978.0,Documentary,1294
tt0077651,1978,Gold Hugo,Best Feature,False,False,Halloween,nm0000118,John Carpenter,Halloween,1978.0,Others,357995707
tt0078008,1978,Gold Hugo,Best Feature,False,False,Northern Lights,nm0361301,John Hanson,Northern Lights,1978.0,Drama,71682
tt0079010,1979,Gold Hugo,Best Feature,False,False,Christ Stopped at Eboli,nm0742940,Francesco Rosi,Christ Stopped at Eboli,1979.0,Drama,428088
tt0079907,1979,Gold Hugo,Best Feature,False,False,Siberiade,nm0464846,Andrey Konchalovskiy,Siberiade,1979.0,Drama,5957
tt0080913,1980,Gold Hugo,Best Feature,False,False,The Idolmaker,nm0000431,Taylor Hackford,The Idolmaker,1980.0,Biography,15695823
tt0082095,1981,Gold Hugo,Best Feature,False,False,Das Boot ist voll,nm0408195,Markus Imhoof,Das Boot ist voll,1981.0,Drama,9854
tt0082222,1981,Gold Hugo,Best Feature,False,False,Man of Iron,nm0906667,Andrzej Wajda,Man of Iron,1981.0,Drama,2692474
tt0081606,1981,Gold Hugo,Best Feature,False,False,Taxi zum Klo,nm0728111,Frank Ripploh,Taxi zum Klo,1981.0,Comedy,7874
tt0082370,1981,Gold Hugo,Best Feature,False,False,The Woman Next Door,nm0000076,François Truffaut,The Woman Next Door,1981.0,Drama,2785
tt0082269,1981,Silver Hugo,Best First Feature Film,True,True,Diva,nm0000894,Jean-Jacques Beineix,Diva,1982.0,Others,592494
tt0083745,1982,Gold Hugo,Best Feature,True,False,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",nm0000265,Robert Altman,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",1982.0,Comedy,4376886
tt0083694,1982,Gold Hugo,Best Feature,False,False,Britannia Hospital,nm0000755,Lindsay Anderson,Britannia Hospital,1982.0,Comedy,1959442
tt0083851,1982,Gold Hugo,Best Feature,False,False,The Draughtsman's Contract,nm0000425,Peter Greenaway,The Draughtsman's Contract,1982.0,Comedy,11742956
tt0084422,1982,Gold Hugo,Best Feature,False,False,The Night of the Shooting Stars,nm0851752,Paolo Taviani,The Night of the Shooting Stars,1982.0,Drama,11784479
tt0084740,1983,Gold Hugo,Best Feature,True,False,El sur,nm0258977,Víctor Erice,El Sur,1983.0,Drama,30198
tt0085370,1983,Gold Hugo,Best Feature,False,False,Entre Nous,nm0476123,Diane Kurys,Entre Nous,1983.0,Biography,20114790
tt0086377,1983,Gold Hugo,Best Feature,False,False,Streamers,nm0000265,Robert Altman,Streamers,1983.0,Others,1915102
tt0079820,1983,Gold Hugo,Best Feature,False,False,The King and the Mockingbird,nm0342156,Paul Grimault,The King and the Mockingbird,1981.0,Others,572674
tt0086928,1984,Gold Hugo,Best Documentary,False,False,Tosca's Kiss,nm0006357,Daniel Schmid,Tosca's Kiss,1985.0,Documentary,86459
tt0086994,1984,Gold Hugo,Best Feature,False,False,Boy Meets Girl,nm0136021,Leos Carax,Boy Meets Girl,1984.0,Drama,61103
tt0088357,1984,Gold Hugo,Best Feature,False,False,Long Live Life,nm0500988,Claude Lelouch,Long Live Life,1984.0,Comedy,627092
tt0085905,1984,Gold Hugo,Best Feature,False,False,Marlene,nm0001703,Maximilian Schell,Marlene,1984.0,Biography,4138644
tt0088275,1984,Gold Hugo,Best Feature,False,False,The Times of Harvey Milk,nm0258531,Rob Epstein,The Times of Harvey Milk,1984.0,Biography,146519
tt0087280,1984,Silver Hugo,Best Feature Film,True,True,The Element of Crime,nm0001885,Lars von Trier,The Element of Crime,1984.0,Others,2434
tt0089276,1985,Gold Hugo,Best Feature,True,False,The Official Story,nm0699933,Luis Puenzo,The Official Story,1985.0,Drama,232708
tt0088652,1985,Gold Hugo,Best Feature,False,False,90 Days,nm0907761,Giles Walker,90 Days,1986.0,Comedy,13032
tt0091375,1985,Gold Hugo,Best Feature,False,False,Lamb,nm0339567,Colin Gregg,Lamb,1985.0,Drama,23866
tt0087869,1985,Gold Hugo,Best Feature,False,False,Padre nuestro,nm0716748,Francisco Regueiro,Padre nuestro,1985.0,Drama,1303447
tt0090171,1985,Special Jury Prize,Special Jury Award,True,True,Tea in the Harem,nm0152831,Mehdi Charef,Tea in the Harem,1986.0,Drama,42511
tt0091354,1986,Gold Hugo,Best Feature,False,False,Comic Magazine,nm0847690,Yôjirô Takita,Comic Magazine,1987.0,Comedy,69687
tt0090867,1986,Gold Hugo,Best Feature,False,False,Coming Up Roses,nm0063127,Stephen Bayly,Coming Up Roses,1987.0,Comedy,19106
tt0091528,1986,Gold Hugo,Best Feature,False,False,Miss Mary,nm0069833,María Luisa Bemberg,Miss Mary,1986.0,Drama,617477
tt0090985,1986,Gold Hugo,Best Feature,False,False,The Decline of the American Empire,nm0000780,Denys Arcand,The Decline of the American Empire,1986.0,Comedy,8838854
tt0089584,1986,Gold Hugo,Best Feature,False,False,The Mass Is Ended,nm0604335,Nanni Moretti,The Mass Is Ended,1988.0,Comedy,8701
tt0093029,1987,Gold Hugo,Best Feature,False,False,Five Corners,nm0082300,Tony Bill,Five Corners,1988.0,Others,4281389
tt0092637,1987,Gold Hugo,Best Feature,False,False,The Belly of an Architect,nm0000425,Peter Greenaway,The Belly of an Architect,1987.0,Drama,637706
tt0093004,1987,Gold Hugo,Best Feature,False,False,The Family,nm0778633,Ettore Scola,The Family,1987.0,Drama,1535635
tt0094176,1987,Gold Hugo,Best Feature,False,False,Travelling North,nm0776209,Carl Schultz,Travelling North,1987.0,Comedy,483451
tt0093754,1987,Special Jury Prize,Special Jury Award,True,True,Repentance,nm0002156,Tengiz Abuladze,Repentance,1987.0,Comedy,477619
tt0095574,1988,Gold Hugo,Best Feature,True,False,Little Vera,nm0681695,Vasili Pichul,Little Vera,1989.0,Drama,5242150
tt0094869,1988,Gold Hugo,Best Feature,False,False,The Chocolate War,nm0330360,Keith Gordon,The Chocolate War,1988.0,Drama,1289950
tt0097635,1989,Gold Hugo,Best Feature,False,False,Jesus of Montreal,nm0000780,Denys Arcand,Jesus of Montreal,1990.0,Drama,6335739
tt0098368,1989,Gold Hugo,Best Feature,False,False,Speaking Parts,nm0000382,Atom Egoyan,Speaking Parts,1989.0,Drama,313236
tt0097702,1989,Gold Hugo,Best Feature,False,False,The Icicle Thief,nm0629309,Maurizio Nichetti,The Icicle Thief,1990.0,Comedy,4783260
tt0099902,1990,Gold Hugo,Best Feature,True,False,Ju Dou,nm0955443,Yimou Zhang,Ju Dou,1991.0,Drama,7509304
tt0101510,1990,Gold Hugo,Best Feature,False,False,Bright Angel,nm0276317,Michael Fields,Bright Angel,1991.0,Drama,598205
tt0099768,1990,Gold Hugo,Best Feature,False,False,Hidden Agenda,nm0516360,Ken Loach,Hidden Agenda,1991.0,Drama,3914623
tt0100990,1990,Gold Hugo,Best Feature,False,False,"I, the Worst of All",nm0069833,María Luisa Bemberg,"I, the Worst of All",1995.0,Drama,86759
tt0102432,1990,Gold Hugo,Best Feature,False,False,Men of Respect,nm0717768,William Reilly,Men of Respect,1991.0,Others,528392
tt0100557,1990,Gold Hugo,Best Feature,False,False,The Nasty Girl,nm0894201,Michael Verhoeven,The Nasty Girl,1991.0,Comedy,8660605
tt0101324,1991,Gold Hugo,Best Feature,False,False,American Friends,nm0694341,Tristram Powell,American Friends,1993.0,Comedy,81754
tt0101658,1991,Gold Hugo,Best Feature,False,False,Danzón,nm0636979,María Novaro,Danzón,1992.0,Drama,1661250
tt0101765,1991,Gold Hugo,Best Feature,False,False,The Double Life of Véronique,nm0001425,Krzysztof Kieslowski,The Double Life of Véronique,1991.0,Drama,7705525
