tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0104710,1992,Chaplin Award,Best First Feature,True,True,Leon the Pig Farmer,nm0419884,Vadim Jean,Leon the Pig Farmer,1993.0,Comedy,114868
tt0110889,1994,Best New British Feature,,True,True,Priest,nm0000944,Antonia Bird,Priest,1995.0,Drama,14063056
tt0114474,1995,Best New British Feature,,True,True,Small Faces,nm0533564,Gillies MacKinnon,Small Faces,1996.0,Drama,504399
tt0112452,1995,Best Feature Documentary Award,,True,True,Ballot Measure 9,nm0531748,Heather MacDonald,Ballot Measure 9,1995.0,Others,180371
tt0116722,1996,Best New British Feature,,True,True,Jude,nm0935863,Michael Winterbottom,Jude,1996.0,Drama,1320984
tt0116387,1996,Channel 4 Director's Award,,True,True,Gallivant,nm0467836,Andrew Kotting,Gallivant,1997.0,Others,5764
tt0119164,1997,Audience Award,,True,True,The Full Monty,nm0146341,Peter Cattaneo,The Full Monty,1997.0,Comedy,481750419
tt0124185,1997,Best New British Feature,,True,True,Under the Skin,nm0012119,Carine Adler,Under the Skin,1998.0,Drama,440314
tt0119792,1997,Channel 4 Director's Award,,True,True,Nil by Mouth,nm0000198,Gary Oldman,Nil by Mouth,1998.0,Drama,840135
tt0119361,1997,Channel 4 Director's Award - Special Mention,,True,True,In the Company of Men,nm0001438,Neil LaBute,In the Company of Men,1997.0,Comedy,8913898
tt0162973,1998,Audience Award,,True,True,Get Real,nm0794960,Simon Shore,Get Real,1999.0,Comedy,3581940
tt0119577,1998,Best New British Feature,,True,True,Love Is the Devil: Study for a Portrait of Francis Bacon,nm0562266,John Maybury,Love Is the Devil: Study for a Portrait of Francis Bacon,1998.0,Others,1103231
tt0120879,1998,Channel 4 Director's Award,,True,True,Velvet Goldmine,nm0001331,Todd Haynes,Velvet Goldmine,1998.0,Drama,3284066
tt0186508,1999,Audience Award,,True,True,Buena Vista Social Club,nm0000694,Wim Wenders,Buena Vista Social Club,1999.0,Others,46348259
