tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0093342,1987,Golden Plate,Best Cinematography,False,True,Where Is the Friend's House?,nm0754450,Farhad Saba,Where Is the Friend's House?,1993.0,Drama,8067
tt0116384,1996,Crystal Simorgh,Best Music,True,False,Gabbeh,,[],Gabbeh,1997.0,Drama,1698219
tt0118849,1997,Crystal Simorgh,Best Director,True,False,Children of Heaven,,[],Children of Heaven,1999.0,Drama,2905230
tt0117398,1998,Crystal Simorgh,International Competition - Best Film,True,False,The Promise,nm0201095,Luc Dardenne,The Promise,1997.0,Drama,1891607
tt0262774,2000,Crystal Simorgh,Best Cinematography,True,False,"Smell of Camphor, Fragrance of Jasmine",nm0435534,Mahmoud Kalari,"Smell of Camphor, Fragrance of Jasmine",2001.0,Drama,14263
tt0266705,2000,Diploma of Honor,Best Directing,True,True,The Child and the Soldier,nm0591925,Reza Mirkarimi,The Child and the Soldier,2000.0,Drama,5761
tt0233841,2001,Crystal Simorgh,Best Film,True,False,Baran,nm0006498,Majid Majidi,Baran,2001.0,Drama,421198
tt0235060,2001,Crystal Simorgh,International Competition - Best Film,True,False,The Road Home,nm0955443,Yimou Zhang,The Road Home,2001.0,Drama,11572850
tt0181912,2002,Crystal Simorgh,International Competition - Best Film,True,False,In Praise of Love,nm0000419,Jean-Luc Godard,In Praise of Love,2001.0,Drama,1086649
tt0291172,2003,Crystal Simorgh,International Competition - Best Film,True,False,The Son,nm0201094,Jean-Pierre Dardenne,The Son,2003.0,Drama,1586030
tt0376968,2004,Crystal Simorgh,International Competition - Best Film,True,False,The Return,nm1168657,Andrey Zvyagintsev,The Return,2004.0,Drama,12418693
tt0258068,2004,Crystal Simorgh,International Competition - Best Screenplay,True,False,The Quiet American,nm0358960,Christopher Hampton,The Quiet American,2003.0,Drama,56413296
tt0363235,2004,Crystal Simorgh,International Competition - Best Technical or Artistic Achievement,True,False,Bright Future,nm0793066,Takahide Shibanushi,Bright Future,2003.0,Drama,46453
tt0420715,2005,Crystal Simorgh,Asian Competition - Best Film,True,False,Earth and Ashes,nm0166394,Dimitri de Clercq,Earth and Ashes,2005.0,Drama,12527
tt0411702,2005,Crystal Simorgh,International Competition - Best Film,True,True,The Ninth Day,nm0772522,Volker Schlöndorff,The Ninth Day,2005.0,Drama,273406
tt0384369,2005,Crystal Simorgh,International Competition - Best Script,True,False,Before the Fall,nm0304541,Dennis Gansel,Before the Fall,2005.0,Drama,5167110
tt0395461,2005,Crystal Simorgh,Spiritual Competiton: Best Film,True,False,Bab'Aziz: The Prince That Contemplated His Soul,nm0042197,Cyriac Auriol,Bab'Aziz - The Prince That Contemplated His Soul,2008.0,Drama,534521
tt0366721,2005,Special Jury Award,Spiritual Competition,True,True,Trilogy: The Weeping Meadow,nm0000766,Theodoros Angelopoulos,Trilogy: The Weeping Meadow,2004.0,Drama,119661
tt0448267,2006,Crystal Simorgh,Awards of Spiritual Cinema - Best Screenplay,True,False,Zozo,nm0267244,Josef Fares,Zozo,2005.0,Drama,127678
tt0499166,2006,Crystal Simorgh,Best Cinematographer,True,False,It's Winter,nm0205828,Mohammad Davudi,It's Winter,2007.0,Drama,41826
tt0845439,2006,Crystal Simorgh,Best Editing,True,False,Fireworks Wednesday,nm0755868,Hayedeh Safiyari,Fireworks Wednesday,2016.0,Drama,225787
