tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0062258,1969,Golden Horse Award,Best Feature Film,True,False,Shan Shan,,[],Shan Shan,1967.0,Drama,10290
tt0079886,1979,Golden Horse Award,Best Art Direction,True,False,Legend of the Mountain,nm0002254,King Hu,Legend of the Mountain,1979.0,Others,51925
tt0080436,1981,Golden Horse Award,Best Film Editing,False,False,Battle Creek Brawl,nm0151649,Peter Cheung,Battle Creek Brawl,1980.0,Action,52322873
tt0087352,1984,Golden Horse Award,Best Feature Film,False,False,Gung buk,,[],Gung buk,1984.0,Others,80691
tt0089866,1985,Golden Horse Award,Best Cinematography,False,False,Taipei Story,nm0946077,Wei-Han Yang,Taipei Story,1986.0,Drama,60584
tt0092263,1986,Golden Horse Award,Best Cinematography,True,False,A Better Tomorrow,nm0399069,Wing-Hang Wong,A Better Tomorrow,1990.0,Action,9911687
tt0091355,1986,Golden Horse Award,Best Feature Film,True,False,The Terrorizers,,[],The Terrorizers,1986.0,Others,2740
tt0093633,1987,Golden Horse Award,Best Original Film Score,True,False,Daughter of the Nile,nm0151716,Hung-Yi Chang,Daughter of the Nile,1988.0,Others,11262
tt0096461,1988,Golden Horse Award,Best Art Direction,False,False,As Tears Go By,nm0151858,William Chang,As Tears Go By,2008.0,Others,22262
tt0096908,1989,Golden Horse Award,Best Cinematography,False,False,A City of Sadness,nm0155246,Huai-En Chen,A City of Sadness,1989.0,Drama,5568
tt0096933,1989,Golden Horse Award,Best Foreign Film,True,False,Black Rain,,[],Black Rain,1989.0,Action,368856163
tt0096257,1989,Golden Horse Award,Best Foreign Film,True,False,The Thin Blue Line,,[],The Thin Blue Line,1988.0,Others,5196197
tt0101258,1991,Golden Horse Award,Best Art Direction,True,False,Days of Being Wild,nm0151858,William Chang,Days of Being Wild,1991.0,Others,6148674
tt0105652,1991,Golden Horse Award,Best Cinematography,False,True,Pushing Hands,nm0510908,Jong Lin,Pushing Hands,1992.0,Comedy,558072
tt0103285,1991,Golden Horse Award,Best Original Film Score,True,False,Once Upon a Time in China,nm0399074,James Wong,Once Upon a Time in China,1992.0,Action,6999598
tt0105839,1992,Golden Horse Award,Best Action Choreography,True,False,Once Upon a Time in China II,nm0950759,Woo-Ping Yuen,Once Upon a Time in China II,1993.0,Action,6911662
tt0104558,1992,Golden Horse Award,Best Action Choreography,True,False,Police Story 3: Super Cop,nm0867262,Stanley Tong,Police Story 3: Super Cop,1996.0,Action,52967124
tt0103935,1992,Golden Horse Award,Best Film Editing,True,False,Rebels of the Neon God,nm0157180,Chi-Yang Wang,Rebels of the Neon God,1993.0,Others,100994
tt0108656,1993,Golden Horse Award,Best Action Choreography,False,False,Crime Story,nm0000329,Jackie Chan,Crime Story,1996.0,Action,6395342
tt0108281,1993,Golden Horse Award,Best Action Choreography,False,False,Tai-Chi Master,nm0950759,Woo-Ping Yuen,Tai-Chi Master,2000.0,Action,967238
tt0107156,1993,Golden Horse Award,Best Feature Film,True,False,The Wedding Banquet,nm0394046,Ted Hope,The Wedding Banquet,1993.0,Comedy,24472811
tt0111512,1994,Golden Horse Award,Best Action Choreography,True,False,Drunken Master II,nm0514906,Chia-Liang Liu,Drunken Master II,2000.0,Action,33942149
tt0109688,1994,Golden Horse Award,Best Adapted Screenplay,True,False,Ashes of Time,nm0939182,Kar-Wai Wong,Ashes of Time,1995.0,Action,3496840
tt0109424,1994,Golden Horse Award,Best Art Direction,False,False,Chungking Express,nm0151858,William Chang,Chungking Express,1996.0,Comedy,2019948
tt0111797,1994,Golden Horse Award,Best Feature Film,False,False,Eat Drink Man Woman,,[],Eat Drink Man Woman,1994.0,Comedy,25021075
tt0113326,1995,Golden Horse Award,Best Action Choreography,False,False,Rumble in the Bronx,nm0867262,Stanley Tong,Rumble in the Bronx,1996.0,Action,106878280
tt0112913,1995,Golden Horse Award,Best Art Direction,True,False,Fallen Angels,nm0151858,William Chang,Fallen Angels,1998.0,Comedy,518778
tt0116704,1996,Golden Horse Award,Best Action Choreography,True,False,Police Story 4: First Strike,nm0867262,Stanley Tong,Police Story 4: First Strike,1997.0,Action,59766602
tt0116295,1996,Golden Horse Award,Best Art Direction,False,False,Temptress Moon,nm0346636,Qiagui Huang,Temptress Moon,1997.0,Drama,3509721
tt0117786,1997,Golden Horse Award,Best Action Choreography,True,False,Mr. Nice Guy,nm0158659,Wing Cho,Mr. Nice Guy,1998.0,Action,49678520
tt0118845,1997,Golden Horse Award,Best Art Direction,True,False,Happy Together,nm0151858,William Chang,Happy Together,1997.0,Drama,1013080
tt0117905,1997,Golden Horse Award,Best Cinematography,True,False,Comrades: Almost a Love Story,nm0155598,Jingle Ma,Comrades: Almost a Love Story,1997.0,Drama,56182
tt0115005,1998,Golden Horse Award,Best Adapted Screenplay,True,False,Xiu Xiu: The Sent-Down Girl,nm0001040,Joan Chen,Xiu Xiu: The Sent-Down Girl,1998.0,Drama,3162372
tt0212423,1998,Golden Horse Award,Best Adapted Screenplay,False,True,The Personals,nm0155295,Kuo-Fu Chen,The Personals,1998.0,Comedy,31871
tt0168496,1998,Golden Horse Award,Best Art Direction,False,False,Bishonen,nm0948523,Yonfan,Bishonen,1999.0,Drama,28852
tt0184526,1999,Golden Horse Award,Best Action Choreography,False,False,Gorgeous,nm0000329,Jackie Chan,Gorgeous,1999.0,Action,701425
tt0200689,1999,Golden Horse Award,Best Feature Film,True,True,Darkness and Light,nm0151844,Tso-chi Chang,Darkness and Light,2001.0,Drama,53
tt0190332,2000,Golden Horse Award,Best Action Direction,True,False,"Crouching Tiger, Hidden Dragon",nm0950759,Woo-Ping Yuen,"Crouching Tiger, Hidden Dragon",2001.0,Action,498551538
tt0251433,2000,Golden Horse Award,Best Action Direction,False,False,Time and Tide,nm0944578,Xin Xin Xiong,Time and Tide,2001.0,Action,366349
tt0238588,2000,Golden Horse Award,Best Adapted Screenplay,True,True,Shadow Magic,nm0398866,Ann Hu,Shadow Magic,2001.0,Drama,215616
tt0118694,2000,Golden Horse Award,Best Art Direction,True,False,In the Mood for Love,nm0151858,William Chang,In the Mood for Love,2001.0,Drama,22616335
tt0234116,2000,Golden Horse Award,Best Feature Film,True,False,Little Cheung,,[],Little Cheung,1999.0,Drama,44294
tt0259744,2000,Golden Horse Award,Best Sound Effects,False,False,Fleeing by Night,nm0239002,Duu-Chih Tu,Fleeing by Night,2000.0,Drama,18782
tt0286112,2001,Golden Horse Award,Best Action Choreography,True,False,Shaolin Soccer,nm0155642,Siu-Tung Ching,Shaolin Soccer,2002.0,Action,60985282
tt0271946,2001,Golden Horse Award,Best Action Choreography,False,False,The Accidental Spy,nm0000329,Jackie Chan,The Accidental Spy,2002.0,Action,1117430
tt0286098,2001,Golden Horse Award,Best Action Choreography,True,False,Zu Warriors,nm0950759,Woo-Ping Yuen,Zu Warriors,2006.0,Action,180449
tt0292066,2001,Golden Horse Award,Best Adapted Screenplay,True,True,Lan Yu,nm0628873,Jimmy Ngai,Lan Yu,2002.0,Drama,5720305
tt0312563,2001,Golden Horse Award,Best Adapted Screenplay,False,False,Merry-Go-Round,nm0328636,Goo-Bi GC,Merry-Go-Round,2001.0,Comedy,72734
tt0283283,2001,Golden Horse Award,Best Cinematography,True,False,Millennium Mambo,nm0496742,Ping Bin Lee,Millennium Mambo,2001.0,Drama,587106
tt0276501,2001,Golden Horse Award,Best Cinematography,False,False,Beijing Bicycle,nm0514952,Jie Liu,Beijing Bicycle,2002.0,Drama,406892
tt0255327,2001,Golden Horse Award,Best Feature Film,True,False,Durian Durian,,[],Durian Durian,2001.0,Drama,6162
tt0269746,2001,Golden Horse Award,Best Feature Film,False,True,What Time Is It There?,,[],What Time Is It There?,2001.0,Drama,661066
tt0286635,2001,Golden Horse Award,Best Visual Effects,False,False,Fulltime Killer,nm0530893,Stephen Ma,Fulltime Killer,2003.0,Action,284107
tt0312941,2002,Golden Horse Award,Best Animation,True,False,My Life as McDull,,[],My Life as McDull,2002.0,Others,2575389
tt0341341,2002,Golden Horse Award,Best Art Direction,True,False,Drop Me a Cat,nm1279740,Mao-Sen Huang,Drop Me a Cat,2003.0,Others,7630
tt0324242,2002,Golden Horse Award,Best Art Direction,True,False,3 Extremes II,nm0354008,Chung Man Yee,3 Extremes II,2003.0,Others,2336967
tt0290654,2002,Golden Horse Award,Best Art Direction,True,False,Hollywood Hong-Kong,nm0541230,Oliver Wong,Hollywood Hong-Kong,2002.0,Comedy,60848
tt0319901,2002,Golden Horse Award,Best Original Film Song,False,False,My Left Eye Sees Ghosts,nm0155618,Sammi Cheng,My Left Eye Sees Ghosts,2002.0,Comedy,3742079
tt0329784,2002,Golden Horse Award,Best Original Film Song,False,False,Youling renjian II: Gui wei ren jian,nm0150873,Eason Chan,Youling renjian II: Gui wei ren jian,2002.0,Others,989305
tt0284066,2002,Golden Horse Award,Best Sound Effects,False,False,Double Vision,nm0685244,Paul Pirola,Double Vision,2002.0,Others,2115735
tt0325655,2002,Golden Horse Award,Best Sound Effects,True,False,The Eye,nm0659380,Danny Pang,The Eye,2003.0,Others,17587397
tt0351887,2003,Golden Horse Award,Best Action Choreography,True,False,The Twins Effect,nm0947447,Donnie Yen,The Twins Effect,2003.0,Action,5293079
tt0375669,2003,Golden Horse Award,Best Action Choreography,True,False,Colour of the Truth,nm0158408,Tat Chiu Lee,Colour of the Truth,2003.0,Action,1161163
tt0338564,2003,Golden Horse Award,Best Action Choreography,True,True,Infernal Affairs,nm0482599,Dion Lam,Infernal Affairs,2004.0,Others,12120184
tt0351299,2003,Golden Horse Award,Best Adapted Screenplay,True,False,Blind Shaft,nm1317258,Yang Li,Blind Shaft,2003.0,Others,137390
tt0291032,2003,Golden Horse Award,Best Adapted Screenplay,False,False,Balzac and the Little Chinese Seamstress,nm0197246,Sijie Dai,Balzac and the Little Chinese Seamstress,2002.0,Others,8282238
tt0367174,2003,Golden Horse Award,Best Adapted Screenplay,True,False,"Turn Left, Turn Right",nm0906413,Ka-Fai Wai,"Turn Left, Turn Right",2003.0,Comedy,2874491
tt0354593,2003,Golden Horse Award,Best Art Direction,True,False,Golden Chicken,nm0354008,Chung Man Yee,Golden Chicken,2003.0,Comedy,3174994
tt0250638,2003,Golden Horse Award,Best Cinematography,True,False,PTU,nm0155624,Siu-Keung Cheng,PTU,2003.0,Others,1182
tt0377556,2003,Golden Horse Award,Best Feature Film,True,False,"Goodbye, Dragon Inn",,[],"Goodbye, Dragon Inn",2003.0,Comedy,1470800
tt0356696,2003,Golden Horse Award,Best New Performer,True,False,Homerun,nm1443862,Megan Zheng,Homerun,2003.0,Drama,72565
tt0380291,2003,Golden Horse Award,Best Original Film Score,False,False,Men Suddenly in Black,nm0436348,Peter Kam,Men Suddenly in Black,2003.0,Comedy,1916574
tt0386005,2004,Golden Horse Award,Best Action Choreography,True,True,New Police Story,nm0508387,Chung Chi Li,New Police Story,2006.0,Action,10994314
tt0414931,2004,Golden Horse Award,Best Action Choreography,True,False,Breaking News,nm0082898,Bun Yuen,Breaking News,2006.0,Action,1354957
tt0430772,2004,Golden Horse Award,Best Action Choreography,False,False,One Nite in Mongkok,nm0157759,Kar Lok Chin,One Nite in Mongkok,2004.0,Others,1351390
