tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0247613,2000,Grand Bell Award,Best Film,True,False,Peppermint Candy,,[],Peppermint Candy,2000.0,Drama,130981
tt0260991,2001,Grand Bell Award,Best Art Direction,True,False,Joint Security Area,,[],Joint Security Area,2001.0,Action,178124
tt0312841,2002,Grand Bell Award,Best Film,True,False,The Way Home,,[],The Way Home,2002.0,Drama,35799420
tt0293715,2002,Grand Bell Award,"Best Screenplay, Adapted",True,False,My Sassy Girl,nm1030706,Jae-young Kwak,My Sassy Girl,2001.0,Others,494009
tt0294252,2002,Grand Bell Award,Best Sound Effects,True,False,2009: Lost Memories,nm0762635,Sang-ho Ahn,2009: Lost Memories,2002.0,Action,17126299
tt0289181,2002,Jury Award,,True,True,Failan,nm1012219,Hae-sung Song,Failan,2001.0,Drama,71745
tt0327169,2003,Grand Bell Award,Best Art Direction,True,False,Resurrection of the Little Match Girl,nm0158829,Jeong-Hwa Choi,Resurrection of the Little Match Girl,2002.0,Action,1122718
tt0333528,2003,Grand Bell Award,Best Cinematography,True,False,Jail Breakers,nm0161256,Kwang-Seok Jeong,Jail Breakers,2002.0,Action,25086428
tt0353969,2003,Grand Bell Award,Best Film,True,False,Memories of Murder,,[],Memories of Murder,2003.0,Action,779543
tt0345603,2003,Grand Bell Award,Best Music,False,False,Madeleine,nm1082424,Michael Staudacher,Madeleine,2003.0,Others,2950578
tt0354668,2003,Grand Bell Award,Best New Director,True,False,Save the Green Planet!,,[],Save the Green Planet!,2004.0,Others,41847
tt0386064,2004,Grand Bell Award,Best Art Direction,True,False,Tae Guk Gi: The Brotherhood of War,nm0793773,Bo-kyeong Shin,Tae Guk Gi: The Brotherhood of War,2004.0,Action,95818465
tt0404777,2004,Grand Bell Award,Best Art Direction,False,False,Arahan,nm1085662,Geun-yeong Jang,Arahan,2005.0,Action,52143
tt0374546,2004,Grand Bell Award,Best Film,True,False,"Spring, Summer, Fall, Winter... and Spring",,[],"Spring, Summer, Fall, Winter... and Spring",2004.0,Drama,18070955
tt0364569,2004,Grand Bell Award,Best Film Editing,True,False,Oldboy,nm0453656,Sang-beom Kim,Oldboy,2005.0,Action,21033440
