tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0169145,1998,Golden Anchor Award,,True,False,Cabaret Balkan,nm0664607,Goran Paskaljevic,Cabaret Balkan,1999.0,Drama,165719
tt0213569,1999,Israeli Film Competition Award,Best Documentary,True,True,The Komediant,nm0325606,Arnon Goldfinger,The Komediant,2000.0,Others,356561
tt0305229,2003,Golden Anchor Award,,True,False,Rana's Wedding,nm0009463,Hany Abu-Assad,Rana's Wedding,2003.0,Comedy,49976
tt0313211,2003,Golden Anchor Award,,True,False,The Wind Horse,nm0031866,Daoud Aoulad-Syad,The Wind Horse,2002.0,Drama,11721
tt0756359,2005,Israeli Film Competition Award,Best Film,True,True,Frozen Days,nm2118165,Danny Lerner,Frozen Days,2006.0,Drama,20528
tt0450680,2006,Golden Anchor Award,,True,False,Flanders,nm0241622,Bruno Dumont,Flanders,2007.0,Drama,525522
tt1002765,2006,Israeli Film Competition Award,Best Cinematography,True,True,My Father My Lord,nm2012534,Boaz Yehonatan Yaacov,My Father My Lord,2008.0,Drama,947557
tt1090316,2006,Israeli Film Competition Award,,True,True,Foul Gesture,nm0333523,Tzahi Grad,Foul Gesture,2008.0,Comedy,10990
tt1233381,2008,Golden Anchor Award,,True,False,Three Monkeys,nm0149196,Nuri Bilge Ceylan,Three Monkeys,2009.0,Drama,2419643
tt1286798,2008,Haifa Cultural Foundation Award,Best Documentary,True,True,Unmistaken Child,nm2886257,Nati Baratz,Unmistaken Child,2009.0,Others,809980
tt1204366,2008,FIPRESCI Prize,,True,True,Desierto adentro,nm0687751,Rodrigo Plá,Desierto adentro,2009.0,Drama,58512
tt1366981,2009,Golden Anchor Award,,True,False,Uzak Ihtimal,nm3312722,Mahmut Fazil Coskun,Uzak Ihtimal,2009.0,Drama,194953
tt1351734,2009,Golden Anchor Award,,False,False,Ander,nm1954420,Roberto Castón,Ander,2009.0,Drama,3653
tt1156173,2009,Golden Anchor Award,,False,False,Vincere,nm0069166,Marco Bellocchio,Vincere,2009.0,Others,7474861
tt1371574,2010,Golden Anchor Award,,True,False,Kosmos,nm0258732,Reha Erdem,Kosmos,2010.0,Drama,93674
tt1371700,2010,Golden Anchor Award,,False,False,Lo spazio bianco,nm0173726,Francesca Comencini,Lo spazio bianco,2009.0,Drama,1712581
tt1641410,2011,Golden Anchor Award,,False,False,Terraferma,nm0187740,Emanuele Crialese,Terraferma,2011.0,Drama,2669566
tt1680139,2011,Golden Anchor Award,,False,False,When the Night,nm0173724,Cristina Comencini,When the Night,2011.0,Drama,746513
tt2184331,2012,Golden Anchor Award,,False,False,Una noche,nm2280980,Lucy Mulloy,Una noche,2012.0,Drama,236339
tt2219514,2012,Israeli Film Competition Award,Best Cinematography,True,True,Fill the Void,nm0837231,Asaf Sudri,Fill the Void,2012.0,Drama,5493857
tt2318625,2012,Israeli Film Competition Award,Full Length Feature Films,True,True,Out in the Dark,nm3199492,Michael Mayer,Out in the Dark,2013.0,Drama,101480
tt2184227,2013,Golden Anchor Award,,False,False,Dormant Beauty,nm0069166,Marco Bellocchio,Dormant Beauty,2013.0,Drama,1257253
tt2357461,2013,Golden Anchor Award,,False,True,Honey,nm0000420,Valeria Golino,Honey,2013.0,Drama,1023417
tt2608766,2013,Golden Anchor Award,,False,False,The Long Way Home,nm5465109,Alphan Eseli,The Long Way Home,2013.0,Drama,248595
tt1954315,2013,Fedeora Award,,True,True,Borgman,nm0912334,Alex van Warmerdam,Borgman,2013.0,Drama,1164456
tt2659190,2013,Special Mention Award,,True,True,Just a Sigh,nm0222922,Emmanuelle Devos,Just a Sigh,2014.0,Drama,1448589
tt2324384,2013,Special Mention Award,,True,True,The Notebook,nm0844444,János Szász,The Notebook,2013.0,Drama,4317762
tt2758880,2014,Golden Anchor Award,,True,False,Winter Sleep,nm0149196,Nuri Bilge Ceylan,Winter Sleep,2014.0,Drama,4325312
tt3569978,2014,Haifa Cultural Foundation Award,Best Feature,True,True,Next to Her,nm2135674,Asaf Korman,Next to Her,2014.0,Drama,1695
tt2802154,2014,Fedeora Award,Filmmakers of Tomorrow,True,True,Leviathan,nm1168657,Andrey Zvyagintsev,Leviathan,2014.0,Others,5943878
