tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0091528,1986,Best Actress,,True,True,Miss Mary,nm0001046,Julie Christie,Miss Mary,1986.0,Drama,617477
tt0092690,1987,Grand Coral - Third Prize,,True,True,Born in East L.A.,nm0001507,Cheech Marin,Born in East L.A.,1987.0,Comedy,77536761
tt0106966,1993,Grand Coral - First Prize,,True,True,Strawberry and Chocolate,nm0349425,Tomás Gutiérrez Alea,Strawberry and Chocolate,1995.0,Comedy,7087289
tt0104029,1993,Coral,Best Film Poster,True,True,Cronos,nm1542708,Pedro Meyer,Cronos,1994.0,Others,2153159
tt0106678,1993,Special Jury Prize,,True,True,I Don't Want to Talk About It,nm0069833,María Luisa Bemberg,I Don't Want to Talk About It,1994.0,Drama,426534
tt0108291,1993,Audience Award,,False,False,Wild Tango,nm0686304,Marcelo Piñeyro,Wild Tango,1997.0,Others,70876
tt0110712,1994,Audience Award,,False,False,Of Love and Shadows,nm0438201,Betty Kaplan,Of Love and Shadows,1996.0,Drama,1959677
tt0109485,1994,Saúl Yelín Award,,True,True,Celestial Clockwork,nm0061944,Tristán Bauer,Celestial Clockwork,1996.0,Others,600648
tt0109381,1995,Grand Coral - First Prize,Documentary,True,False,Carmen Miranda: Bananas Is My Business,nm0812773,Helena Solberg,Carmen Miranda: Bananas Is My Business,1995.0,Others,48689
tt0109949,1995,Grand Coral - Second Prize,,True,True,Guantanamera,nm0349425,Tomás Gutiérrez Alea,Guantanamera,1997.0,Comedy,2878186
tt0192745,1998,Grand Coral - First Prize,,True,True,Life is to Whistle,nm0702148,Fernando Pérez,Life is to Whistle,1999.0,Drama,98881
tt0169364,1998,Grand Coral - Second Prize,,True,True,Wind with the Gone,nm0002159,Alejandro Agresti,Wind with the Gone,1998.0,Comedy,127792
tt0213324,1998,Coral,Best Film Poster,True,True,El último Carnaval,,[],El último Carnaval,2007.0,Others,6643
tt0140888,1998,Special Jury Prize,,True,True,Central Station,nm0758574,Walter Salles,Central Station,1998.0,Drama,18606116
tt0244504,2000,Grand Coral - First Prize,,True,True,Me You Them,nm0905343,Andrucha Waddington,Me You Them,2001.0,Comedy,1283346
tt0245712,2000,Coral,Best First Work,True,True,Amores perros,nm0327944,Alejandro G. Iñárritu,Amores Perros,2001.0,Drama,38017184
tt0179137,2000,Best Actor,,True,True,Coronation,nm0432553,Julio Jung,Coronation,2000.0,Drama,19256
tt0227277,2000,Best Cinematography,,True,True,Burnt Money,nm0005790,Alfredo Mayo,Burnt Money,2001.0,Others,544673
tt0221344,2000,Best Editing,,True,True,Herod's Law,nm0261840,Luis Estrada,Herod's Law,2000.0,Comedy,157446
tt0276176,2000,Audience Award,,True,True,Playing Swede,nm0246499,Daniel Díaz Torres,Playing Swede,2001.0,Comedy,9572
tt0240419,2001,Grand Coral - First Prize,,True,True,La Ciénaga,nm0551506,Lucrecia Martel,La Ciénaga,2001.0,Comedy,386875
tt0291507,2001,Grand Coral - Third Prize,,True,True,A Cab for Three,nm0530668,Orlando Lübbert,A Cab for Three,2001.0,Others,45185
tt0309897,2001,Coral,Best First Work,True,True,Nothing More,nm1117808,Juan Carlos Cremata Malberti,Nothing More,2002.0,Comedy,9225
tt0241663,2001,Special Jury Prize,,True,True,To the Left of the Father,nm0142461,Luiz Fernando Carvalho,To the Left of the Father,2002.0,Drama,731416
tt0273812,2001,Special Mention,,True,True,Honey for Oshun,nm0813695,Humberto Solás,Honey for Oshun,2002.0,Comedy,18686
tt0292542,2001,Audience Award,,True,True,Son of the Bride,nm0002728,Juan José Campanella,Son of the Bride,2002.0,Comedy,13180559
tt0245574,2001,FIPRESCI Prize,,True,True,Y tu mamá también,nm0190859,Alfonso Cuarón,Y Tu Mamá También,2002.0,Drama,67449250
tt0303392,2002,Grand Coral - First Prize,Documentary,True,True,Missing Young Woman,nm0692409,Lourdes Portillo,Missing Young Woman,2002.0,Others,25563
tt0317248,2002,Grand Coral - First Prize,,True,True,City of God,nm0576987,Fernando Meirelles,City of God,2004.0,Others,52489246
tt0324158,2002,Grand Coral - First Prize,,True,True,Suddenly,nm1195308,Diego Lerman,Suddenly,2003.0,Comedy,276842
tt0291988,2002,Grand Coral - Second Prize,,True,True,Intimate Stories,nm0815044,Carlos Sorin,Intimate Stories,2003.0,Comedy,600121
tt0303408,2002,Grand Coral - Third Prize,,True,True,The Trespasser,nm0105242,Beto Brant,The Trespasser,2002.0,Drama,47676
tt0322824,2002,Coral,Best First Work,True,True,Japón,nm1196161,Carlos Reygadas,Japón,2003.0,Drama,321627
