tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0269743,2001,FIPRESCI Prize,,True,True,Barking Dogs Never Bite,nm0094435,Joon-ho Bong,Barking Dogs Never Bite,2001.0,Others,65334
tt0312941,2002,FIPRESCI Prize,,True,True,My Life as McDull,nm1211088,Toe Yuen,My Life as McDull,2002.0,Others,2575389
tt0296658,2002,FIPRESCI Prize - Special Mention,,True,True,Take Care of My Cat,nm1062423,Jae-eun Jeong,Take Care of My Cat,2002.0,Drama,27812
tt0289229,2003,Golden Firebird Award,,True,False,Hukkle,nm0701650,György Pálfi,Hukkle,2003.0,Others,258262
tt0351299,2003,Silver Firebird Award,,True,True,Blind Shaft,nm1317258,Yang Li,Blind Shaft,2003.0,Others,137390
tt0307913,2003,Firebird Award - Special Mention,,True,True,Abouna,nm0757958,Mahamat-Saleh Haroun,Abouna,2003.0,Drama,26393
tt0368954,2004,Humanitarian Award (Documentary),,True,True,S21: The Khmer Rouge Killing Machine,nm0659454,Rithy Panh,S21: The Khmer Rouge Killing Machine,2003.0,Documentary,63757
tt0336264,2004,SIGNIS Award,,True,True,Since Otar Left,nm0078465,Julie Bertuccelli,Since Otar Left,2003.0,Drama,2741543
tt0373861,2004,SIGNIS Award - Special Mention,,True,True,The Story of the Weeping Camel,nm1389025,Byambasuren Davaa,The Story of the Weeping Camel,2004.0,Drama,14965484
tt0436794,2005,Humanitarian Award (Documentary) - Special Mention,,True,True,Shape of the Moon,nm0720503,Leonard Retel Helmrich,Shape of the Moon,2005.0,Documentary,25286
tt0893356,2007,Humanitarian Award (Documentary),,True,True,Nanking,nm0349702,Bill Guttentag,Nanking,2007.0,Others,2180861
tt1073548,2008,Humanitarian Award (Documentary),Best Documentary,True,True,Yasukuni,nm0910692,Ai Wan,Yasukuni,2009.0,Documentary,4644
tt1426381,2010,Humanitarian Award (Documentary),Best Documentary,True,True,Petition,nm2420832,Liang Zhao,Petition,2011.0,Documentary,549526
tt1568328,2010,Humanitarian Award (Documentary) - Special Mention,,True,True,Enemies of the People,nm2215000,Rob Lemkin,Enemies of the People,2010.0,Documentary,179070
tt1742178,2011,Humanitarian Award (Documentary),Best Documentary,False,False,Position Among the Stars,nm0720503,Leonard Retel Helmrich,Position Among the Stars,2011.0,Documentary,2191
tt1836099,2011,FIPRESCI Prize,,True,True,Bleak Night,nm4307147,Sung-hyun Yoon,Bleak Night,2011.0,Drama,81125
tt1872026,2011,FIPRESCI Prize,,False,False,Cure,nm0948107,Bill Yip,Cure,2011.0,Drama,5042
tt1399683,2011,SIGNIS Award,,True,True,Winter's Bone,nm0335138,Debra Granik,Winter's Bone,2010.0,Drama,23828457
tt1639901,2011,SIGNIS Award,,False,False,A Screaming Man,nm0757958,Mahamat-Saleh Haroun,A Screaming Man,2011.0,Drama,221510
tt1576382,2011,SIGNIS Award,,False,False,Brother and Sister,nm0122184,Daniel Burman,Brother and Sister,2011.0,Others,2693403
tt1714014,2011,SIGNIS Award,,False,False,Majority,nm4043787,Seren Yüce,Majority,2011.0,Drama,165470
tt1311075,2011,SIGNIS Award,,False,True,The Human Resources Manager,nm0726954,Eran Riklis,The Human Resources Manager,2011.0,Others,543855
tt1646979,2011,SIGNIS Award,,False,False,The Light Thief,nm0008332,Aktan Arym Kubat,The Light Thief,2011.0,Drama,130071
tt2215363,2012,Golden Firebird Award,Documentary,False,False,Futaba kara tooku hanarete,nm1164653,Atsushi Funahashi,Futaba kara tooku hanarete,2013.0,Documentary,10877
tt2094920,2012,Golden Firebird Award,Documentary,False,False,Putin's Kiss,nm1459798,Lise Birk Pedersen,Putin's Kiss,2012.0,Documentary,22633
tt1890472,2012,Golden Firebird Award,Young Cinema,False,False,About the Pink Sky,nm2796318,Keiichi Kobayashi,About the Pink Sky,2012.0,Drama,21413
tt2073058,2012,Golden Firebird Award,Young Cinema,False,False,Postcards from the Zoo,nm1637767,Edwin,Postcards from the Zoo,2013.0,Drama,3810
tt1961179,2012,Golden Firebird Award,Young Cinema,False,False,The Woman in the Septic Tank,nm2842515,Marlon Rivera,The Woman in the Septic Tank,2011.0,Others,802663
tt2011971,2012,SIGNIS Award,,True,True,Monsieur Lazhar,nm0265852,Philippe Falardeau,Monsieur Lazhar,2011.0,Others,9696641
tt1931470,2012,SIGNIS Award,,False,True,Declaration of War,nm0233123,Valérie Donzelli,Declaration of War,2012.0,Drama,6719675
tt1980935,2012,SIGNIS Award,,False,False,Gypsy,nm0838499,Martin Sulík,Gypsy,2012.0,Drama,29528
tt1650453,2012,SIGNIS Award,,False,True,I Wish,nm0466153,Hirokazu Koreeda,I Wish,2012.0,Drama,1876132
tt1848784,2012,SIGNIS Award,,False,False,Life Back Then,nm0955270,Takahisa Zeze,Life Back Then,2011.0,Drama,7184738
tt2375605,2013,Golden Firebird Award,Documentary,False,False,The Act of Killing,nm1484791,Joshua Oppenheimer,The Act of Killing,2012.0,Others,1345790
tt2741806,2013,Golden Firebird Award,Young Cinema,True,True,In Bloom,nm2206574,Nana Ekvtimishvili,In Bloom,2014.0,Drama,167507
tt2417568,2013,FIPRESCI Prize,,False,False,Together,nm1314647,Chao-jen Hsu,Together,2013.0,Drama,5635647
tt2738050,2013,FIPRESCI Prize,,False,False,Will You Still Love Me Tomorrow?,nm1789897,Arvin Chen,Will You Still Love Me Tomorrow?,2013.0,Others,109155
tt1638353,2013,SIGNIS Award,,True,True,The Patience Stone,nm1680298,Atiq Rahimi,The Patience Stone,2013.0,Drama,882768
tt1874416,2013,SIGNIS Award,,False,False,Aquí y Allá: Here and There,nm3564648,Antonio Méndez Esparza,Aquí y Allá: Here and There,2012.0,Drama,25423
tt1733105,2013,SIGNIS Award,,False,False,Bekas,nm2545652,Karzan Kader,Bekas,2012.0,Others,531946
