tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0239655,2000,Woosuk Award,Asian Indie Cine-Forum,False,False,Monday,nm0848992,SABU,Monday,2000.0,Others,13242
tt0235198,2000,Audience Award,,True,True,Audition,nm0586281,Takashi Miike,Audition,2000.0,Drama,728028
tt0186508,2000,Daring Digital Award,N-Vision,False,False,Buena Vista Social Club,nm0000694,Wim Wenders,Buena Vista Social Club,1999.0,Others,46348259
tt0169388,2000,Daring Digital Award,N-Vision,False,False,Windhorse,nm0906041,Paul Wagner,Windhorse,1999.0,Drama,423368
tt0280927,2001,Woosuk Award,Asian Indie Cine-Forum,False,False,This Is My Moon,nm0359491,Asoka Handagama,This Is My Moon,2001.0,Others,9392
tt0276501,2001,Audience Award,,True,True,Beijing Bicycle,nm0911075,Xiaoshuai Wang,Beijing Bicycle,2002.0,Drama,406892
tt0192069,2001,Daring Digital Award,N-Vision,False,False,Gendernauts: A Journey Through Shifting Identities,nm0872331,Monika Treut,Gendernauts: A Journey Through Shifting Identities,1999.0,Others,22627
tt0230783,2001,Daring Digital Award,N-Vision,False,False,Signs & Wonders,nm0636506,Jonathan Nossiter,Signs & Wonders,2001.0,Drama,98387
tt0303357,2002,Woosuk Award,Asian New Comers,False,False,Laundry,nm1103129,Jun'ichi Mori,Laundry,2002.0,Drama,14441
tt0285848,2002,Woosuk Award,Asian New Comers,False,False,The Orphan of Anyang,nm0910852,Chao Wang,The Orphan of Anyang,2001.0,Drama,125893
tt0245429,2002,Audience Award,,True,True,Spirited Away,nm0594503,Hayao Miyazaki,Spirited Away,2003.0,Others,499923981
tt0226935,2002,Daring Digital Award,Digital Spectrum,False,False,Chelsea Walls,nm0000160,Ethan Hawke,Chelsea Walls,2001.0,Drama,174575
tt0259097,2002,Daring Digital Award,Digital Spectrum,False,False,Expulsion from Paradise,nm0161615,Vera Chytilová,Expulsion from Paradise,2001.0,Drama,94802
tt0278487,2002,Daring Digital Award,Digital Spectrum,False,False,Hotel,nm0001214,Mike Figgis,Hotel,2002.0,Comedy,92902
tt0252684,2002,Daring Digital Award,Digital Spectrum,False,False,Manic,nm0577332,Jordan Melamed,Manic,2003.0,Drama,194851
tt0298169,2002,Daring Digital Award,Digital Spectrum,False,False,Strass,nm0486994,Vincent Lannoo,Strass,2002.0,Drama,78372
tt0243017,2002,Daring Digital Award,Digital Spectrum,False,False,Waking Life,nm0000500,Richard Linklater,Waking Life,2001.0,Others,8870955
tt0321177,2003,Woosuk Award,Asian New Comers,False,False,Altyn Kyrghol,nm0765700,Marat Sarulu,Altyn Kyrghol,2003.0,Others,22643
tt0317476,2003,Woosuk Award,Asian New Comers,False,False,Angel on the Right,nm0882403,Jamshed Usmonov,Angel on the Right,2004.0,Comedy,115572
tt0359841,2003,Woosuk Award,Asian New Comers,False,False,Plastic Tree,nm1346102,Il-seon Eo,Plastic Tree,2003.0,Drama,8748
tt0278731,2003,Audience Award,,True,True,Spider,nm0000343,David Cronenberg,Spider,2002.0,Drama,10520422
tt0311008,2003,Daring Digital Award,Digital Spectrum,False,False,Girlie,nm0875715,Benjamin Tucek,Girlie,2003.0,Comedy,92675
tt0209077,2003,Daring Digital Award,Digital Spectrum,False,False,Ken Park,nm0164187,Larry Clark,Ken Park,2002.0,Drama,1497515
tt0270688,2003,Daring Digital Award,Digital Spectrum,False,False,Teknolust,nm0380961,Lynn Hershman-Leeson,Teknolust,2010.0,Comedy,67327
tt0351369,2004,Woosuk Award,Indie Vision,False,False,Mods,nm0102516,Serge Bozon,Mods,2003.0,Comedy,9765
tt0384708,2004,Woosuk Award,Indie Vision,False,False,Mud,nm0952077,Dervis Zaim,Mud,2003.0,Drama,20431
tt0368954,2004,Woosuk Award,Indie Vision,False,False,S21: The Khmer Rouge Killing Machine,nm0659454,Rithy Panh,S21: The Khmer Rouge Killing Machine,2003.0,Others,63757
tt0389361,2004,Woosuk Award,Indie Vision,False,False,Searching for the Wrong-Eyed Jesus,nm1497918,Andrew Douglas,Searching for the Wrong-Eyed Jesus,2004.0,Others,215995
tt0951302,2004,Woosuk Award,Indie Vision,False,False,Tang Poetry,nm2209378,Lu Zhang,Tang Poetry,2003.0,Others,2741
tt0379577,2004,Woosuk Award,Indie Vision,False,False,Vodka Lemon,nm0757954,Hiner Saleem,Vodka Lemon,2004.0,Comedy,180408
tt0379217,2004,Audience Award,,True,True,Coffee and Cigarettes,nm0000464,Jim Jarmusch,Coffee and Cigarettes,2004.0,Comedy,13643907
tt0384566,2004,Daring Digital Award,Digital Spectrum,True,True,Havana Suite,nm0702148,Fernando Pérez,Havana Suite,2006.0,Others,74866
tt0325234,2004,Daring Digital Award,Digital Spectrum,False,False,The Delicate Art of Parking,nm0138034,Trent Carlson,The Delicate Art of Parking,2004.0,Comedy,587837
tt0380419,2005,Woosuk Award,Indie Vision,False,False,Hollands licht,nm1450395,Pieter-Rim de Kroon,Hollands licht,2005.0,Others,89112
tt0406216,2005,Woosuk Award,Indie Vision,False,False,Schizo,nm0648344,Gulshat Omarova,Schizo,2004.0,Others,145529
tt0329485,2005,Audience Award,,True,True,The Butterfly,nm0003974,Philippe Muyl,The Butterfly,2003.0,Others,9663816
tt0381682,2005,JJ-Star Award,Digital Spectrum,False,False,A Hole in My Heart,nm0600546,Lukas Moodysson,A Hole in My Heart,2005.0,Drama,9938
tt0402906,2005,JJ-Star Award,Digital Spectrum,False,False,Czech Dream,nm1109731,Vít Klusák,Czech Dream,2007.0,Comedy,93888
tt0423176,2005,JJ-Star Award,Digital Spectrum,False,False,The World,nm0422605,Zhangke Jia,The World,2004.0,Drama,415889
tt0468981,2005,JJ-Star Award,Digital Spectrum,False,False,Yuda,nm0955270,Takahisa Zeze,Yuda,2007.0,Others,1917
tt0425979,2006,Woosuk Award,Indie Vision,False,False,Familia,nm0033596,Louise Archambault,Familia,2006.0,Drama,2964
tt0476298,2006,Woosuk Award,Indie Vision,False,False,Madeinusa,nm2013191,Claudia Llosa,Madeinusa,2006.0,Drama,313286
tt0464105,2006,Woosuk Award,Indie Vision,False,False,Man Push Cart,nm1023919,Ramin Bahrani,Man Push Cart,2006.0,Drama,119218
tt0446747,2006,Woosuk Award,Indie Vision,False,False,Mutual Appreciation,nm1216004,Andrew Bujalski,Mutual Appreciation,2005.0,Comedy,297193
tt0406098,2006,Woosuk Award,Indie Vision,False,False,Something Like Happiness,nm0805246,Bohdan Sláma,Something Like Happiness,2005.0,Drama,1770851
tt0420332,2006,Audience Award,,True,True,Veer-Zaara,nm0007181,Yash Chopra,Veer-Zaara,2004.0,Drama,13146343
tt4224212,2006,Audience Critics' Award,Korean Cinema on the Move,True,True,Shocking Family,nm3628728,Kyungsoon,Shocking Family,2006.0,Others,3012
tt4226126,2006,JJ-Star Award,Digital Spectrum,False,False,Heavenly Path,nm4156271,Eung-soo Kim,Heavenly Path,2007.0,Drama,9353
tt0477999,2006,JJ-Star Award,Digital Spectrum,False,False,The Masseur,nm1137289,Brillante Mendoza,The Masseur,2005.0,Drama,13855
tt0949365,2007,Woosuk Award,Indie Vision,False,False,Chris,nm1966841,Jan Gassmann,Chris,2009.0,Others,93418
tt0855895,2007,Woosuk Award,Indie Vision,False,False,Private Property,nm1050098,Joachim Lafosse,Private Property,2007.0,Drama,747624
tt0827517,2007,Woosuk Award,Indie Vision,False,False,Reprise,nm1258686,Joachim Trier,Reprise,2007.0,Drama,2338238
tt0805488,2007,Woosuk Award,Indie Vision,False,True,Salty Air,nm0029587,Alessandro Angelini,Salty Air,2007.0,Drama,649044
tt0496566,2007,Woosuk Award,Indie Vision,False,False,Schroeder's Wonderful World,nm1491557,Michael Schorr,Schroeder's Wonderful World,2006.0,Others,53072
tt0478366,2007,Woosuk Award,Indie Vision,False,False,The Journals of Knud Rasmussen,nm1075633,Norman Cohn,The Journals of Knud Rasmussen,2006.0,Drama,530541
tt1206282,2007,Woosuk Award,Indie Vision,False,False,Una ballata bianca,nm2961323,Stefano Odoardi,Una ballata bianca,2007.0,Drama,1355
