tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0135650,1997,Best Israeli Screenplay,,True,True,The Milky Way,nm0621956,Ali Nassar,The Milky Way,1997.0,Drama,1763
tt0162050,1998,Wolgin Award,Best Israeli Feature Film,True,True,Yom Yom,nm0321159,Amos Gitai,Yom Yom,2001.0,Others,3549
tt0162909,1999,Wolgin Award,Best Israeli Feature,True,True,Yana's Friends,nm0438438,Arik Kaplun,Yana's Friends,1999.0,Others,95639
tt0202077,1999,Mayors' Award,Best Feature,True,True,Voyages,nm0277933,Emmanuel Finkiel,Voyages,2000.0,Drama,1549
tt0188653,1999,In Spirit for Freedom Award - Honorable Mention,Best Documentary,True,True,Journey to the Sun,nm0882445,Yesim Ustaoglu,Journey to the Sun,2001.0,Drama,6382
tt0287471,2001,Wolgin Award,Best Israeli Feature,True,True,Late Marriage,nm0467017,Dover Koshashvili,Late Marriage,2002.0,Others,5006898
tt0295281,2001,Best Script Award,Best Script Award,True,True,Giraffes,,[],Giraffes,2002.0,Others,22702
tt0317842,2002,Wolgin Award,Best Israeli Feature,True,True,Broken Wings,nm0074844,Nir Bergman,Broken Wings,2003.0,Drama,1662077
tt0280491,2002,In Spirit for Freedom Award,Best Feature,True,False,Bloody Sunday,nm0339030,Paul Greengrass,Bloody Sunday,2002.0,Drama,3653451
tt0388311,2004,Wolgin Award,Best Israeli Feature,True,True,Or (My Treasure),nm0947121,Keren Yedaya,Or (My Treasure),2004.0,Drama,326334
tt0405461,2004,Best Cinematography,Documentary,True,True,Watermarks,nm0403809,Tom Hurwitz,Watermarks,2005.0,Documentary,659557
tt0376177,2005,Mayors' Award,Best Feature,True,True,Only Human,nm0361828,Dominic Harari,Only Human,2005.0,Others,1726936
tt0441001,2005,In Spirit for Freedom Award,Best Documentary,True,False,The Devil's Miner,nm0203400,Kief Davidson,The Devil's Miner,2005.0,Documentary,37528
tt0498846,2006,Wolgin Award,Best Israeli Feature,False,False,Sweet Mud,nm0789496,Dror Shaul,Sweet Mud,2007.0,Drama,154411
tt0464029,2006,In Spirit for Freedom Award,Best Feature,True,False,Esma's Secret - Grbavica,nm1120092,Jasmila Zbanic,Grbavica: The Land of My Dreams,2007.0,Drama,1119560
tt0756231,2006,The Jewish Experience Award,The Avner Shalev Yad Vashem Chairman's Award,True,True,Ninas resa,nm0251846,Lena Einhorn,Ninas resa,2007.0,Drama,494474
tt0418847,2006,The Jewish Experience Award,The Avner Shalev Yad Vashem Chairman's Award - Honorable Mention,False,False,Nina's House,nm0218252,Richard Dembo,Nina's House,2007.0,Drama,736643
tt1032856,2007,Wolgin Award,Best Israeli Feature,True,True,The Band's Visit,nm0464115,Eran Kolirin,The Band's Visit,2008.0,Others,21075865
tt0816672,2007,Wolgin Award,Best Israeli Feature,False,False,Tehilim,nm0618930,Raphaël Nadjari,Tehilim,2008.0,Drama,147994
tt0808417,2007,In Spirit for Freedom Award,Best Feature,True,False,Persepolis,nm2277869,Marjane Satrapi,Persepolis,2008.0,Others,32832215
tt1260396,2008,Wolgin Award,Best Israeli Feature,True,True,7 Days,nm1729095,Shlomi Elkabetz,7 Days,2008.0,Drama,779423
tt1043869,2008,Wolgin Award,Best Israeli Feature,False,False,For My Father,nm0951944,Dror Zahavi,For My Father,2010.0,Drama,220404
tt0986233,2008,In Spirit for Freedom Award,Best Feature,True,False,Hunger,nm2588606,Steve McQueen,Hunger,2008.0,Others,3900326
tt0920460,2008,FIPRESCI Prize,,True,True,Gitmek: My Marlon and Brando,nm2345855,Hüseyin Karabey,Gitmek: My Marlon and Brando,2008.0,Drama,66493
tt1077262,2009,Wolgin Award,Best Israeli Feature,True,True,Ajami,nm2738713,Scandar Copti,Ajami,2009.0,Others,2262881
tt1424327,2009,Wolgin Award,Best Israeli Feature,False,True,Eyes Wide Open,nm3432861,Haim Tabakman,Eyes Wide Open,2009.0,Drama,357987
tt1406160,2009,Wolgin Award,Best Israeli Feature,False,False,Jaffa,nm0947121,Keren Yedaya,Jaffa,2009.0,Drama,639746
tt1483831,2009,Wolgin Award,Best Israeli Feature,False,False,Lebanon,nm1413443,Samuel Maoz,Lebanon,2009.0,Drama,1929109
tt1333634,2009,FIPRESCI Prize,,True,True,Burma VJ: Reporting from a Closed Country,nm0960312,Anders Østergaard,Burma VJ: Reporting from a Closed Country,2009.0,Documentary,211984
tt1568328,2010,In Spirit for Freedom Award,Best Documentary,True,False,Enemies of the People,nm2215000,Rob Lemkin,Enemies of the People,2010.0,Documentary,179070
tt1503777,2010,In Spirit for Freedom Award,Best Feature,True,False,Illégal,nm0557267,Olivier Masset-Depasse,Illégal,2011.0,Drama,332500
tt1542411,2010,In Spirit for Freedom Award - Honorable Mention,Best Documentary,True,True,Budrus,nm1646089,Julia Bacha,Budrus,2010.0,Others,159731
tt1495823,2010,In Spirit for Freedom Award - Honorable Mention,Best Feature,True,True,Korkoro,nm0309697,Tony Gatlif,Korkoro,2011.0,Drama,726538
tt1568923,2010,The Jewish Experience Award,Forum for the Preservation of Audio-Visual Memory,True,True,A Film Unfinished,nm2478131,Yael Hersonski,A Film Unfinished,2010.0,Documentary,756408
tt0808526,2010,The Jewish Experience Award,Lia Award,True,True,Life During Wartime,nm0001754,Todd Solondz,Life During Wartime,2009.0,Others,1270105
tt1826583,2011,In Spirit for Freedom Award,Best Documentary,True,False,A Bitter Taste of Freedom,nm0325960,Marina Goldovskaya,A Bitter Taste of Freedom,2011.0,Documentary,6690
tt1710625,2011,The Avner Shalev Yad Vashem Chairman's Award,Best Feature,True,True,Wunderkinder,nm0742659,Marcus O. Rosenmüller,Wunderkinder,2011.0,Drama,177605
tt1978447,2011,Haggiag Award,Best Israeli Feature,False,True,Policeman,nm2028715,Nadav Lapid,Policeman,2011.0,Drama,55897
tt2069916,2011,Van Leer Group Foundation Award,Best Israeli Documentary,True,True,The Law in These Parts,nm0018924,Ra'anan Alexandrowicz,The Law in These Parts,2012.0,Documentary,30853
tt2071620,2011,Van Leer Group Foundation Award,Best Israeli Documentary,False,False,The Flat,nm0325606,Arnon Goldfinger,The Flat,2012.0,Documentary,1172071
tt1727491,2011,Special Mention,,False,False,"Connected: An Autoblogography About Love, Death & Technology",nm1286067,Tiffany Shlain,"Connected: An Autoblogography About Love, Death & Technology",2011.0,Documentary,108572
tt1961438,2011,Forum for Preservation of Audio-Visual Memory Award,Best Documentary,True,True,Nicky's Family,nm0590882,Matej Minac,Nicky's Family,2011.0,Documentary,29978
tt1874416,2012,In Spirit for Freedom Award,Best Feature,True,False,Aquí y Allá: Here and There,nm3564648,Antonio Méndez Esparza,Aquí y Allá: Here and There,2012.0,Drama,25423
tt2075276,2012,The Jewish Experience Award,Lia Award,True,True,Papirosen,nm2644707,Gastón Solnicki,Papirosen,2014.0,Documentary,12362
tt2125423,2012,Van Leer Group Foundation Award,Best Israeli Documentary,True,True,Five Broken Cameras,nm4796818,Emad Burnat,Five Broken Cameras,2012.0,Documentary,289137
tt2852470,2013,In Spirit for Freedom Award,Best Documentary,True,False,The Missing Picture,nm0659454,Rithy Panh,The Missing Picture,2014.0,Documentary,140845
tt2507592,2013,In Spirit for Freedom Award,Best Feature,True,False,An Episode in the Life of an Iron Picker,nm0849786,Danis Tanovic,An Episode in the Life of an Iron Picker,2013.0,Drama,47977
tt2209300,2013,The Avner Shalev Yad Vashem Chairman's Award,Best Feature,True,True,Aftermath,nm0664582,Wladyslaw Pasikowski,Aftermath,2013.0,Drama,1855741
tt2049589,2014,In Spirit for Freedom Award,Best Documentary,True,False,Watchers of the Sky,nm0069797,Edet Belzberg,Watchers of the Sky,2015.0,Others,41558
tt3675486,2014,In Spirit for Freedom Award,Best Documentary,False,False,Maidan,nm0523665,Sergey Loznitsa,Maidan,2014.0,Documentary,8508
tt3409392,2014,In Spirit for Freedom Award,Best Feature,True,False,Timbuktu,nm0803066,Abderrahmane Sissako,Timbuktu,2014.0,Drama,8885318
tt2232578,2014,In Spirit for Freedom Award,Best Feature,False,False,Canopy,nm1462005,Aaron Wilson,Canopy,2014.0,Others,18179
tt2236092,2014,In Spirit for Freedom Award,Best Feature,False,False,Come to My Voice,nm2345855,Hüseyin Karabey,Come to My Voice,2014.0,Drama,4067
tt2611390,2014,In Spirit for Freedom Award,Best Feature,False,False,Difret,nm1877993,Zeresenay Mehari,Difret,2015.0,Others,157808
tt3078242,2014,In Spirit for Freedom Award,Best Feature,False,False,Miss Violence,nm3189793,Alexandros Avranas,Miss Violence,2014.0,Drama,157429
tt2991224,2014,In Spirit for Freedom Award,Best Feature,False,True,Tangerines,nm0882203,Zaza Urushadze,Tangerines,2015.0,Drama,1262227
tt3499048,2014,FIPRESCI Prize,International First Film,True,True,Güeros,nm2091911,Alonso Ruizpalacios,Güeros,2014.0,Others,175129
tt2861532,2014,FIPRESCI Prize,International First Film,False,False,A Wolf at the Door,nm2036500,Fernando Coimbra,A Wolf at the Door,2014.0,Others,481228
tt2338864,2014,FIPRESCI Prize,International First Film,False,False,Finsterworld,nm2746964,Frauke Finsterwalder,Finsterworld,2015.0,Drama,656186
tt2315628,2014,FIPRESCI Prize,International First Film,False,False,For Those in Peril,nm3591467,Paul Wright,For Those in Peril,2014.0,Drama,4174
tt2414046,2014,FIPRESCI Prize,International First Film,False,False,The Amazing Catfish,nm2404755,Claudia Sainte-Luce,The Amazing Catfish,2014.0,Others,345741
tt3077150,2014,FIPRESCI Prize,International First Film,False,False,White Shadow,nm1068981,Noaz Deshe,White Shadow,2015.0,Drama,1664
tt3062880,2014,Haggiag Award,Audience Award,True,True,Gett: The Trial of Viviane Amsalem,nm0253813,Ronit Elkabetz,Gett: The Trial of Viviane Amsalem,2014.0,Drama,2418768
tt3709678,2014,Haggiag Award,Best Israeli Feature,False,True,The Kindergarten Teacher,nm2028715,Nadav Lapid,The Kindergarten Teacher,2014.0,Drama,344688
tt3600588,2014,The Jewish Experience Award,Lia Award,True,True,24 Days,nm0002178,Alexandre Arcady,24 Days,2015.0,Drama,1164897
tt3358086,2014,The Jewish Experience Award,The Avner Shalev Yad Vashem Chairman's Award,True,True,Radical Evil,nm0752328,Stefan Ruzowitzky,Radical Evil,2014.0,Documentary,123830
tt3508830,2014,Van Leer Group Foundation Award,Best Israeli Documentary,True,True,Der Anständige,nm6263561,Vanessa Lapa,Der Anständige,2014.0,Documentary,60820
tt4377864,2015,In Spirit for Freedom Award,Best Documentary,True,False,The Pearl Button,nm0350099,Patricio Guzmán,The Pearl Button,2015.0,Documentary,173975
tt4126312,2015,In Spirit for Freedom Award,Best Documentary,False,False,"3½ Minutes, Ten Bullets",nm3997712,Marc Silver,"3½ Minutes, Ten Bullets",2015.0,Others,76180
tt3717068,2015,In Spirit for Freedom Award,Best Feature,False,False,Court,nm4058904,Chaitanya Tamhane,Court,2015.0,Drama,86922
tt3146294,2015,In Spirit for Freedom Award,Best Feature,False,False,May Allah Bless France!,nm1601029,Abd Al Malik,May Allah Bless France!,2014.0,Drama,928389
tt3982854,2015,In Spirit for Freedom Award,Best Feature,False,False,Song of My Mother,nm3646119,Erol Mintas,Song of My Mother,2015.0,Drama,11075
tt3566788,2015,FIPRESCI Prize,International First Film,True,True,Songs My Brothers Taught Me,nm2125482,Chloé Zhao,Songs My Brothers Taught Me,2015.0,Drama,198713
tt3685622,2015,FIPRESCI Prize,International First Film,False,False,600 Miles,nm2239581,Gabriel Ripstein,600 Miles,2016.0,Drama,299969
tt4135844,2015,FIPRESCI Prize,International First Film,False,False,Ixcanul,nm3563342,Jayro Bustamante,Ixcanul,2015.0,Drama,955834
tt4266638,2015,FIPRESCI Prize,International First Film,False,False,Krisha,nm4099092,Trey Edward Shults,Krisha,2016.0,Drama,310827
tt4663992,2015,FIPRESCI Prize,International First Film,False,False,Land and Shade,nm6671999,César Augusto Acevedo,Land and Shade,2016.0,Drama,174858
