tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0039155,1948,Crystal Globe,Best Film,False,False,Antoine and Antoinette,nm0065442,Jacques Becker,Antoine and Antoinette,1948.0,Comedy,208389
tt0040481,1948,Crystal Globe,Best Film,False,False,It Always Rains on Sunday,nm0357607,Robert Hamer,It Always Rains on Sunday,1949.0,Others,564664
tt0036868,1948,Crystal Globe,Best Film,False,True,The Best Years of Our Lives,nm0943758,William Wyler,The Best Years of Our Lives,1946.0,Drama,567563949
tt0050454,1958,Crystal Globe,Best Film,False,False,La grande strada azzurra,nm0690597,Gillo Pontecorvo,La grande strada azzurra,2001.0,Drama,9677
tt0055506,1962,Crystal Globe,Best Film,False,True,A Taste of Honey,nm0724798,Tony Richardson,A Taste of Honey,1962.0,Drama,38899
tt0054599,1962,Crystal Globe,Best Film,False,True,Accattone,nm0001596,Pier Paolo Pasolini,Accattone,1968.0,Drama,16699
tt0054803,1962,Crystal Globe,,True,False,Nine Days of One Year,nm0739677,Mikhail Romm,Nine Days of One Year,1964.0,Drama,5160
tt0058249,1964,Crystal Globe,Best Film,False,True,Diary of a Chambermaid,nm0000320,Luis Buñuel,Diary of a Chambermaid,1965.0,Others,144952
tt0058203,1964,Crystal Globe,Best Film,False,False,That Man from Rio,nm0003606,Philippe de Broca,That Man from Rio,1964.0,Others,579417
tt0060722,1966,Crystal Globe,Best Film,False,True,Death of a Bureaucrat,nm0349425,Tomás Gutiérrez Alea,Death of a Bureaucrat,1979.0,Comedy,11876
tt0061735,1968,Crystal Globe,Best Film,False,False,Guess Who's Coming to Dinner,nm0006452,Stanley Kramer,Guess Who's Coming to Dinner,1967.0,Comedy,854339434
tt0063291,1968,Crystal Globe,Best Film,False,True,Memories of Underdevelopment,nm0349425,Tomás Gutiérrez Alea,Memories of Underdevelopment,1973.0,Drama,365276
tt0062141,1968,Crystal Globe,Best Film,False,True,Poor Cow,nm0516360,Ken Loach,Poor Cow,1968.0,Drama,117724
tt0064541,1970,Crystal Globe,,True,False,Kes,nm0516360,Ken Loach,Kes,1970.0,Drama,127232
tt0078718,1980,Best Actor,,True,True,...and justice for all.,nm0000199,Al Pacino,...and justice for all.,1979.0,Others,226323095
tt0082846,1982,Best Actor,,True,True,On Golden Pond,nm0000020,Henry Fonda,On Golden Pond,1982.0,Drama,644464134
tt0105498,1992,Crystal Globe,,False,False,Between Heaven and Earth,nm0405578,Marion Hänsel,Between Heaven and Earth,1992.0,Drama,2915
tt0107865,1992,Crystal Globe,,False,False,La postière,nm0137345,Gilles Carle,La postière,1992.0,Comedy,549565
tt0102969,1992,Crystal Globe,,False,False,The Efficiency Expert,nm0423623,Mark Joffe,The Efficiency Expert,1992.0,Comedy,645956
tt0109297,1994,Crystal Globe,,False,False,Blink,nm0000776,Michael Apted,Blink,1994.0,Others,58367788
tt0109781,1994,Crystal Globe,,False,True,Lesson Faust,nm0840905,Jan Svankmajer,Lesson Faust,1995.0,Others,3563074
tt0111712,1994,Crystal Globe,,False,True,Widows' Peak,nm0410139,John Irvin,Widows' Peak,1994.0,Comedy,21634856
tt0112427,1995,Crystal Globe,,False,False,An Awfully Big Adventure,nm0001565,Mike Newell,An Awfully Big Adventure,1995.0,Comedy,870451
tt0109529,1995,Crystal Globe,,False,False,Dance Me Outside,nm0567680,Bruce McDonald,Dance Me Outside,1995.0,Comedy,223575
tt0109771,1995,Crystal Globe,,False,False,Farinelli,nm0179216,Gérard Corbiau,Farinelli,1995.0,Others,5356780
tt0110581,1995,Crystal Globe,,False,False,Mouvements du désir,nm0690794,Léa Pool,Mouvements du désir,1997.0,Drama,166358
tt0116754,1996,Crystal Globe,,True,True,Prisoner of the Mountains,nm0091076,Sergei Bodrov,Prisoner of the Mountains,1997.0,Drama,2749773
tt0112819,1996,Crystal Globe,,False,False,Dead Presidents,nm0400441,Allen Hughes,Dead Presidents,1995.0,Others,80296204
tt0116722,1996,Crystal Globe,,False,False,Jude,nm0935863,Michael Winterbottom,Jude,1996.0,Drama,1320984
tt0113083,1996,Crystal Globe,,False,True,The Flower of My Secret,nm0000264,Pedro Almodóvar,The Flower of My Secret,1996.0,Drama,3625997
tt0119590,1997,Crystal Globe,,True,False,Ma vie en rose,nm0075626,Alain Berliner,Ma Vie en Rose,1997.0,Drama,6850660
tt0115886,1997,Crystal Globe,,False,False,Children of the Revolution,nm0242064,Peter Duncan,Children of the Revolution,1997.0,Comedy,2674697
tt0116116,1997,Crystal Globe,,False,True,Devil's Island,nm0296144,Friðrik Þór Friðriksson,Devil's Island,1997.0,Comedy,18388
tt0117365,1997,Crystal Globe,,False,True,Portraits chinois,nm0240987,Martine Dugowson,Portraits chinois,1999.0,Comedy,24851
tt0119951,1997,Crystal Globe,,False,True,Private Parts,nm0858525,Betty Thomas,Private Parts,1997.0,Others,131705602
tt0120687,1998,Crystal Globe,,False,True,The Governess,nm0325128,Sandra Goldbacher,The Governess,1998.0,Drama,11648444
tt0128133,1998,Crystal Globe,,False,True,The Harmonists,nm0005917,Joseph Vilsmaier,The Harmonists,1999.0,Others,760774
tt0162909,1999,Crystal Globe,,True,True,Yana's Friends,nm0438438,Arik Kaplun,Yana's Friends,1999.0,Comedy,95639
tt0167331,1999,Crystal Globe,,False,True,Cosy Dens,nm0398575,Jan Hrebejk,Cosy Dens,1999.0,Comedy,3384952
tt0157503,1999,Crystal Globe,,False,True,Drop Dead Gorgeous,nm0417794,Michael Patrick Jann,Drop Dead Gorgeous,1999.0,Comedy,32411543
tt0192745,1999,Crystal Globe,,False,False,Life is to Whistle,nm0702148,Fernando Pérez,Life is to Whistle,1999.0,Drama,98881
tt0150662,1999,Crystal Globe,,False,True,Show Me Love,nm0600546,Lukas Moodysson,Show Me Love,1999.0,Comedy,597604
tt0144201,1999,Crystal Globe,,False,True,The Girl on the Bridge,nm0496312,Patrice Leconte,Girl on the Bridge,1999.0,Comedy,2600373
tt0159272,1999,Award of Ecumenical Jury - Special Mention,,True,True,Beautiful People,nm0229026,Jasmin Dizdar,Beautiful People,2000.0,Comedy,795515
