tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0201840,2000,Golden Crow Pheasant,,False,True,The Cup,nm0634897,Khyentse Norbu,The Cup,2000.0,Comedy,3293094
tt0162909,2000,Golden Crow Pheasant,,False,False,Yana's Friends,nm0438438,Arik Kaplun,Yana's Friends,1999.0,Comedy,95639
tt0260688,2001,Golden Crow Pheasant,,True,True,Ali Zaoua: Prince of the Streets,nm0043953,Nabil Ayouch,Ali Zaoua: Prince of the Streets,2001.0,Others,9515
tt0280927,2001,Golden Crow Pheasant,,False,False,This Is My Moon,nm0359491,Asoka Handagama,This Is My Moon,2001.0,Others,9392
tt0285848,2002,Golden Crow Pheasant,,True,False,The Orphan of Anyang,nm0910852,Chao Wang,The Orphan of Anyang,2001.0,Drama,125893
tt0324011,2002,Golden Crow Pheasant,,False,False,Atash,nm0159603,Saâd Chraïbi,Atash,2002.0,Others,1296
tt0303998,2002,Golden Crow Pheasant,,False,False,Fatma,nm0315865,Khaled Ghorbal,Fatma,2002.0,Drama,90447
tt0241663,2002,Golden Crow Pheasant,,False,False,To the Left of the Father,nm0142461,Luiz Fernando Carvalho,To the Left of the Father,2002.0,Drama,731416
tt0307913,2003,Golden Crow Pheasant,,True,True,Abouna,nm0757958,Mahamat-Saleh Haroun,Abouna,2003.0,Drama,26393
tt0368913,2003,Golden Crow Pheasant,,False,True,Osama,nm1383995,Siddiq Barmak,Osama,2003.0,Drama,7172818
tt0357283,2003,Golden Crow Pheasant,,False,False,Silent Waters,nm0838526,Sabiha Sumar,Silent Waters,2004.0,Drama,19769
tt0319836,2003,Golden Crow Pheasant,,False,False,The Clay Bird,nm1181881,Tareque Masud,The Clay Bird,2003.0,Drama,65893
tt0303267,2003,Golden Crow Pheasant,,False,False,The Last Train,nm0037597,Diego Arsuaga,The Last Train,2003.0,Others,676771
tt0367859,2003,Golden Crow Pheasant,,False,True,The Man Who Copied,nm0299134,Jorge Furtado,The Man Who Copied,2004.0,Comedy,66309
