tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0037635,1946,Prize,Most Interesting Screenplay,True,True,Dead of Night,nm0146709,Alberto Cavalcanti,Dead of Night,1946.0,Others,26224
tt0039966,1947,Prize,Best Screenplay,True,True,To Live in Peace,nm0147599,Suso Cecchi D'Amico,To Live in Peace,1947.0,Comedy,24337904
tt0039628,1948,Prize,"Best Screenplay, Adapted",True,True,Miracle on 34th Street,nm0780833,George Seaton,Miracle on 34th Street,1947.0,Comedy,30781918
tt0040522,1949,Special Prize of the Jury,,True,True,Bicycle Thieves,nm0001120,Vittorio De Sica,Bicycle Thieves,1949.0,Drama,8663607
tt0040978,1949,Special Prize,,True,True,Yellow Sky,nm0920074,William A. Wellman,Yellow Sky,1949.0,Others,59627866
tt0043129,1950,Grand Prix,,True,True,When Willie Comes Marching Home,nm0000406,John Ford,When Willie Comes Marching Home,1950.0,Comedy,19030170
tt0045935,1954,Prize,,True,True,Gate of Hell,nm0455938,Teinosuke Kinugasa,Gate of Hell,1954.0,Drama,70586
tt0050083,1957,Special Mention,,True,True,12 Angry Men,nm0001486,Sidney Lumet,12 Angry Men,1957.0,Drama,5275
tt0069704,1973,Bronze Leopard,,True,True,American Graffiti,nm0000184,George Lucas,American Graffiti,1973.0,Comedy,1303238137
tt0128142,1973,Special Prize of the Jury,,True,True,Cousin Jules,nm0071165,Dominique Benicheti,Cousin Jules,2012.0,Others,64820
tt0071219,1974,Silver Leopard,,True,True,A Bigger Splash,nm0371883,Jack Hazan,A Bigger Splash,1973.0,Others,959173
tt0071381,1974,Special Prize of the Jury,,True,True,Celine and Julie Go Boating,nm0729626,Jacques Rivette,Celine and Julie Go Boating,1974.0,Comedy,314579
tt0088184,1984,Golden Leopard,,True,True,Stranger Than Paradise,nm0000464,Jim Jarmusch,Stranger Than Paradise,1984.0,Comedy,11857427
tt0089015,1985,Bronze Leopard,,True,True,Desert Hearts,nm0001726,Helen Shaver,Desert Hearts,1986.0,Drama,11706766
tt0091375,1986,Bronze Leopard,,True,True,Lamb,nm0339567,Colin Gregg,Lamb,1985.0,Drama,23866
tt0091355,1987,Silver Leopard,,True,True,The Terrorizers,nm0945981,Edward Yang,The Terrorizers,1986.0,Others,2740
tt0095037,1988,Golden Leopard,,True,False,"Distant Voices, Still Lives",nm0203993,Terence Davies,"Distant Voices, Still Lives",1988.0,Drama,3125680
tt0094596,1988,Golden Leopard,,False,False,36 fillette,nm0106924,Catherine Breillat,36 fillette,1989.0,Drama,865421
