tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0111048,1994,Best Film,,False,False,S.F.W.,nm0506461,Jefery Levy,S.F.W.,1995.0,Others,215976
tt0114550,1995,Audience Award,,True,True,Stonewall,nm0277439,Nigel Finch,Stonewall,1996.0,Others,2242603
tt0116631,1996,Audience Award,,True,True,Alive and Kicking,nm0575361,Nancy Meckler,Alive and Kicking,1997.0,Others,321890
tt0116844,1997,Satyajit Ray Award,,True,True,Lea,nm0299697,Ivan Fíla,Lea,1997.0,Drama,49594
tt0126810,1998,Audience Award,,True,True,Bedrooms and Hallways,nm0873266,Rose Troche,Bedrooms and Hallways,1999.0,Others,418376
tt0120321,1998,Satyajit Ray Award,,True,True,Smoke Signals,nm0264220,Chris Eyre,Smoke Signals,1998.0,Others,21333710
tt0171804,1999,Satyajit Ray Award,,True,True,Boys Don't Cry,nm0005303,Kimberly Peirce,Boys Don't Cry,2000.0,Others,34453026
tt0258761,2000,FIPRESCI Prize - Special Mention,,True,True,Last Resort,nm0667734,Pawel Pawlikowski,Last Resort,2001.0,Drama,169378
tt0247425,2001,Satyajit Ray Award,,True,True,In the Bedroom,nm0276062,Todd Field,In the Bedroom,2002.0,Others,115979389
tt0301050,2001,FIPRESCI Prize,,True,True,Bolivia,nm0128382,Israel Adrián Caetano,Bolivia,2003.0,Drama,105441
tt0290823,2001,FIPRESCI Prize - Special Mention,,True,True,Secret Ballot,nm0668165,Babak Payami,Secret Ballot,2002.0,Others,337772
tt0318011,2002,Satyajit Ray Award,,True,True,Rachida,nm0159364,Yamina Bachir,Rachida,2003.0,Drama,121907
tt0317476,2002,FIPRESCI Prize,,True,True,Angel on the Right,nm0882403,Jamshed Usmonov,Angel on the Right,2004.0,Others,115572
tt0338453,2003,Satyajit Ray Award,,True,True,Someone Like Hodder,nm0313227,Henrik Ruben Genz,Someone Like Hodder,2003.0,Others,176833
tt0361127,2004,Satyajit Ray Award,,True,True,The Woodsman,nm0975026,Nicole Kassell,The Woodsman,2004.0,Drama,8630452
tt0405629,2004,FIPRESCI Prize,,True,True,Aaltra,nm0218022,Benoît Delépine,Aaltra,2004.0,Others,8185
tt0478331,2005,Grierson Award,,True,True,Workingman's Death,nm0322198,Michael Glawogger,Workingman's Death,2006.0,Documentary,5694
tt0464105,2005,FIPRESCI Prize,,True,True,Man Push Cart,nm1023919,Ramin Bahrani,Man Push Cart,2006.0,Drama,119218
