tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0054270,1960,Mannheim Film Ducat,,True,True,The Savage Eye,nm0534693,Ben Maddow,The Savage Eye,1960.0,Drama,141293
tt0060802,1966,Grand Prize,,True,True,Closely Watched Trains,nm0579954,Jirí Menzel,Closely Watched Trains,1967.0,Comedy,259324
tt0062315,1966,FIPRESCI Prize,,True,False,Sublokator,nm0538105,Janusz Majewski,Sublokator,1967.0,Comedy,14049091
tt0128142,1973,Interfilm Award,,True,True,Cousin Jules,nm0071165,Dominique Benicheti,Cousin Jules,2012.0,Others,64820
tt0084361,1982,Josef von Sternberg Award,,True,True,Mourir à 30 ans,nm0332647,Romain Goupil,Mourir à 30 ans,1983.0,Others,93325
tt0087280,1984,Josef von Sternberg Award,,True,True,The Element of Crime,nm0001885,Lars von Trier,The Element of Crime,1984.0,Others,2434
tt0102993,1990,Grand Prize,,True,True,Strangers in Good Company,nm0778993,Cynthia Scott,Strangers in Good Company,1991.0,Drama,1889639
tt0115486,1996,International Independent Award,Best Feature,False,False,Ah-chung,nm0151844,Tso-chi Chang,Zhong zi,1997.0,Drama,86
tt0115754,1996,International Independent Award,Best Feature,False,False,Breathing Room,nm1073965,Jon Sherman,Breathing Room,1996.0,Comedy,52524
tt0116308,1996,International Independent Award,Best Feature,False,True,Fire,nm0576548,Deepa Mehta,Fire,1997.0,Drama,640060
tt0222989,1999,Special Prize in Memoriam R.W. Fassbinder - Honorable Mention,,True,True,Chittagong: The Last Stopover,nm0221087,Léon Desclozeaux,Chittagong: The Last Stopover,2000.0,Drama,4263
tt0260688,2000,Art of Film Award of Mannheim-Heidelberg,Best Feature,True,True,Ali Zaoua: Prince of the Streets,nm0846548,Saïd Taghmaoui,Ali Zaoua: Prince of the Streets,2001.0,Others,9515
tt0219288,2000,Special Mention,,True,True,Loners,nm0648576,David Ondrícek,Loners,2002.0,Comedy,1001419
tt0261900,2000,Audience Award,,True,True,Don't Cry Germaine,nm0208818,Alain de Halleux,Don't Cry Germaine,2001.0,Comedy,13151
tt0257930,2001,Special Prize in Memoriam R.W. Fassbinder,,True,True,Monas verden,nm0255411,Jonas Elmer,Monas verden,2001.0,Comedy,849712
tt0285280,2001,Prize of the Ecumenical Jury,,True,True,Kira's Reason: A Love Story,nm0535234,Ole Christian Madsen,Kira's Reason: A Love Story,2003.0,Drama,13633
tt0291131,2002,Main Award of Mannheim-Heidelberg,,True,True,The Devils,nm0749439,Christophe Ruggia,The Devils,2002.0,Drama,73361
tt0317211,2002,Special Mention,,True,True,Black Box,nm1166781,Luis Ortega,Black Box,2003.0,Drama,38161
tt0285566,2002,Special Prize in Memoriam R.W. Fassbinder,,True,True,Folk flest bor i Kina,nm0878763,Morten Tyldum,Folk flest bor i Kina,2002.0,Comedy,374932
tt0290867,2002,Audience Award,,True,True,La spagnola,nm0414646,Steve Jacobs,La spagnola,2001.0,Comedy,273505
