tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0296008,2001,Golden Star,,True,False,Inch'Allah dimanche,nm0071117,Yamina Benguigui,Inch'Allah dimanche,2002.0,Others,552592
tt0262210,2001,Golden Star,,False,True,Adanggaman,nm0530756,Roger Gnoan M'Bala,Adanggaman,2001.0,Drama,41267
tt0255067,2001,Golden Star,,False,False,Common Wealth,nm0407067,Álex de la Iglesia,Common Wealth,2001.0,Comedy,424338
tt0244504,2001,Golden Star,,False,True,Me You Them,nm0905343,Andrucha Waddington,Me You Them,2001.0,Comedy,1283346
tt0258967,2001,Golden Star,,False,True,The Unsaid,nm0572951,Tom McLoughlin,The Unsaid,2003.0,Others,3000524
tt0229211,2002,Golden Star,,False,False,America So Beautiful,nm0794782,Babak Shokrian,America So Beautiful,2001.0,Drama,18609
tt0291032,2002,Golden Star,,False,False,Balzac and the Little Chinese Seamstress,nm0197246,Sijie Dai,Balzac and the Little Chinese Seamstress,2002.0,Others,8282238
tt0286499,2002,Golden Star,,False,True,Bend It Like Beckham,nm0149446,Gurinder Chadha,Bend It Like Beckham,2003.0,Comedy,151067881
tt0317248,2002,Golden Star,,False,True,City of God,nm0576987,Fernando Meirelles,City of God,2004.0,Others,52489246
tt0305229,2002,Golden Star,,False,True,Rana's Wedding,nm0009463,Hany Abu-Assad,Rana's Wedding,2003.0,Comedy,49976
tt0319836,2002,Golden Star,,False,True,The Clay Bird,nm1181881,Tareque Masud,The Clay Bird,2003.0,Drama,65893
tt0291131,2002,Golden Star,,False,False,The Devils,nm0749439,Christophe Ruggia,The Devils,2002.0,Drama,73361
tt0318011,2002,Cinema of the South Award,,True,True,Rachida,nm0159364,Yamina Bachir,Rachida,2003.0,Drama,121907
tt0347105,2003,Golden Star,,True,True,Fuse,nm0952429,Pjer Zalica,Fuse,2003.0,Comedy,84315
tt0384566,2003,Golden Star,,False,False,Havana Suite,nm0702148,Fernando Pérez,Havana Suite,2006.0,Others,74866
tt0329388,2003,Golden Star,,False,False,Monsieur Ibrahim,nm0243191,François Dupeyron,Monsieur Ibrahim,2004.0,Comedy,19526220
tt0339558,2003,Golden Star,,False,True,Raja,nm0230695,Jacques Doillon,Raja,2003.0,Drama,380756
tt0363226,2003,Golden Star,,False,True,The Blind Swordsman: Zatoichi,nm0001429,Takeshi Kitano,The Blind Swordsman: Zatoichi,2004.0,Others,48729478
tt0340377,2003,Golden Star,,False,True,The Station Agent,nm0565336,Tom McCarthy,The Station Agent,2003.0,Comedy,20023306
tt0375063,2004,Golden Star,,True,False,Sideways,nm0668247,Alexander Payne,Sideways,2005.0,Comedy,242831604
tt0356446,2004,Golden Star,,False,False,Buenos Aires 100 Km,nm1334961,Pablo José Meza,Buenos Aires 100 Km,2005.0,Drama,8014
tt0363579,2004,Golden Star,,False,True,Down to the Bone,nm0335138,Debra Granik,Down to the Bone,2004.0,Drama,83456
tt0395125,2004,Golden Star,,False,False,El Crimen Perfecto (The Perfect Crime),nm0407067,Álex de la Iglesia,El Crimen Perfecto (The Perfect Crime),2005.0,Comedy,12430899
tt0424273,2004,Golden Star,,False,True,Electric Shadows,nm1718052,Jiang Xiao,Electric Shadows,2005.0,Drama,83024
tt0424237,2004,Golden Star,,False,False,Lila Says,nm0234780,Ziad Doueiri,Lila Says,2005.0,Others,883410
tt0416991,2004,Golden Star,,False,True,Moolaadé,nm0783733,Ousmane Sembene,Moolaadé,2004.0,Drama,956678
tt0366701,2004,Golden Star,,False,False,Producing Adults,nm1167412,Aleksi Salmenperä,Producing Adults,2004.0,Comedy,636444
tt0361670,2004,Golden Star,,False,False,The Great Journey,nm0275044,Ismaël Ferroukhi,The Great Journey,2005.0,Drama,63246
tt0415046,2004,Golden Star,,False,False,The Overture,nm1644521,Ittisoontorn Vichailak,The Overture,2005.0,Others,1720190
tt0415080,2004,Golden Star,,False,False,Triad Underworld,nm1494662,Ching-Po Wong,Triad Underworld,2010.0,Others,1949875
tt0424536,2004,Golden Star,,False,False,Vento di terra,nm0550059,Vincenzo Marra,Vento di terra,2005.0,Drama,61814
tt0433927,2005,Golden Star,,False,False,A golpes,nm0194729,Juan Vicente Córdoba,A golpes,2005.0,Drama,225947
tt0401085,2005,Golden Star,,False,True,C.R.A.Z.Y.,nm0885249,Jean-Marc Vallée,C.R.A.Z.Y.,2006.0,Comedy,4705341
tt0388318,2005,Golden Star,,False,False,Frozen Land,nm0521803,Aku Louhimies,Frozen Land,2006.0,Drama,2176355
tt0484113,2005,Golden Star,,False,False,L'iceberg,nm0008442,Dominique Abel,L'iceberg,2006.0,Comedy,49847
tt0464105,2005,Golden Star,,False,False,Man Push Cart,nm1023919,Ramin Bahrani,Man Push Cart,2006.0,Drama,119218
tt0461804,2005,Golden Star,,False,False,Mongolian Ping Pong,nm1928500,Hao Ning,Mongolian Ping Pong,2005.0,Comedy,250890
tt0386651,2005,Golden Star,,False,False,Mountain Patrol,nm1283651,Chuan Lu,Mountain Patrol,2005.0,Others,441283
tt0360960,2005,Golden Star,,False,False,Shadows of Time,nm0302780,Florian Gallenberger,Shadows of Time,2005.0,Drama,55017
tt0357110,2005,Golden Star,,False,True,The Ballad of Jack and Rose,nm0589182,Rebecca Miller,The Ballad of Jack and Rose,2005.0,Drama,2138311
tt0427873,2005,Golden Star,,False,False,The City of the Sun,nm0838499,Martin Sulík,The City of the Sun,2005.0,Comedy,126020
tt0418115,2006,Golden Star,,True,True,The Red Cockatoo,nm0333705,Dominik Graf,The Red Cockatoo,2006.0,Comedy,506653
tt0463385,2006,Golden Star,,False,True,A Sunday in Kigali,nm0269465,Robert Favreau,A Sunday in Kigali,2007.0,Drama,1973
