tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0051792,1959,Grand Prix,,False,True,The Music Room,nm0006249,Satyajit Ray,The Music Room,1963.0,Drama,787270
tt0056049,1961,Grand Prix,,True,True,The Naked Island,nm0793881,Kaneto Shindô,The Naked Island,1962.0,Drama,123343
tt0188589,1961,Grand Prix,,False,False,Enclosure,nm0309775,Armand Gatti,Enclosure,1961.0,Drama,37224
tt0056801,1963,Grand Prix,,True,True,8½,nm0000019,Federico Fellini,8½,1963.0,Drama,1937195
tt0059211,1963,Grand Prix,,False,False,Changes in the Village,nm0673754,Lester James Peries,Changes in the Village,2009.0,Drama,12805
tt0057115,1963,Grand Prix,,False,True,The Great Escape,nm0836328,John Sturges,The Great Escape,1963.0,Others,1897381
tt0146645,1965,Grand Prix,,False,False,Dosti,nm0097899,Satyen Bose,Dosti,1964.0,Drama,11926842
tt0058335,1965,Grand Prix,,False,True,Marriage Italian Style,nm0001120,Vittorio De Sica,Marriage Italian Style,1964.0,Comedy,1161047
tt0062622,1969,Golden Prize,Best Feature Film,False,False,2001: A Space Odyssey,nm0000040,Stanley Kubrick,2001: A Space Odyssey,1968.0,Others,960344555
tt0065988,1971,FIPRESCI Prize - Special Mention,,True,True,Little Big Man,nm0671957,Arthur Penn,Little Big Man,1970.0,Others,405275396
tt0071411,1975,Golden Prize,,True,True,Dersu Uzala,nm0000041,Akira Kurosawa,Dersu Uzala,1977.0,Others,59586
tt0075793,1975,Golden Prize,,True,True,We All Loved Each Other So Much,nm0778633,Ettore Scola,We All Loved Each Other So Much,1977.0,Comedy,499856
tt0079010,1979,Golden Prize,,True,True,Christ Stopped at Eboli,nm0742940,Francesco Rosi,Christ Stopped at Eboli,1979.0,Drama,428088
tt0082269,1981,Golden Prize,,False,False,Diva,nm0000894,Jean-Jacques Beineix,Diva,1982.0,Others,592494
tt0083284,1981,Golden Prize,,False,False,Victory,nm0001379,John Huston,Victory,1981.0,Drama,60558280
