tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0212826,2000,FIPRESCI Prize,Best European Film (Melhor Filme Europeu),True,True,Bread and Roses,nm0516360,Ken Loach,Bread and Roses,2000.0,Drama,1824814
tt0241663,2001,Ministry of Culture Award,,True,True,To the Left of the Father,nm0142461,Luiz Fernando Carvalho,To the Left of the Father,2002.0,Drama,731416
tt0256103,2001,FIPRESCI Prize,Best European Film (Melhor Filme Europeu),True,True,Intimacy,nm0161717,Patrice Chéreau,Intimacy,2001.0,Drama,4491604
tt0340468,2002,Première Brazil,Best Documentary (Melhor Documentário),True,True,Bus 174,nm0655683,José Padilha,Bus 174,2003.0,Others,618416
tt0322824,2002,FIPRESCI Prize,Best Latin American Film (Melhor Filme Latino-Americano),True,True,Japón,nm1196161,Carlos Reygadas,Japón,2003.0,Drama,321627
tt0332817,2002,FIPRESCI Prize,Best Latin American Film (Melhor Filme Latino-Americano),True,True,The Virgin of Lust,nm0728149,Arturo Ripstein,The Virgin of Lust,2002.0,Drama,91131
tt0280491,2002,FIPRESCI Prize,UIP Prize - Best European Film (Prêmio UIP - Melhor Filme Europeu),True,True,Bloody Sunday,nm0339030,Paul Greengrass,Bloody Sunday,2002.0,Drama,3653451
tt0318988,2003,FIPRESCI Prize,Best Latin American Film (Melhor Filme Latino-Americano),True,True,Ana and the Others,nm0613851,Celina Murga,Ana and the Others,2004.0,Drama,23391
tt0439997,2005,Première Brazil,Best Documentary,True,False,500 Almas,nm1070064,Joel Pizzini,500 Almas,2007.0,Others,17140
tt0456899,2005,Première Brazil,Best Film,True,False,Lower City,nm0532509,Sérgio Machado,Lower City,2006.0,Drama,462267
tt0387055,2005,FIPRESCI Prize,Best Latin American Film (Melhor Filme Latino-Americano),True,True,Battle in Heaven,,[],Battle in Heaven,2006.0,Others,423288
tt0841175,2006,Première Brazil,Best Film,True,False,Love for Sale,nm0014694,Karim Aïnouz,Love for Sale,2007.0,Drama,34105
tt0489458,2006,Special Jury Prize,,True,True,Drained,nm1104944,Heitor Dhalia,Drained,2007.0,Others,978701
tt0886487,2006,Audience Award,Best Documentary,True,True,Fabricando Tom Zé,nm2296646,Décio Matos Júnior,Fabricando Tom Zé,2007.0,Others,67203
