tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0090015,1986,Rotterdam Award,Best Documentary,True,True,Shoah,nm0487351,Claude Lanzmann,Shoah,1985.0,Others,94599
tt0100023,1990,KNF Award,,True,True,Life Is Cheap... But Toilet Paper Is Expensive,nm0911061,Wayne Wang,Life Is Cheap... But Toilet Paper Is Expensive,1990.0,Comedy,210481
tt0110729,1995,Audience Award,,True,True,Once Were Warriors,nm0848414,Lee Tamahori,Once Were Warriors,1995.0,Others,5430209
tt0114474,1996,Tiger Award,,True,False,Small Faces,nm0533564,Gillies MacKinnon,Small Faces,1996.0,Drama,504399
tt0114323,1996,FIPRESCI Prize - Special Mention,,True,True,Safe,nm0001331,Todd Haynes,Safe,1995.0,Drama,1716763
tt0120028,1997,Tiger Award,,True,False,Robinson in Space,nm0445084,Patrick Keiller,Robinson in Space,1997.0,Others,8117
tt0116005,1997,Tiger Award,,True,False,The Day a Pig Fell Into the Well,nm0393254,Sang-soo Hong,The Day a Pig Fell Into the Well,2001.0,Drama,12116
tt0115486,1997,Tiger Award,,False,False,Ah-chung,nm0151844,Tso-chi Chang,Zhong zi,1997.0,Drama,86
tt0119687,1997,Tiger Award,,False,True,Suzaku,nm0442905,Naomi Kawase,Suzaku,1997.0,Drama,2799
tt0116070,1997,Tiger Award,,False,False,The Delta,nm0755158,Ira Sachs,The Delta,1997.0,Drama,28819
tt0117631,1997,Audience Award,,True,True,Shine,nm0382956,Scott Hicks,Shine,1997.0,Others,115103957
tt0116650,1997,KNF Award,,True,True,Irma Vep,nm0000801,Olivier Assayas,Irma Vep,1997.0,Comedy,916192
tt0141824,1998,Tiger Award,,True,False,The Inheritors,nm0752328,Stefan Ruzowitzky,The Inheritors,1998.0,Drama,306115
tt0128214,1998,Tiger Award,,False,True,"First Love, Last Rites",nm0673400,Jesse Peretz,"First Love, Last Rites",1998.0,Drama,134351
tt0143614,1998,Tiger Award,,False,False,Marie Baie des Anges,nm0694946,Manuel Pradal,Marie Baie des Anges,1998.0,Drama,175222
tt0119237,1998,KNF Award,,True,True,Gummo,nm0005101,Harmony Korine,Gummo,1997.0,Comedy,371240
tt0154506,1999,Tiger Award,,True,False,Following,nm0634240,Christopher Nolan,Following,1999.0,Others,149091
tt0154420,1999,Audience Award,,True,True,The Celebration,nm0899121,Thomas Vinterberg,The Celebration,1998.0,Drama,5161517
tt0192745,1999,KNF Award,,True,True,Life is to Whistle,nm0702148,Fernando Pérez,Life is to Whistle,1999.0,Drama,98881
tt0118789,1999,MovieZone Award,,True,True,Buffalo '66,nm0001252,Vincent Gallo,Buffalo '66,1998.0,Comedy,7447255
tt0234837,2000,Tiger Award,,True,False,Suzhou River,nm0521601,Ye Lou,Suzhou River,2000.0,Drama,142789
tt0215369,2000,Audience Award,,True,True,Shower,nm0955434,Yang Zhang,Shower,2000.0,Comedy,5038610
tt0235198,2000,KNF Award,,True,True,Audition,nm0586281,Takashi Miike,Audition,2000.0,Drama,728028
tt0150662,2000,MovieZone Award,,True,True,Show Me Love,nm0600546,Lukas Moodysson,Show Me Love,1999.0,Comedy,597604
tt0263101,2001,Tiger Award,,False,False,Bangkok Dangerous,nm0161152,Oxide Chun Pang,Bangkok Dangerous,2001.0,Others,80390
tt0208675,2001,Tiger Award,,False,False,Compassionate Sex,nm0563760,Laura Mañá,Compassionate Sex,2001.0,Comedy,437812
tt0282864,2001,Audience Award,,True,True,Promises,nm0325148,B.Z. Goldberg,Promises,2001.0,Others,976187
tt0235841,2001,KNF Award,,True,True,No Place to Go,nm0753912,Oskar Roehler,No Place to Go,2000.0,Drama,60918
tt0209933,2001,KNF Award - Special Mention,,True,True,Beau travail,nm0219136,Claire Denis,Beau travail,2000.0,Drama,374853
tt0257939,2001,Netpac Award - Special Mention,,True,True,The Guava House,nm0199470,Dang Nhat Minh,The Guava House,2001.0,Drama,60861
tt0243859,2002,Tiger Award,,True,False,The Wild Bees,nm0805246,Bohdan Sláma,The Wild Bees,2002.0,Comedy,107394
tt0310009,2002,Tiger Award,,False,False,Higher Still,nm1117581,Nicolas Brevière,Higher Still,2002.0,Drama,4991
tt0300186,2002,Tiger Award,,False,True,My Brother the Vampire,nm0846281,Sven Taddicken,My Brother the Vampire,2002.0,Comedy,13366
