tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0148462,1998,SXSW Competition Award,Narrative Feature,False,True,Men Cry Bullets,nm0379718,Tamara Hernandez,Men Cry Bullets,1998.0,Comedy,3628
tt0168589,1999,SXSW Competition Award,Narrative Feature,False,True,La Ciudad (The City),nm0726935,David Riker,La Ciudad (The City),1999.0,Drama,363227
tt0144688,2000,SXSW Competition Award,Narrative Feature,False,True,Wildflowers,nm0656889,Melissa Painter,Wildflowers,2000.0,Drama,8008
tt0235327,2000,SXSW Competition Award - Honorable Mention,Senior Programmers' Pick,False,True,Dark Days,nm0003786,Marc Singer,Dark Days,2000.0,Documentary,974187
tt0218043,2000,Audience Award,Documentary Feature - First Film,False,True,Beyond the Mat,nm0087904,Barry W. Blaustein,Beyond the Mat,2000.0,Biography,6130906
tt0174885,2000,Audience Award,Narrative Feature,False,True,Loving Jezebel,nm0046048,Kwyn Bader,Loving Jezebel,1999.0,Comedy,220802
tt0247745,2001,Audience Award,Midnight Films,False,True,Super Troopers,nm0151540,Jay Chandrasekhar,Super Troopers,2002.0,Comedy,59897957
tt0334405,2002,SXSW Competition Award,Documentary Feature,False,True,Spellbound,nm0998825,Jeffrey Blitz,Spellbound,2002.0,Comedy,18846366
tt0298050,2002,SXSW Competition Award,Narrative Feature,False,True,Manito,nm1067858,Eric Eason,Manito,2002.0,Drama,31745
tt0290498,2002,Audience Award,Narrative Feature,False,True,By Hook or by Crook,nm0230206,Harry Dodge,By Hook or by Crook,2001.0,Others,5174
tt0284478,2002,Audience Award,Narrative First Film,False,True,Charlotte Sometimes,nm0125930,Eric Byler,Charlotte Sometimes,2002.0,Drama,568835
tt0274643,2002,Audience Award,Narrative First Film,False,True,Made-Up,nm0001724,Tony Shalhoub,Made-Up,2002.0,Comedy,228009
tt0368745,2003,Audience Award,Documentary Feature,False,True,Girlhood,nm0305017,Liz Garbus,Girlhood,2003.0,Others,104918
tt0379184,2004,Audience Award,Narrative Feature,False,True,Blackballed: The Bobby Dukes Story,nm1442694,Brant Sersen,Blackballed: The Bobby Dukes Story,2004.0,Comedy,26294
tt0452604,2005,SXSW Grand Jury Award,Documentary Feature,True,True,Cowboy del Amor,nm0644977,Michèle Ohayon,Cowboy del Amor,2005.0,Documentary,11734
