tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0048473,1957,Golden Gate Award,Best Picture,True,False,Pather Panchali,nm0006249,Satyajit Ray,Pather Panchali,1958.0,Drama,2383785
tt0056322,1962,Golden Gate Award,Best Film,True,False,The Given Word,nm0239063,Anselmo Duarte,The Given Word,1964.0,Drama,68055
tt0107472,1994,Golden Gate Award,Best Documentary Feature,True,False,"The Wonderful, Horrible Life of Leni Riefenstahl",nm0618284,Ray Müller,"The Wonderful, Horrible Life of Leni Riefenstahl",1994.0,Others,1552996
tt0109285,1995,Golden Gate Award,Bay Area Film & Video - Documentary,True,False,Black Is... Black Ain't,nm0726705,Marlon Riggs,Black Is... Black Ain't,1994.0,Documentary,35124
tt0116980,1997,Silver Spire,Film & Video - Biography,True,True,Mandela,nm0579450,Jo Menell,Mandela,1997.0,Others,134341
tt0116357,1997,Certificate of Merit,Film & Video - Biography,True,True,Frantz Fanon: Black Skin White Mask,nm0432264,Isaac Julien,"Frantz Fanon: Black Skin, White Mask",1996.0,Others,22145
tt0120056,1998,Golden Spire,Film & Video - Sociology-International,True,True,Die Salzmänner von Tibet,nm0462425,Ulrike Koch,Die Salzmänner von Tibet,1998.0,Documentary,229299
tt0154506,1998,SKYY Prize,Best First Feature,True,True,Following,nm0634240,Christopher Nolan,Following,1999.0,Others,149091
tt0187859,1999,Golden Spire,Bay Area Film & Video - Documentary,True,True,Genghis Blues,nm0067861,Roko Belic,Genghis Blues,1999.0,Documentary,1165130
tt0181786,1999,Golden Spire,Bay Area Film & Video - Documentary,True,True,Regret to Inform,nm0814384,Barbara Sonneborn,Regret to Inform,1998.0,Documentary,139804
tt0175550,1999,Golden Spire,Film & Video - The Arts,True,True,Dancemaker,nm0224683,Matthew Diamond,Dancemaker,1998.0,Documentary,812123
tt0181733,1999,Silver Spire,Film & Video - Society and Culture-U.S.,True,True,On the Ropes,nm0123379,Nanette Burstein,On the Ropes,1999.0,Documentary,145387
tt0133189,1999,Audience Award,Best Narrative Feature,False,False,SLC Punk!,nm0580669,James Merendino,SLC Punk!,1999.0,Others,921230
tt0264802,2000,Golden Spire,Bay Area Film & Video - Documentary,True,True,Live Nude Girls Unite!,nm0703300,Julia Query,Live Nude Girls Unite!,2000.0,Documentary,252879
tt0236447,2000,Golden Spire,Bay Area Film & Video - Documentary,True,True,Long Night's Journey Into Day,nm0717266,Frances Reid,Long Night's Journey Into Day,2000.0,Documentary,153555
tt0240912,2000,Golden Spire,Film & Video - Society & Culture U.S.,True,True,Sound and Fury,nm0036977,Josh Aronson,Sound and Fury,2000.0,Documentary,347842
tt0257865,2000,Certificate of Merit,Film & Video - First Person Documentary,True,True,Life Without Death,nm0170545,Frank Cole,Life Without Death,2002.0,Documentary,9131
tt0236008,2000,Certificate of Merit,Film & Video - First Person Documentary,True,True,The Ballad of Ramblin' Jack,nm0254357,Aiyana Elliott,The Ballad of Ramblin' Jack,2000.0,Others,683324
tt0282864,2001,Golden Gate Award,Bay Area Film & Video - Documentary,True,True,Promises,nm0035184,Justine Shapiro,Promises,2001.0,Documentary,976187
