tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0045888,1953,Best Film,Best Film,False,False,House of Wax,nm0211964,André De Toth,House of Wax,1953.0,Others,456335714
tt0044518,1953,Best Film,Best Film,False,False,White Mane,nm0483738,Albert Lamorisse,White Mane,1953.0,Drama,9382231
tt0052357,1958,Silver Seashell,,True,True,Vertigo,nm0000033,Alfred Hitchcock,Vertigo,1958.0,Others,136926173
tt0053125,1959,Silver Seashell,,True,True,North by Northwest,nm0000033,Alfred Hitchcock,North by Northwest,1959.0,Others,486565
tt0056241,1962,OCIC Award,,True,True,The Miracle Worker,nm0671957,Arthur Penn,The Miracle Worker,1962.0,Others,34908
tt0056210,1963,Golden Seashell,,True,False,Mafioso,nm0490444,Alberto Lattuada,Mafioso,1964.0,Comedy,6595100
tt0062407,1967,Golden Seashell,,True,False,Two for the Road,nm0002045,Stanley Donen,Two for the Road,1967.0,Comedy,134182
tt0065671,1971,Silver Seashell,,True,True,Dyadya Vanya,nm0464846,Andrey Konchalovskiy,Dyadya Vanya,1971.0,Drama,12183
tt0070334,1973,Golden Seashell,Best Film,False,False,The Long Goodbye,nm0000265,Robert Altman,The Long Goodbye,1973.0,Comedy,127591
tt0070040,1973,Golden Seashell,,True,False,The Spirit of the Beehive,nm0258977,Víctor Erice,The Spirit of the Beehive,1973.0,Drama,733857
tt0070819,1973,Silver Seashell,,True,True,A Touch of Class,nm0291035,Melvin Frank,A Touch of Class,1973.0,Comedy,105873189
tt0069762,1974,Golden Seashell,,True,False,Badlands,nm0000517,Terrence Malick,Badlands,1973.0,Others,304841
tt0072417,1975,Silver Seashell,,True,True,A Woman Under the Influence,nm0001023,John Cassavetes,A Woman Under the Influence,1974.0,Drama,66178645
tt0072826,1976,Silver Seashell,,True,True,Cousin cousine,nm0006621,Jean-Charles Tacchella,Cousin cousine,1976.0,Comedy,38936385
tt0076446,1977,Golden Seashell,,True,False,An Unfinished Piece for Mechanical Piano,nm0586482,Nikita Mikhalkov,Unfinished Piece for the Player Piano,1978.0,Drama,7795
tt0075118,1977,Special Prize of the Jury,,True,True,La question,nm0382327,Laurent Heynemann,La question,1977.0,Drama,31865
tt0078748,1979,Silver Seashell,Best Cinematography and Special Effects,True,True,Alien,,[],Alien,1979.0,Others,659533024
tt0083946,1982,OCIC Award,,True,True,Fitzcarraldo,nm0001348,Werner Herzog,Fitzcarraldo,1982.0,Others,7479
tt0085370,1983,FIPRESCI Prize,,True,True,Entre Nous,nm0476123,Diane Kurys,Entre Nous,1983.0,Others,20114790
tt0086216,1984,FIPRESCI Prize,,True,True,Rumble Fish,nm0000338,Francis Ford Coppola,Rumble Fish,1983.0,Others,12622957
tt0089881,1985,OCIC Award,,True,True,Ran,nm0000041,Akira Kurosawa,Ran,1985.0,Others,19577086
tt0095303,1987,Silver Seashell,,True,True,High Season,nm0672543,Clare Peploe,High Season,1988.0,Comedy,2436368
tt0098528,1989,Prize San Sebastián,,True,True,True Love,nm0001700,Nancy Savoca,True Love,1989.0,Comedy,5537287
tt0100150,1990,Golden Seashell,,False,False,Miller's Crossing,nm0001054,Joel Coen,Miller's Crossing,1990.0,Others,19450012
tt0102035,1991,Golden Seashell,,False,False,Highway 61,nm0567680,Bruce McDonald,Highway 61,1992.0,Comedy,534260
tt0101597,1991,OCIC Award - Honorable Mention,,True,True,Closet Land,nm0080233,Radha Bharadwaj,Closet Land,1991.0,Drama,980592
tt0104774,1992,Golden Seashell,,True,True,A Place in the World,nm0034899,Adolfo Aristarain,A Place in the World,1994.0,Drama,348562
tt0107220,1993,Golden Seashell,Best Film,False,False,Inside Monkey Zetterland,nm0506461,Jefery Levy,Inside Monkey Zetterland,1993.0,Comedy,214383
tt0110769,1994,Golden Seashell,,False,True,"Red Firecracker, Green Firecracker",nm0372092,Ping He,"Red Firecracker, Green Firecracker",1995.0,Drama,456185
tt0111102,1994,Golden Seashell,,False,True,Second Best,nm0579580,Chris Menges,Second Best,1994.0,Drama,294598
tt0111149,1994,Golden Seashell,,False,False,Shallow Grave,nm0000965,Danny Boyle,Shallow Grave,1995.0,Others,7043468
tt0113774,1995,Golden Seashell,,True,False,Margaret's Museum,nm0710372,Mort Ransen,Margaret's Museum,1996.0,Drama,868868
tt0114354,1995,Golden Seashell,,False,True,Brother of Sleep,nm0005917,Joseph Vilsmaier,Brother of Sleep,1996.0,Drama,316918
tt0112857,1995,Golden Seashell,,False,False,Devil in a Blue Dress,nm0002083,Carl Franklin,Devil in a Blue Dress,1995.0,Others,53847973
tt0113627,1995,Golden Seashell,,False,False,Leaving Las Vegas,nm0001214,Mike Figgis,Leaving Las Vegas,1996.0,Drama,105683460
tt0113896,1995,Golden Seashell,,False,True,My Family,nm0622695,Gregory Nava,My Family,1995.0,Drama,37205146
tt0114702,1995,Golden Seashell,,False,False,Total Eclipse,nm0002140,Agnieszka Holland,Total Eclipse,1995.0,Others,1131794
tt0113557,1995,Golden Seashell,,False,True,Zero Kelvin,nm0596407,Hans Petter Moland,Zero Kelvin,1996.0,Drama,33814
tt0117969,1996,Golden Seashell,,True,False,Trojan Eddie,nm0533564,Gillies MacKinnon,Trojan Eddie,1997.0,Others,67586
tt0115639,1996,Golden Seashell,,False,True,Beautiful Girls,nm0001130,Ted Demme,Beautiful Girls,1996.0,Comedy,34967541
tt0115710,1996,Golden Seashell,,False,False,Blood and Wine,nm0706182,Bob Rafelson,Blood and Wine,1997.0,Others,3505516
tt0116743,1996,Golden Seashell,,False,False,Kama Sutra: A Tale of Love,nm0619762,Mira Nair,Kama Sutra: A Tale of Love,1997.0,Others,13158784
tt0125994,1996,Golden Seashell,,False,True,The Emperor's Shadow,nm0955777,Xiaowen Zhou,The Emperor's Shadow,1997.0,Drama,114488
tt0116277,1996,Golden Seashell,,False,False,The Fan,nm0001716,Tony Scott,The Fan,1996.0,Others,60520586
tt0117991,1996,Golden Seashell,,False,False,Twelfth Night or What You Will,nm0638080,Trevor Nunn,Twelfth Night or What You Will,1996.0,Comedy,1900453
tt0116714,1996,Best New Director,,True,True,Johns,nm0798788,Scott Silver,Johns,1997.0,Drama,163155
tt0126612,1996,Best New Director - Special Mention,,True,True,Pizzicata,nm0935529,Edoardo Winspeare,Pizzicata,1997.0,Drama,17992
tt0117690,1996,Audience Award,,True,True,Some Mother's Son,nm0313623,Terry George,Some Mother's Son,1996.0,Drama,2163737
tt0117359,1996,OCIC Award - Honorable Mention,,True,True,Ponette,nm0230695,Jacques Doillon,Ponette,1997.0,Drama,4153859
tt0118566,1997,Golden Seashell,,False,True,Afterglow,nm0748928,Alan Rudolph,Afterglow,1998.0,Comedy,7770297
tt0119125,1997,Golden Seashell,,False,True,Firelight,nm0629933,William Nicholson,Firelight,1998.0,Drama,2453891
tt0126344,1997,Golden Seashell,,False,True,I Went Down,nm0106456,Paddy Breathnach,I Went Down,1998.0,Others,635416
tt0119657,1997,Golden Seashell,,False,True,Men with Guns,nm0000626,John Sayles,Men with Guns,1998.0,Others,2869867
tt0119723,1997,Golden Seashell,,False,False,Mrs Dalloway,nm0331296,Marleen Gorris,Mrs Dalloway,1998.0,Drama,10447386
tt0125980,1997,Golden Seashell,,False,False,Passion in the Desert,nm0193010,Lavinia Currier,Passion in the Desert,1998.0,Others,786702
tt0119164,1997,OCIC Award,,True,True,The Full Monty,nm0146341,Peter Cattaneo,The Full Monty,1997.0,Comedy,481750419
tt0169364,1998,Golden Seashell,,True,False,Wind with the Gone,nm0002159,Alejandro Agresti,Wind with the Gone,1998.0,Comedy,127792
tt0165078,1998,Golden Seashell,,False,True,After Life,nm0466153,Hirokazu Koreeda,After Life,1999.0,Drama,2466253
tt0120684,1998,Golden Seashell,,False,True,Gods and Monsters,nm0174374,Bill Condon,Gods and Monsters,1998.0,Others,20106105
tt0167925,1998,Golden Seashell,,False,False,"Late August, Early September",nm0000801,Olivier Assayas,"Late August, Early September",1998.0,Drama,225976
tt0120148,1998,Golden Seashell,,False,False,Sliding Doors,nm0398185,Peter Howitt,Sliding Doors,1998.0,Comedy,37175465
tt0124198,1998,Golden Seashell,,False,False,Very Bad Things,nm0000916,Peter Berg,Very Bad Things,1998.0,Comedy,30847797
tt0119517,1998,Golden Seashell,,False,False,Your Friends & Neighbors,nm0001438,Neil LaBute,Your Friends & Neighbors,1998.0,Comedy,14746896
tt0140888,1998,Audience Award,,True,True,Central Station,nm0758574,Walter Salles,Central Station,1998.0,Drama,18606116
tt0168589,1998,OCIC Award,,True,True,La Ciudad (The City),nm0726935,David Riker,La Ciudad (The City),1999.0,Drama,363227
tt0160513,1999,Golden Seashell,,False,False,A Map of the World,nm0254623,Scott Elliott,A Map of the World,2000.0,Drama,1689028
tt0188030,1999,Golden Seashell,,False,False,Butterfly,nm0191109,José Luis Cuerda,Butterfly,2000.0,Drama,14538449
tt0189744,1999,Golden Seashell,,False,False,Miss Julie,nm0001214,Mike Figgis,Miss Julie,1999.0,Drama,133440
tt0140397,1999,Golden Seashell,,False,True,Mumford,nm0001410,Lawrence Kasdan,Mumford,1999.0,Comedy,13867045
tt0183613,1999,Golden Seashell,,False,False,Orfeu,nm0225935,Carlos Diegues,Orfeu,1999.0,Others,147348
tt0215369,1999,Golden Seashell,,False,True,Shower,nm0955434,Yang Zhang,Shower,2000.0,Comedy,5038610
tt0180181,1999,Golden Seashell,,False,True,Soft Fruit,nm0028297,Christina Andreef,Soft Fruit,2000.0,Comedy,41341
tt0158302,1999,Golden Seashell,,False,True,Under the Sun,nm0638324,Colin Nutley,Under the Sun,1999.0,Drama,960264
tt0220726,1999,Best New Director,,True,True,Human Resources,nm0134559,Laurent Cantet,Human Resources,2000.0,Comedy,174139
tt0186730,1999,Audience Award,,True,True,It All Starts Today,nm0851724,Bertrand Tavernier,It All Starts Today,1999.0,Drama,18760
tt0160509,1999,Youth Jury Award,,True,True,Agnes Browne,nm0001378,Anjelica Huston,Agnes Browne,2000.0,Comedy,444381
tt0185125,1999,FIPRESCI Film of the Year,,True,True,All About My Mother,nm0000264,Pedro Almodóvar,All About My Mother,2000.0,Drama,113888588
tt0255067,2000,Golden Seashell,,False,False,Common Wealth,nm0407067,Álex de la Iglesia,Common Wealth,2001.0,Comedy,424338
tt0216799,2000,Golden Seashell,,False,True,Harrison's Flowers,nm0159402,Élie Chouraqui,Harrison's Flowers,2002.0,Drama,7009948
tt0262674,2000,Golden Seashell,,False,True,Paria,nm0460120,Nicolas Klotz,Paria,2001.0,Others,24576
tt0228786,2000,Golden Seashell,,False,False,The Crimson Rivers,nm0440913,Mathieu Kassovitz,The Crimson Rivers,2001.0,Others,87388268
tt0210382,2000,Golden Seashell,,False,False,The Weight of Water,nm0000941,Kathryn Bigelow,The Weight of Water,2001.0,Others,619662
