tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0082933,1981,Critics Award,,True,True,Possession,nm0958558,Andrzej Zulawski,Possession,1983.0,Drama,5634899
tt0085809,1984,Audience Award,Best Feature,True,False,Koyaanisqatsi,nm0716585,Godfrey Reggio,Koyaanisqatsi,1982.0,Others,9284131
tt0084740,1984,Critics Award,,True,True,El sur,nm0258977,Víctor Erice,El Sur,1983.0,Drama,30198
tt0091954,1986,Critics Award,,True,True,Sid and Nancy,nm0007182,Alex Cox,Sid and Nancy,1986.0,Others,13141347
tt0093191,1988,Audience Award,Best Feature,True,False,Wings of Desire,nm0000694,Wim Wenders,Wings of Desire,1988.0,Drama,14654375
tt0103130,1991,Audience Award,Best Feature,True,False,Trust,nm0001325,Hal Hartley,Trust,1991.0,Comedy,1348662
tt0102456,1991,Critics Special Award,,True,True,Mississippi Masala,nm0619762,Mira Nair,Mississippi Masala,1992.0,Drama,26951596
tt0102721,1992,Critics Award,,True,True,Proof,nm0602104,Jocelyn Moorhouse,Proof,1992.0,Drama,1925023
tt0108328,1994,International Jury Award,,True,True,Thirty Two Short Films About Glenn Gould,nm0320660,François Girard,Thirty Two Short Films About Glenn Gould,1993.0,Others,4625527
tt0110882,1994,Audience Award,Best Feature,True,False,Before the Rain,nm0541391,Milcho Manchevski,Before the Rain,1995.0,Drama,2587138
tt0111845,1994,Critics Award,,True,True,Through the Olive Trees,nm0452102,Abbas Kiarostami,Through the Olive Trees,1994.0,Drama,68932
tt0112445,1995,International Jury Award,,True,True,The White Balloon,nm0070159,Jafar Panahi,The White Balloon,1996.0,Drama,3061743
tt0112844,1995,Special Jury Award,,True,True,Denise Calls Up,nm0759410,Hal Salwen,Denise Calls Up,1996.0,Comedy,486217
tt0110877,1995,Audience Award,Best Feature,True,False,Il postino,nm0705535,Michael Radford,The Postman (Il Postino),1996.0,Others,71802672
tt0110299,1995,Critics Award,,True,True,Lamerica,nm0002167,Gianni Amelio,Lamerica,1995.0,Drama,8690317
tt0116860,1996,International Jury Award,,True,True,"Pretty Village, Pretty Flame",nm0236729,Srdjan Dragojevic,"Pretty Village, Pretty Flame",1996.0,Comedy,681
tt0115640,1996,International Jury Award - Honorable Mention,,True,True,Beautiful Thing,nm0531751,Hettie Macdonald,Beautiful Thing,1996.0,Comedy,4998344
tt0117359,1996,Critics Award,,True,True,Ponette,nm0230695,Jacques Doillon,Ponette,1997.0,Drama,4153859
tt0117959,1997,Audience Award,Best Feature,True,False,The Truce,nm0742940,Francesco Rosi,The Truce,1998.0,Drama,112359
tt0122082,1997,Audience Award,Best Feature,False,False,The Crazy Stranger,nm0309697,Tony Gatlif,The Crazy Stranger,1998.0,Comedy,1052771
tt0119590,1997,Audience Award,Best Feature,False,False,Ma vie en rose,nm0075626,Alain Berliner,Ma Vie en Rose,1997.0,Drama,6850660
tt0119250,1997,Critics Award,,True,True,Fireworks,nm0001429,Takeshi Kitano,Fireworks,1998.0,Others,1575511
tt0117909,1997,Critics Award - Honorable Mention,,True,True,Earth,nm0575523,Julio Medem,Earth,1997.0,Drama,25747
tt0147612,1998,International Jury Award,,True,True,Happiness,nm0001754,Todd Solondz,Happiness,1998.0,Comedy,9293255
tt0154420,1998,International Jury Award - Honorable Mention,,True,True,The Celebration,nm0899121,Thomas Vinterberg,The Celebration,1998.0,Drama,5161517
tt0170705,1998,Audience Award,Best Feature,True,True,Train of Life,nm0586123,Radu Mihaileanu,Train of Life,1999.0,Comedy,5303591
tt0118819,1998,Audience Award,Best Feature,False,False,Live Flesh,nm0000264,Pedro Almodóvar,Live Flesh,1998.0,Drama,5648309
