tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0089424,1985,Golden Space Needle Award,Best Film,True,False,Kiss of the Spider Woman,,[],Kiss of the Spider Woman,1985.0,Drama,80634836
tt0090576,1986,Golden Space Needle Award,Best Film,True,False,The Assault,,[],The Assault,1987.0,Drama,2346658
tt0089606,1987,Golden Space Needle Award,Best Film,True,False,My Life as a Dog,,[],My Life as a Dog,1987.0,Comedy,37721121
tt0095801,1988,Golden Space Needle Award,Best Film,True,False,Bagdad Cafe,,[],Bagdad Cafe,1988.0,Comedy,15894686
tt0094667,1989,Golden Space Needle Award,Best Film,True,False,Apartment Zero,,[],Apartment Zero,1988.0,Drama,5407796
tt0100436,1990,Golden Space Needle Award,Best Film,True,False,Pump Up the Volume,,[],Pump Up the Volume,1990.0,Comedy,44824820
tt0100332,1991,Golden Space Needle Award,Best Documentary,True,False,Paris Is Burning,nm0515255,Jennie Livingston,Paris Is Burning,1991.0,Others,14560313
tt0099669,1991,Golden Space Needle Award,Best Film,True,False,My Father's Glory,,[],My Father's Glory,1991.0,Others,6476087
tt0099266,1991,Golden Space Needle Award,Best Film,True,False,My Mother's Castle,,[],My Mother's Castle,1991.0,Others,5502369
tt0103882,1992,Golden Space Needle Award,Best Documentary,True,False,A Brief History of Time,nm0001554,Errol Morris,A Brief History of Time,1991.0,Others,8479923
tt0107220,1992,Audience Award,,True,True,Inside Monkey Zetterland,nm0506461,Jefery Levy,Inside Monkey Zetterland,1993.0,Comedy,214383
tt0107974,1993,Golden Space Needle Award,Best Documentary,True,False,Road Scholar,nm0918724,Roger Weisberg,Road Scholar,1993.0,Others,2115045
tt0107156,1993,Golden Space Needle Award,Best Film,True,False,The Wedding Banquet,,[],The Wedding Banquet,1993.0,Comedy,24472811
tt0107472,1994,Golden Space Needle Award,Best Documentary,True,False,"The Wonderful, Horrible Life of Leni Riefenstahl",nm0618284,Ray Müller,"The Wonderful, Horrible Life of Leni Riefenstahl",1994.0,Others,1552996
tt0109045,1994,Golden Space Needle Award,Best Film,True,False,"The Adventures of Priscilla, Queen of the Desert",,[],"The Adventures of Priscilla, Queen of the Desert",1994.0,Comedy,38495409
tt0109508,1995,Golden Space Needle Award,Best Documentary,True,False,Crumb,nm0959062,Terry Zwigoff,Crumb,1995.0,Others,10232293
tt0114323,1995,American Independent Award,,True,True,Safe,nm0001331,Todd Haynes,Safe,1995.0,Drama,1716763
tt0111205,1995,New Director's Showcase Special Jury Prize,,True,True,Sister My Sister,nm0575361,Nancy Meckler,Sister My Sister,1995.0,Drama,730217
tt0116589,1996,Golden Space Needle Award,Best Documentary,True,False,Hype!,nm0695629,Doug Pray,Hype!,1996.0,Others,432659
tt0117951,1996,Golden Space Needle Award,Best Film,True,False,Trainspotting,,[],Trainspotting,1996.0,Drama,53748642
tt0118163,1996,American Independent Special Jury Prize,,True,True,The Whole Wide World,nm0006959,Dan Ireland,The Whole Wide World,1996.0,Others,1210894
tt0117905,1997,Golden Space Needle Award,Best Film,True,False,Comrades: Almost a Love Story,,[],Comrades: Almost a Love Story,1997.0,Drama,56182
tt0117615,1997,New Director's Showcase Special Jury Prize,,True,True,Shall We Dance?,nm0839397,Masayuki Suo,Shall We Dance?,1997.0,Comedy,30248893
tt0119207,1998,Golden Space Needle Award,Best Film,True,False,"God Said, 'Ha!'",,[],"God Said, 'Ha!'",1998.0,Comedy,176362
tt0118766,1998,American Independent Award,,True,True,Southie,nm0567337,Bill McCutchen,Southie,1999.0,Drama,162428
tt0124185,1998,New Director's Showcase - Honorable Mention,,True,True,Under the Skin,nm0012119,Carine Adler,Under the Skin,1998.0,Drama,440314
tt0186508,1999,Golden Space Needle Award,Best Documentary,True,False,Buena Vista Social Club,nm0000694,Wim Wenders,Buena Vista Social Club,1999.0,Others,46348259
tt0163185,1999,New Director's Showcase Award,,True,True,Rosie,nm0870299,Patrice Toye,Rosie,1999.0,Drama,14684
tt0215369,2000,Golden Space Needle Award,Best Film,True,False,Shower,,[],Shower,2000.0,Comedy,5038610
tt0200530,2000,New American Cinema Award,Best Writer,True,True,Chuck & Buck,nm0925234,Mike White,Chuck & Buck,2000.0,Comedy,3309311
tt0180301,2000,New American Cinema Award,Citation of Excellence for Ensemble Cast Performance,True,True,The Weekend,nm0000679,Deborah Kara Unger,The Weekend,2000.0,Drama,95015
tt0220726,2000,New Director's Showcase Award,Special Jury Prize,True,True,Human Resources,nm0134559,Laurent Cantet,Human Resources,2000.0,Comedy,174139
tt0264578,2001,Golden Space Needle Award,Best Documentary,True,False,The Endurance,nm1000159,George Butler,The Endurance,2001.0,Others,7095421
tt0203166,2001,New Director's Showcase Award,,True,True,Together,nm0600546,Lukas Moodysson,Together,2001.0,Comedy,22403056
tt0251091,2001,New Director's Showcase Special Jury Prize,,True,True,Before the Storm,nm0663711,Reza Parsa,Before the Storm,2000.0,Others,11508
tt0260991,2001,New Director's Showcase Special Jury Prize,,True,True,Joint Security Area,nm0661791,Chan-wook Park,Joint Security Area,2001.0,Others,178124
tt0279064,2002,Golden Space Needle Award,Best Film,True,False,Elling,,[],Elling,2002.0,Comedy,3349866
tt0306359,2002,Asian Trade Winds Award,,True,True,Transistor Love Story,nm0711579,Pen-Ek Ratanaruang,Transistor Love Story,2002.0,Comedy,5304
tt0300453,2002,New Director's Showcase Award,,True,True,Red Satin,nm1075853,Raja Amari,Red Satin,2002.0,Drama,5292228
tt0363510,2003,Golden Space Needle Award,Best Documentary,True,True,The Revolution Will Not Be Televised,nm1378741,Kim Bartley,The Revolution Will Not Be Televised,2003.0,Others,426909
tt0298228,2003,Golden Space Needle Award,Best Film,True,False,Whale Rider,,[],Whale Rider,2003.0,Drama,85610853
tt0285727,2003,New American Cinema Award,,True,True,"Milwaukee, Minnesota",nm0591051,Allan Mindel,"Milwaukee, Minnesota",2003.0,Drama,49303
tt0250638,2003,Asian Trade Winds Award,,True,True,PTU,nm0864775,Johnnie To,PTU,2003.0,Others,1182
tt0343168,2003,Documentary Award,,True,True,The Weather Underground,nm0338316,Sam Green,The Weather Underground,2002.0,Others,1591732
tt0339707,2003,Women in Cinema Lena Sharpe Award,,True,True,Song for a Raggy Boy,nm0909532,Aisling Walsh,Song for a Raggy Boy,2003.0,Drama,1101998
tt0388789,2004,Golden Space Needle Award,Best Documentary,True,False,Born Into Brothels: Calcutta's Red Light Kids,nm1498640,Zana Briski,Born Into Brothels: Calcutta's Red Light Kids,2005.0,Others,9312711
tt0352343,2004,Golden Space Needle Award,Best Film,True,False,Facing Windows,,[],Facing Windows,2004.0,Drama,21659836
tt0374639,2004,New American Cinema Award,,True,True,Incident at Loch Ness,nm0672015,Zak Penn,Incident at Loch Ness,2004.0,Others,100908
tt0364120,2004,New Director's Showcase Award,,True,True,Wild Side,nm0509852,Sébastien Lifshitz,Wild Side,2004.0,Drama,41501
tt0296587,2004,New Director's Showcase - Honorable Mention,,True,True,Feathers in My Head,nm0211934,Thomas De Thier,Feathers in My Head,2004.0,Drama,73656
tt0389361,2004,Documentary Award,,True,True,Searching for the Wrong-Eyed Jesus,nm1497918,Andrew Douglas,Searching for the Wrong-Eyed Jesus,2004.0,Others,215995
tt0377752,2004,Women in Cinema Lena Sharpe Award,,True,True,Dear Frankie,nm0994254,Shona Auerbach,Dear Frankie,2005.0,Drama,2199412
tt0436613,2005,Golden Space Needle Award,Best Documentary,True,False,Murderball,nm0748066,Henry Alex Rubin,Murderball,2005.0,Others,4271774
tt0387914,2005,Golden Space Needle Award,Best Film,True,False,Innocent Voices,,[],Innocent Voices,2005.0,Drama,10198616
tt0384573,2005,New American Cinema Award,,True,True,Swimmers,nm0755531,Doug Sadler,Swimmers,2005.0,Drama,93299
tt0436262,2005,New American Cinema Special Jury Prize,,True,True,Ellie Parker,nm0168892,Scott Coffey,Ellie Parker,2005.0,Comedy,46111
tt0445161,2005,New Director's Showcase Award,,True,True,4,nm0451969,Ilya Khrzhanovskiy,4,2005.0,Drama,53901
tt0385017,2005,New Director's Showcase Special Jury Prize,,True,True,In My Father's Den,nm0568899,Brad McGann,In My Father's Den,2005.0,Drama,2138704
tt0395796,2005,Documentary Special Jury Award,,True,True,Trudell,nm0706010,Heather Rae,Trudell,2005.0,Others,71708
tt0436039,2005,Women in Cinema Lena Sharpe Award,,True,True,After Innocence,nm1124618,Jessica Sanders,After Innocence,2005.0,Others,306239
tt0420233,2005,New Directors Competition,,False,False,A Wonderful Night in Split,nm0652443,Arsen A. Ostojic,A Wonderful Night in Split,2005.0,Drama,561
tt0446055,2006,Golden Space Needle Award,Best Documentary,True,False,The Trials of Darryl Hunt,nm0827830,Ricki Stern,The Trials of Darryl Hunt,2006.0,Others,3136
tt0464913,2006,Golden Space Needle Award,Best Film,True,False,"OSS 117: Cairo, Nest of Spies",nm0371890,Michel Hazanavicius,"OSS 117: Cairo, Nest of Spies",2008.0,Others,27538913
tt0432318,2006,New American Cinema Award,,True,True,Live Free or Die,nm0442646,Gregg Kavet,Live Free or Die,2006.0,Comedy,35393
tt0464105,2006,New American Cinema Award - Honorable Mention,,True,True,Man Push Cart,nm1953498,Ahmad Razvi,Man Push Cart,2006.0,Drama,119218
tt0461694,2007,Golden Space Needle Award,Best Debut Perfomance,True,False,Four Minutes,nm0381342,Hannah Herzsprung,Four Minutes,2008.0,Drama,11081036
tt0425326,2007,Golden Space Needle Award,Best Film,True,False,Outsourced,nm0420112,John Jeffcoat,Outsourced,2007.0,Comedy,1064966
tt0952682,2007,New American Cinema Award,,True,True,Shotgun Stories,nm2158772,Jeff Nichols,Shotgun Stories,2008.0,Drama,277325
tt0473707,2007,New Director's Showcase Award,,True,True,Sons,nm1360920,Erik Richter Strand,Sons,2007.0,Drama,478262
tt0808462,2007,New Director's Showcase Special Jury Prize,,True,True,7 Years,nm0233123,Valérie Donzelli,7 Years,2007.0,Drama,83881
tt0912580,2007,Women in Cinema Lena Sharpe Award,,True,True,The Devil Came on Horseback,nm0839064,Anne Sundberg,The Devil Came on Horseback,2007.0,Others,337434
tt0494203,2007,Special Jury Prize,Best Documentary,True,True,Angels in the Dust,nm0389647,Louise Hogarth,Angels in the Dust,2007.0,Others,28451
tt0910559,2008,Golden Space Needle Award,Best Film,True,False,Cherry Blossoms,nm0246903,Doris Dörrie,Cherry Blossoms,2008.0,Drama,15142922
tt1235058,2008,New American Cinema Special Jury Prize,,True,True,The Blue Tooth Virgin,nm1831657,Russell Brown,The Blue Tooth Virgin,2008.0,Comedy,6687
tt1043749,2008,New Director's Showcase Award,Motion Picture,True,True,Everything Is Fine,nm1141369,Yves Christian Fournier,Everything Is Fine,2009.0,Drama,859232
tt0978759,2008,Women in Cinema Lena Sharpe Award,,True,True,Frozen River,nm2581581,Courtney Hunt,Frozen River,2008.0,Others,9257629
tt1183701,2008,Audience Award,Documentary,False,False,They Killed Sister Dorothy,nm0432616,Daniel Junge,They Killed Sister Dorothy,2008.0,Others,5656
tt1313104,2009,Golden Space Needle Award,Best Documentary,True,False,The Cove,nm3174775,Louie Psihoyos,The Cove,2009.0,Others,2391006
tt1190536,2009,Golden Space Needle Award,Best Film,True,False,Black Dynamite,nm0761715,Scott Sanders,Black Dynamite,2009.0,Others,652519
tt1323518,2009,Documentary Award,International Competition,False,False,The Fortress,nm0577663,Fernand Melgar,The Fortress,2009.0,Others,139454
tt1039638,2009,Documentary Special Jury Award,Documentary Competition,True,True,Sounds Like Teen Spirit,nm1514753,Jamie Jay Johnson,Sounds Like Teen Spirit,2009.0,Others,43076
tt0492896,2009,Futurewave Youth Jury Award,,True,True,Archie's Final Project,nm0588206,David Lee Miller,Archie's Final Project,2011.0,Comedy,38929
tt1391092,2010,Golden Space Needle Award,Best Documentary,True,False,Marwencol,nm0540220,Jeff Malmberg,Marwencol,2010.0,Others,261811
tt1268204,2010,Golden Space Needle Award,Best Documentary,True,False,Waste Land,nm1013671,Lucy Walker,Waste Land,2010.0,Others,547358
tt1442519,2010,Golden Space Needle Award,Best Film,True,False,The Hedgehog,nm2130235,Mona Achache,The Hedgehog,2010.0,Drama,20949192
tt1442580,2010,New Director's Showcase Award,Special Jury Prize,True,True,Gravity,,[],Gravity,2010.0,Others,35073
tt1514837,2010,New Director's Showcase Award,Special Jury Prize,True,True,The Reverse,nm1346665,Borys Lankosz,The Reverse,2010.0,Comedy,2695229
tt1415290,2010,Emerging Masters Showcase Award,,True,True,Son of Babylon,nm1865534,Mohamed Al Daradji,Son of Babylon,2010.0,Drama,56587
tt1031241,2010,Futurewave Youth Special Jury Award,,True,True,From Time to Time,nm0271501,Julian Fellowes,From Time to Time,2009.0,Others,188714
tt1338687,2010,Women in Cinema Lena Sharpe Award,,True,True,The Topp Twins: Untouchable Girls,nm1482101,Leanne Pooley,The Topp Twins: Untouchable Girls,2011.0,Comedy,2091960
tt1360822,2011,Golden Space Needle Award,Audience,True,False,Paper Birds,,[],Paper Birds,2011.0,Comedy,3111007
tt1650555,2011,Golden Space Needle Award,Audience,False,False,Game of Werewolves,nm0554890,Juan Martínez Moreno,Game of Werewolves,2012.0,Comedy,159353
tt0896872,2011,Golden Space Needle Award,Best Film,False,False,The Whistleblower,nm2326979,Larysa Kondracki,The Whistleblower,2011.0,Others,3622081
tt1245647,2011,New Director's Showcase Award,Contemporary World Cinema,False,False,22nd of May,nm0607831,Koen Mortier,22nd of May,2010.0,Drama,9281
tt1834234,2011,Documentary Special Jury Award,Documentary Competition,True,True,Sushi: The Global Catch,nm3153222,Mark Hall,Sushi: The Global Catch,2011.0,Others,13360
tt1787660,2011,Women in Cinema Lena Sharpe Award,,True,True,Being Elmo: A Puppeteer's Journey,nm0548789,Constance Marks,Being Elmo: A Puppeteer's Journey,2011.0,Others,713491
tt2120152,2012,Golden Space Needle Award,Best Documentary,True,False,The Invisible War,nm0225269,Kirby Dick,The Invisible War,2012.0,Others,162277
tt2066176,2012,Golden Space Needle Award,Best Film,True,False,Any Day Now,nm0003910,Travis Fine,Any Day Now,2012.0,Drama,514396
tt2099788,2012,New American Cinema Award,Grand Jury Prix,True,True,Welcome to Pine Hill,nm2142624,Keith Miller,Welcome to Pine Hill,2013.0,Drama,13426
tt2396566,2013,Golden Space Needle Award,Best Documentary,True,False,20 Feet from Stardom,nm1365879,Morgan Neville,20 Feet from Stardom,2013.0,Others,11799401
tt1785612,2013,Golden Space Needle Award,Best Documentary,False,True,The Punk Singer,nm2481948,Sini Anderson,The Punk Singer,2013.0,Others,295036
tt2545118,2013,Golden Space Needle Award,Best Documentary,False,False,Blackfish,nm1363250,Gabriela Cowperthwaite,Blackfish,2013.0,Others,4857275
tt2897642,2013,Golden Space Needle Award,Best Documentary,False,False,Evergreen: The Road to Legalization,nm2051359,Riley Morton,Evergreen: The Road to Legalization,2014.0,Others,5073
tt2215151,2013,Golden Space Needle Award,Best Documentary,False,False,Inequality for All,nm0466428,Jacob Kornbluth,Inequality for All,2013.0,Others,2675048
tt2204371,2013,Golden Space Needle Award,Best Documentary,False,False,Somm,nm1852117,Jason Wise,Somm,2012.0,Others,386721
tt2181941,2013,Golden Space Needle Award,Best Film,True,False,Fanie Fourie's Lobola,nm3067348,Henk Pretorius,Fanie Fourie's Lobola,2013.0,Comedy,434486
tt2178256,2013,Golden Space Needle Award,Best Film,False,False,The Rocket,nm1203596,Kim Mordaunt,The Rocket,2013.0,Drama,555962
tt1453405,2013,Golden Space Needle Award,Best Film,False,False,Monsters University,nm0768959,Dan Scanlon,Monsters University,2013.0,Others,1107595412
tt1839522,2013,Golden Space Needle Award,Best Film,False,False,Circles,nm0326740,Srdan Golubovic,Circles,2013.0,Drama,79475
tt1464191,2013,Golden Space Needle Award,Best Film,False,False,Decoding Annie Parker,nm0077149,Steven Bernstein,Decoding Annie Parker,2014.0,Drama,116482
tt2369047,2013,Golden Space Needle Award,Best Film,False,False,Horses of God,nm0043953,Nabil Ayouch,Horses of God,2014.0,Drama,119335
tt2070776,2013,Golden Space Needle Award,Best Film,False,False,Populaire,nm1672051,Régis Roinsard,Populaire,2013.0,Comedy,6192550
tt2370248,2013,Golden Space Needle Award,Best Film,False,False,Short Term 12,nm2308774,Destin Daniel Cretton,Short Term 12,2013.0,Drama,2904578
tt2073086,2013,Golden Space Needle Award,Best Film,False,False,Still Mine,nm1313340,Michael McGowan,Still Mine,2013.0,Drama,2980518
tt1937504,2013,Golden Space Needle Award,Best Film,False,False,The Forgotten Kingdom,nm0610938,Andrew Mudge,The Forgotten Kingdom,2013.0,Drama,24389
tt1047011,2013,Golden Space Needle Award,Best Film,False,False,Unfinished Song,nm1440314,Paul Andrew Williams,Unfinished Song,2013.0,Comedy,9609545
tt1650393,2013,New American Cinema Award,,True,True,C.O.G.,nm1547859,Kyle Patrick Alvarez,C.O.G.,2013.0,Comedy,122738
tt2407380,2013,New American Cinema Award,,False,False,Test,nm2525275,Chris Mason Johnson,Test,2013.0,Drama,41199
tt2201063,2013,New Director's Showcase Award,,False,False,Fuck Up,nm2029171,Øystein Karlsen,Fuck Up,2012.0,Comedy,347004
tt2298384,2013,New Director's Showcase Award,,False,False,Love Is in the Air,nm1415190,Alexandre Castagnetti,Love Is in the Air,2013.0,Comedy,3536450
tt2192582,2013,New Director's Showcase Award,,False,False,Short Stories,nm2449509,Mikhail Segal,Short Stories,2012.0,Comedy,348064
tt2387455,2013,New Director's Showcase Award,,False,False,The Cleaner,nm3929944,Adrián Saba,The Cleaner,2013.0,Drama,21783
