tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0101811,1993,Golden Goblet,Best Film,False,False,Enchanted April,nm0001565,Mike Newell,Enchanted April,1992.0,Drama,48362394
tt0107247,1993,Golden Goblet,Best Film,False,False,Jack the Bear,nm0380980,Marshall Herskovitz,Jack the Bear,1993.0,Comedy,18263955
tt0105436,1993,Golden Goblet,Best Film,False,False,Sofie,nm0880521,Liv Ullmann,Sofie,1993.0,Drama,511391
tt0114887,1995,Golden Goblet,Best Film,False,False,A Walk in the Clouds,nm0000778,Alfonso Arau,A Walk in the Clouds,1995.0,Drama,167161294
tt0114243,1995,Golden Goblet,Best Film,False,False,Red Cherry,nm0206695,Daying Ye,Red Cherry,1995.0,Drama,152499
tt0119859,1997,Golden Goblet,Best Film,False,False,Paradise Road,nm0000915,Bruce Beresford,Paradise Road,1997.0,Drama,6403375
tt0140379,1999,Golden Goblet,Best Film,True,False,A Midsummer Night's Dream,nm0001355,Michael Hoffman,A Midsummer Night's Dream,1999.0,Comedy,49424367
tt0158302,1999,Golden Goblet,Best Film,False,False,Under the Sun,nm0638324,Colin Nutley,Under the Sun,1999.0,Drama,960264
tt0218817,2001,Golden Goblet,Best Film,True,False,Antitrust,nm0398185,Peter Howitt,Antitrust,2001.0,Others,43088084
tt0271003,2001,Golden Goblet,Best Film,False,False,Ikíngut,nm0259576,Gísli Snær Erlingsson,Ikíngut,2001.0,Others,60027
tt0146984,2001,Golden Goblet,Best Film,True,False,The Legend of Bagger Vance,nm0000602,Robert Redford,The Legend of Bagger Vance,2000.0,Drama,103303326
tt0242953,2002,Golden Goblet,Best Film,False,False,A Time for Dancing,nm0318201,Peter Gilbert,A Time for Dancing,2002.0,Drama,4155542
tt0297721,2002,Golden Goblet,Best Film,True,True,All About Lily Chou-Chou,nm0412517,Shunji Iwai,All About Lily Chou-Chou,2001.0,Others,92852
tt0245046,2002,Golden Goblet,Best Film,False,False,Charlotte Gray,nm0000788,Gillian Armstrong,Charlotte Gray,2002.0,Drama,8750827
tt0251114,2002,Golden Goblet,Best Film,False,False,Hart's War,nm0387706,Gregory Hoblit,Hart's War,2002.0,Drama,73825323
tt0261842,2002,Golden Goblet,Best Film,False,False,Mullet,nm0128365,David Caesar,Mullet,2001.0,Comedy,669949
tt0294939,2002,Golden Goblet,Best Film,False,False,The Bomber,nm0638324,Colin Nutley,The Bomber,2001.0,Drama,160852
tt0312841,2002,Golden Goblet,Best Film,False,False,The Way Home,nm1011539,Jeong-hyang Lee,The Way Home,2002.0,Drama,35799420
tt0338309,2004,Golden Goblet,Best Cinematography,True,False,Evil,nm0596365,Peter Mokrosinski,Evil,2004.0,Drama,488110
tt0398238,2004,Golden Goblet,Best Film,False,False,Baytong,nm0632354,Nonzee Nimibutr,Baytong,2004.0,Drama,370322
tt0354855,2004,Golden Goblet,Best Film,False,False,Father and Sons,nm0099378,Michel Boujenah,Father and Sons,2003.0,Comedy,10480523
tt0423360,2004,Golden Goblet,Best Film,False,False,Heaven's Bookstore,nm0793997,Tetsuo Shinohara,Heaven's Bookstore,2004.0,Drama,1647206
tt0323298,2004,Golden Goblet,Best Film,False,False,The Mother,nm0585011,Roger Michell,The Mother,2004.0,Drama,5526882
tt0380689,2004,Golden Goblet,Best Film,True,True,Untold Scandal,nm0497489,Je-yong Lee,Untold Scandal,2004.0,Drama,7799144
tt0356696,2004,Asian New Talent Award,Best Film,False,False,Homerun,nm0626090,Jack Neo,Homerun,2003.0,Drama,72565
tt0347304,2004,Asian New Talent Award,Best Film,False,False,Kal Ho Naa Ho,nm0012541,Nikkhil Advani,Kal Ho Naa Ho,2003.0,Comedy,21042422
tt0399040,2004,Asian New Talent Award,Best Film,False,False,My Girl,nm1585207,Vijjapat Kojiw,My Girl,2003.0,Comedy,4825508
tt0385017,2005,Golden Goblet,Best Cinematography,True,False,In My Father's Den,nm0238698,Stuart Dryburgh,In My Father's Den,2005.0,Drama,2138704
tt0780087,2005,Golden Goblet,Best Film,True,False,Mura no shashinshuu,nm1069854,Mitsuhiro Mihara,Mura no shashinshuu,2005.0,Drama,11978
tt0399222,2005,Golden Goblet,Best Film,False,False,Let's Be Friends,nm0619923,Olivier Nakache,Let's Be Friends,2005.0,Comedy,2875568
tt0408067,2005,Golden Goblet,Best Film,False,False,Ora e per sempre,nm0893774,Vincenzo Verdecchi,Ora e per sempre,2004.0,Drama,88776
tt0428940,2005,Golden Goblet,Best Film,False,False,Papa,nm0058713,Maurice Barthélémy,Papa,2005.0,Comedy,4963191
tt0441673,2005,Golden Goblet,Best Film,False,False,Shades of Happiness,nm0648036,Claes Olsson,Shades of Happiness,2005.0,Drama,1039456
