tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0072750,1976,Medalla Sitges en Plata de Ley,Best Special Effects,True,True,Bug,nm0179811,Phil Cory,Bug,1975.0,Horror,34346633
tt0083907,1982,Clavell de Plata,Best Special Effects,True,True,The Evil Dead,nm0838385,Tom Sullivan,The Evil Dead,1983.0,Horror,13718446
tt0087075,1984,Caixa de Catalunya,Best Film,True,True,The Company of Wolves,nm0001403,Neil Jordan,The Company of Wolves,1985.0,Drama,20985697
tt0087004,1984,Caixa de Catalunya,Best Screenplay,True,True,The Brother from Another Planet,nm0000626,John Sayles,The Brother from Another Planet,1984.0,Comedy,17899112
tt0089885,1985,Caixa de Catalunya,Best Film,True,True,Re-Animator,nm0002340,Stuart Gordon,Re-Animator,1985.0,Comedy,9513880
tt0089489,1985,Caixa de Catalunya,Best Special Effects,True,True,Lifeforce,nm0004375,John Dykstra,Lifeforce,1985.0,Action,55116407
tt0090756,1986,Caixa de Catalunya,Best Cinematography,True,True,Blue Velvet,nm0005695,Frederick Elmes,Blue Velvet,1986.0,Drama,39813163
tt0091083,1986,Caixa de Catalunya,Best Original Soundtrack,True,True,From Beyond,nm0051659,Richard Band,From Beyond,1986.0,Horror,5843083
tt0092991,1987,Best Film,,False,False,Evil Dead II,nm0000600,Sam Raimi,Evil Dead II,1987.0,Comedy,27004853
tt0093177,1987,Best Film,,False,False,Hellraiser,nm0000850,Clive Barker,Hellraiser,1987.0,Horror,64751907
tt0093092,1987,Best Film,,False,True,Julia and Julia,nm0215659,Peter Del Monte,Julia and Julia,1988.0,Drama,3971409
tt0093870,1987,Best Film,,False,True,RoboCop,nm0000682,Paul Verhoeven,RoboCop,1987.0,Action,239939725
tt0093185,1987,Best Film,,False,True,The Hidden,nm0794791,Jack Sholder,The Hidden,1987.0,Action,43210387
tt0094035,1987,Best Film,,False,True,The Stepfather,nm0747849,Joseph Ruben,The Stepfather,1987.0,Horror,11206916
