tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0088782,1985,Grand Jury Prize,Documentary,False,False,Before Stonewall,nm0771652,Greta Schiller,Before Stonewall,1985.0,Documentary,88938
tt0088196,1985,Grand Jury Prize,Documentary,False,True,Streetwise,nm0068385,Martin Bell,Streetwise,1984.0,Documentary,36465
tt0088275,1985,Grand Jury Prize,Documentary,False,True,The Times of Harvey Milk,nm0258531,Rob Epstein,The Times of Harvey Milk,1984.0,Biography,146519
tt0086979,1985,Grand Jury Prize,Dramatic,True,False,Blood Simple,nm0001054,Joel Coen,Blood Simple,1985.0,Crime,19571110
tt0086876,1985,Grand Jury Prize,Dramatic,False,True,Almost You,nm0111845,Adam Brooks,Almost You,1985.0,Comedy,456335
tt0087397,1985,Grand Jury Prize,Dramatic,False,False,Heartbreakers,nm0744794,Bobby Roth,Heartbreakers,1984.0,Drama,724052
tt0088184,1985,Grand Jury Prize,Dramatic,False,True,Stranger Than Paradise,nm0000464,Jim Jarmusch,Stranger Than Paradise,1984.0,Comedy,11857427
tt0087004,1985,Grand Jury Prize,Dramatic,False,True,The Brother from Another Planet,nm0000626,John Sayles,The Brother from Another Planet,1984.0,Comedy,17899112
tt0090092,1986,Grand Jury Prize,Documentary,False,False,Stripper,nm0308877,Jerome Gary,Stripper,1986.0,Documentary,419695
tt0090037,1986,Grand Jury Prize,Dramatic,True,False,Smooth Talk,nm0159154,Joyce Chopra,Smooth Talk,1985.0,Drama,78704
tt0090710,1986,Grand Jury Prize,Dramatic,False,False,Belizaire the Cajun,nm0685789,Glen Pitre,Belizaire the Cajun,1986.0,Drama,5331468
tt0089015,1986,Grand Jury Prize,Dramatic,False,True,Desert Hearts,nm0215123,Donna Deitch,Desert Hearts,1986.0,Drama,11706766
tt0091725,1986,Grand Jury Prize,Dramatic,False,True,Parting Glances,nm0792795,Bill Sherwood,Parting Glances,1986.0,Drama,1257120
