tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0234288,2001,Prix UIP,,True,True,Divided We Fall,nm0398575,Jan Hrebejk,Divided We Fall,2000.0,Comedy,4962662
tt0286499,2002,Prix UIP,,True,True,Bend It Like Beckham,nm0149446,Gurinder Chadha,Bend It Like Beckham,2003.0,Comedy,151067881
tt0334405,2003,Audience Award,Best Documentary,True,True,Spellbound,nm0998825,Jeffrey Blitz,Spellbound,2002.0,Comedy,18846366
tt0283900,2003,Audience Award,Best Feature-Length Fiction Film,True,True,L'auberge espagnole,nm0458251,Cédric Klapisch,L'auberge espagnole,2003.0,Comedy,51708661
tt0303297,2003,FIPRESCI Prize,,True,True,Amandla! A Revolution in Four Part Harmony,nm1097276,Lee Hirsch,Amandla! A Revolution in Four Part Harmony,2002.0,Others,1189390
tt0391024,2004,FIPRESCI Prize,,True,True,Control Room,nm0636675,Jehane Noujaim,Control Room,2004.0,Others,7159172
tt0424024,2005,FIPRESCI Prize,,True,True,Darwin's Nightmare,nm0767012,Hubert Sauper,Darwin's Nightmare,2005.0,Others,4182824
tt0455949,2006,Sydney Film Prize,Best Documentary,True,False,Favela Rising,nm1905310,Jeff Zimbalist,Favela Rising,2005.0,Others,51952
tt0452644,2007,Audience Award,Best Feature,True,True,Lucky Miles,,[],Lucky Miles,2007.0,Others,722359
tt1045670,2008,Sydney Film Prize,Best Film,False,False,Happy-Go-Lucky,nm0005139,Mike Leigh,Happy-Go-Lucky,2008.0,Comedy,26717043
tt0780536,2008,Sydney Film Prize,Best Film,False,False,In Bruges,nm1732981,Martin McDonagh,In Bruges,2008.0,Comedy,49729406
tt1101675,2008,Sydney Film Prize,Best Film,False,False,Lake Tahoe,nm0251774,Fernando Eimbcke,Lake Tahoe,2009.0,Drama,264039
tt1093842,2008,Sydney Film Prize,Best Film,False,False,My Winnipeg,nm0534665,Guy Maddin,My Winnipeg,2008.0,Comedy,566363
tt0929412,2008,Sydney Film Prize,Best Film,False,False,Quiet Chaos,nm0342096,Antonello Grimaldi,Quiet Chaos,2009.0,Drama,13430590
tt1092031,2008,Sydney Film Prize,Best Film,False,False,Rain of the Children,nm0911910,Vincent Ward,Rain of the Children,2008.0,Others,233839
tt0841925,2008,Sydney Film Prize,Best Film,False,False,Silent Light,nm1196161,Carlos Reygadas,Silent Light,2007.0,Drama,1146987
tt0489281,2008,Sydney Film Prize,Best Film,False,False,Stop-Loss,nm0005303,Kimberly Peirce,Stop-Loss,2008.0,Drama,26476416
tt1085507,2008,Sydney Film Prize,Best Film,False,False,The Square,nm0003482,Nash Edgerton,The Square,2009.0,Others,1363608
tt0938341,2008,Sydney Film Prize,Best Film,False,False,Tokyo Sonata,nm0475905,Kiyoshi Kurosawa,Tokyo Sonata,2008.0,Drama,1441799
tt0986233,2008,Sydney Film Prize,,True,False,Hunger,nm2588606,Steve McQueen,Hunger,2008.0,Others,3900326
tt1157605,2008,Audience Award,Audience Award: Documentary at Satellite Venues,True,True,Anvil: The Story of Anvil,,[],Anvil: The Story of Anvil,2008.0,Others,1960425
tt0874317,2008,Audience Award,Best Australian Documentary,True,True,Salute,nm1254704,Matt Norman,Salute,2008.0,Others,200261
tt0450121,2008,Audience Award,Best Film,True,True,Red Like the Sky,nm0097580,Cristiano Bortone,Red Like the Sky,2008.0,Drama,875408
tt1172570,2009,Sydney Film Prize,Best Film,True,False,Bronson,nm0716347,Nicolas Winding Refn,Bronson,2009.0,Others,2863214
tt1318022,2009,Sydney Film Prize,Best Film,False,False,Altiplano,nm0112456,Peter Brosens,Altiplano,2010.0,Drama,188176
tt1209377,2009,Sydney Film Prize,Best Film,False,False,Beautiful Kate,nm0001829,Rachel Ward,Beautiful Kate,2010.0,Drama,1256772
tt0327597,2009,Sydney Film Prize,Best Film,False,False,Coraline,nm0783139,Henry Selick,Coraline,2009.0,Others,240722387
tt0445953,2009,Sydney Film Prize,Best Film,False,False,Disgrace,nm0414646,Steve Jacobs,Disgrace,2009.0,Drama,849376
tt1132594,2009,Sydney Film Prize,Best Film,False,False,Louise-Michel,nm0218022,Benoît Delépine,Louise-Michel,2009.0,Comedy,6070376
tt1284576,2009,Sydney Film Prize,Best Film,False,False,Paper Soldier,nm1531700,Aleksey German Jr.,Paper Soldier,2008.0,Drama,342840
tt1103982,2009,Sydney Film Prize,Best Film,False,False,The Girlfriend Experience,nm0001752,Steven Soderbergh,The Girlfriend Experience,2009.0,Drama,2062124
tt1187044,2009,Sydney Film Prize,Best Film,False,False,The Maid,nm2928364,Sebastián Silva,The Maid,2009.0,Comedy,2744574
tt1313104,2009,Audience Award,Best Documentary,True,True,The Cove,nm3174775,Louie Psihoyos,The Cove,2009.0,Others,2391006
tt1229345,2009,Audience Award,Best Fiction Feature at Satellite Venues,True,True,Cedar Boys,nm1313865,Serhat Caradee,Cedar Boys,2009.0,Others,202612
tt1600524,2010,Sydney Film Prize,Best Film,True,False,Heartbeats,nm0230859,Xavier Dolan,Heartbeats,2010.0,Drama,767780
tt1341167,2010,Sydney Film Prize,Best Film,False,False,Four Lions,nm0606439,Christopher Morris,Four Lions,2010.0,Comedy,5854080
tt1496792,2010,Sydney Film Prize,Best Film,False,False,Grandmother,nm1137289,Brillante Mendoza,Grandmother,2010.0,Drama,53656
tt1588875,2010,Sydney Film Prize,Best Film,False,False,How I Ended This Summer,nm1403225,Aleksey Popogrebskiy,How I Ended This Summer,2011.0,Drama,732653
tt1590024,2010,Sydney Film Prize,Best Film,False,False,"If I Want to Whistle, I Whistle",nm2758521,Florin Serban,"If I Want to Whistle, I Whistle",2010.0,Drama,285233
tt0808526,2010,Sydney Film Prize,Best Film,False,False,Life During Wartime,nm0001754,Todd Solondz,Life During Wartime,2009.0,Comedy,1270105
tt0954947,2010,Sydney Film Prize,Best Film,False,False,The Killer Inside Me,nm3196780,Michael Higgenbottom,The Killer Inside Me,2010.0,Others,4949130
tt1496005,2010,Sydney Film Prize,Best Film,False,False,The Tree,nm0078465,Julie Bertuccelli,The Tree,2010.0,Drama,2676096
tt1588895,2010,Sydney Film Prize,Best Film,False,False,Uncle Boonmee Who Can Recall His Past Lives,nm0917405,Apichatpong Weerasethakul,Uncle Boonmee Who Can Recall His Past Lives,2010.0,Drama,1540916
tt1647483,2010,Sydney Film Prize,Best Film,False,False,Wasted on the Young,nm2279930,Ben C. Lucas,Wasted on the Young,2013.0,Drama,59112
tt1498887,2010,Sydney Film Prize,Best Film,False,False,Women Without Men,nm1252622,Shirin Neshat,Women Without Men,2010.0,Drama,1150577
tt1560139,2010,Audience Award,Best Feature Film,True,True,Boy,nm0169806,Taika Waititi,Boy,2010.0,Comedy,51663849
tt1832382,2011,Sydney Film Prize,Best Film,True,False,A Separation,nm1410815,Asghar Farhadi,A Separation,2011.0,Drama,30408318
tt1764141,2011,Sydney Film Prize,Best Film,False,False,678,nm2559996,Mohamed Diab,678,2011.0,Drama,563925
tt1477171,2011,Sydney Film Prize,Best Film,False,False,Amador,nm0508208,Fernando León de Aranoa,Amador,2011.0,Drama,979936
tt1691323,2011,Sydney Film Prize,Best Film,False,False,Attenberg,nm0718125,Athina Rachel Tsangari,Attenberg,2011.0,Drama,109074
tt1270842,2011,Sydney Film Prize,Best Film,False,False,Norwegian Wood,nm0870841,Anh Hung Tran,Norwegian Wood,2011.0,Drama,20014193
tt1588398,2011,Sydney Film Prize,Best Film,False,False,Sleeping Beauty,nm3772967,Julia Leigh,Sleeping Beauty,2011.0,Drama,504204
tt1675192,2011,Sydney Film Prize,Best Film,False,False,Take Shelter,nm2158772,Jeff Nichols,Take Shelter,2011.0,Drama,5604306
