tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0200689,1999,Taipei Grand Award,Jury's Special Award,True,True,Darkness and Light,,[],Darkness and Light,2001.0,Drama,53
tt0377556,2004,Festival Prize,Best Narrative Film,True,True,"Goodbye, Dragon Inn",nm0158857,Ming-liang Tsai,"Goodbye, Dragon Inn",2003.0,Comedy,1470800
tt0495693,2005,Taipei Grand Award - Special Mention,,True,True,Fan gun ba! Nan hai,nm2120452,Yu-Hsien Lin,Fan gun ba! Nan hai,2005.0,Others,101224
tt0445760,2005,Festival Prize,Best Narrative Film,True,True,The Wayward Cloud,nm0158857,Ming-liang Tsai,The Wayward Cloud,2005.0,Comedy,465625
tt0485656,2005,Festival Prize,Best Narrative Film,False,False,Love's Lone Flower,nm2076015,Jui-Yuan Tsao,Love's Lone Flower,2005.0,Drama,34418
tt2080419,2006,Taipei Grand Award,Best Documentary,True,False,Doctor,nm3010935,Mong-Hong Chung,Doctor,2006.0,Others,68030
tt0490004,2006,Taipei Grand Award,Best Narrative Film,False,False,Blue Cha Cha,nm0155641,Wen-tang Cheng,Blue Cha Cha,2006.0,Drama,25449
tt0826046,2006,Taipei Grand Award,Best Narrative Film,False,False,Chocolate Rap,nm0496995,Chi-Yuarn Lee,Chocolate Rap,2006.0,Drama,26585
tt0885531,2006,Taipei Grand Award,Grand Prize,True,True,Do Over,nm2308287,Yu-Chieh Cheng,Do Over,2007.0,Drama,40301
tt0422133,2006,International New Talent Competition - Grand Prize,,True,True,Cold Showers,nm0179576,Antony Cordier,Cold Showers,2005.0,Drama,690451
tt0425979,2006,International New Talent Competition - Grand Prize,,False,False,Familia,nm0033596,Louise Archambault,Familia,2006.0,Drama,2964
tt0484113,2006,International New Talent Competition - Grand Prize,,False,False,L'iceberg,nm0008442,Dominique Abel,L'iceberg,2006.0,Comedy,49847
tt0382806,2006,International New Talent Competition - Grand Prize,,False,False,Look Both Ways,nm0915016,Sarah Watt,Look Both Ways,2005.0,Drama,3452335
tt0452345,2006,International New Talent Competition - Grand Prize,,False,False,Naming Number Two,nm1089736,Toa Fraser,Naming Number Two,2006.0,Comedy,559169
tt0423061,2006,International New Talent Competition - Grand Prize,,False,False,Restart,nm1717957,Julius Sevcík,Restart,2005.0,Drama,34669
tt0492702,2006,International New Talent Competition - Grand Prize,,False,False,Wedding Campaign,nm2129584,Byeong-guk Hwang,Wedding Campaign,2005.0,Comedy,3313230
tt0855824,2007,Taipei Grand Award,Grand Prize,True,False,I Don't Want to Sleep Alone,nm0158857,Ming-liang Tsai,I Don't Want to Sleep Alone,2007.0,Drama,301470
tt1094291,2007,Taipei Grand Award - Special Mention,,True,True,The Most Distant Course,nm0510905,Jing-Jie Lin,The Most Distant Course,2007.0,Drama,117438
tt1143100,2007,Taipei Grand Award - Special Mention,,True,True,The Wall-Passer,nm2839825,Chia-ying Lee,The Wall-Passer,2007.0,Others,2519
tt0424992,2007,International New Talent Competition - Grand Prize,,True,True,Emma's Bliss,nm0846281,Sven Taddicken,Emma's Bliss,2007.0,Drama,4591887
tt0491747,2007,International New Talent Competition - Grand Prize,,False,False,Away from Her,nm0001631,Sarah Polley,Away from Her,2007.0,Drama,16916761
tt0494222,2007,International New Talent Competition - Grand Prize,,False,False,Eagle vs Shark,nm0169806,Taika Waititi,Eagle vs Shark,2007.0,Comedy,1918835
tt0495116,2007,International New Talent Competition - Grand Prize,,False,False,God Willing,nm1235145,Amir Chamdin,God Willing,2006.0,Drama,26702
tt0762110,2007,International New Talent Competition - Grand Prize,,False,False,Irina Palm,nm0304921,Sam Garbarski,Irina Palm,2007.0,Drama,13032314
tt1006908,2007,International New Talent Competition - Grand Prize,,False,True,Island Etude,nm0155246,Huai-En Chen,Island Etude,2009.0,Drama,316756
tt0475241,2007,International New Talent Competition - Grand Prize,,False,False,Khadak,nm0112456,Peter Brosens,Khadak,2007.0,Drama,50048
tt0796239,2007,International New Talent Competition - Grand Prize,,False,False,Me,nm1121625,Rafa Cortés,Me,2007.0,Drama,103434
tt0827517,2007,International New Talent Competition - Grand Prize,,False,False,Reprise,nm1258686,Joachim Trier,Reprise,2007.0,Drama,2338238
tt0468965,2007,International New Talent Competition - Special Jury Prize,,False,False,When a Man Falls,nm1435316,Ryan Eslinger,When a Man Falls,2007.0,Drama,150386
tt0885520,2007,Festival Prize,Best Narrative Film,False,False,Eternal Summer,nm1970591,Leste Chen,Eternal Summer,2006.0,Drama,323474
tt0891457,2007,Festival Prize,Best Narrative Film,False,False,Spider Lilies,nm1548552,Zero Chou,Spider Lilies,2007.0,Drama,862460
tt1173683,2008,International New Talent Competition - Special Jury Prize,,True,True,"57,000 Kilometers Between Us",nm2899524,Delphine Kreuter,"57,000 Kilometers Between Us",2008.0,Comedy,21093
tt1289802,2008,Festival Prize,Best Art Direction,True,True,Orz Boyz,nm3127218,Ding-Yang Weng,Orz Boyz,2008.0,Drama,1088529
tt1267160,2008,Festival Prize,Best Cinematography,True,True,Cape No. 7,nm2082588,Ting-chang Chin,Cape No. 7,2008.0,Comedy,21257730
tt1286562,2008,Festival Prize,Best New Talent,True,True,Winds of September,nm3120588,Edison Wang,Winds of September,2008.0,Drama,252262
tt1252557,2008,Festival Prize,Grand Prize,False,False,Candy Rain,nm3056656,Hung-i Chen,Candy Rain,2008.0,Others,96437
tt0944214,2008,Festival Prize,Grand Prize,False,False,God Man Dog,nm0996632,Singing Chen,God Man Dog,2008.0,Drama,26208
tt1076251,2008,Festival Prize,Grand Prize,False,False,"Help Me, Eros",nm0497642,Kang-sheng Lee,"Help Me, Eros",2008.0,Drama,95966
tt1173755,2008,Festival Prize,Grand Prize,False,False,Soul of a Demon,nm0151844,Tso-chi Chang,Soul of a Demon,2008.0,Drama,5368
tt1130773,2008,Festival Prize,Grand Prize,False,False,Summer's Tail,nm0155641,Wen-tang Cheng,Summer's Tail,2007.0,Drama,68009
tt1239313,2008,Festival Prize,Grand Prize,False,True,What on Earth Have I Done Wrong?!,nm0633080,Doze Niu,What on Earth Have I Done Wrong?!,2008.0,Comedy,180832
tt1135992,2008,International New Talent Competition - Special Mention,,True,True,Wonderful Town,nm0039775,Aditya Assarat,Wonderful Town,2008.0,Drama,330536
tt0984130,2009,Taipei Grand Award,Grand Prize,False,True,Miao Miao,nm3171048,Hsiao-tse Cheng,Miao Miao,2009.0,Comedy,189685
