tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0055913,1962,Honorary Award,,True,True,Divorce Italian Style,nm0314584,Pietro Germi,Divorce Italian Style,1962.0,Comedy,1105135
tt0063518,1968,Honorary Award,,True,True,Romeo and Juliet,nm0001874,Franco Zeffirelli,Romeo and Juliet,1968.0,Drama,45549
tt0107756,1992,Golden Alexander,,True,True,Orlando,nm0006845,Sally Potter,Orlando,1993.0,Others,19033876
tt0107302,1993,Best Screenplay,,True,True,Kalifornia,nm0582481,Tim Metcalfe,Kalifornia,1993.0,Others,8436891
tt0109705,1994,Special Mention,,True,True,Eclipse,nm0272536,Matthew Ferguson,Eclipse,1995.0,Drama,143715
tt0113247,1995,Golden Alexander,,False,False,La haine,nm0440913,Mathieu Kassovitz,La Haine,1996.0,Others,926700
tt0117284,1995,Golden Alexander,,False,False,Palookaville,nm0851930,Alan Taylor,Palookaville,1996.0,Comedy,1179375
tt0112586,1996,Golden Alexander,,True,False,Brothers in Trouble,nm0006841,Udayan Prasad,Brothers in Trouble,1997.0,Comedy,25538
tt0115486,1996,Golden Alexander,,False,True,Ah-chung,nm0151844,Tso-chi Chang,Zhong zi,1997.0,Drama,86
tt0115906,1996,Golden Alexander,,False,True,Citizen Ruth,nm0668247,Alexander Payne,Citizen Ruth,1996.0,Comedy,918786
tt0116860,1996,Golden Alexander,,False,True,"Pretty Village, Pretty Flame",nm0236729,Srdjan Dragojevic,"Pretty Village, Pretty Flame",1996.0,Comedy,681
tt0126344,1997,Golden Alexander,,False,True,I Went Down,nm0106456,Paddy Breathnach,I Went Down,1998.0,Others,635416
tt0119361,1997,Golden Alexander,,False,False,In the Company of Men,nm0001438,Neil LaBute,In the Company of Men,1997.0,Comedy,8913898
tt0120391,1997,Golden Alexander,,False,True,TwentyFourSeven,nm0276349,Shane Meadows,Twenty Four Seven,1998.0,Comedy,288213
tt0120522,1997,Golden Alexander,,False,True,Winter Sleepers,nm0878756,Tom Tykwer,Winter Sleepers,2000.0,Drama,964398
tt0156729,1998,Golden Alexander,,False,False,Last Night,nm0001528,Don McKellar,Last Night,1999.0,Comedy,1795258
tt0138704,1998,Golden Alexander,,False,True,Pi,nm0004716,Darren Aronofsky,Pi,1998.0,Drama,10087732
tt0162426,1998,Golden Alexander,,False,True,Short Sharp Shock,nm0015359,Fatih Akin,Short Sharp Shock,1999.0,Others,30738
tt0156901,1998,Golden Alexander,,False,True,The Apple,nm0538533,Samira Makhmalbaf,The Apple,1999.0,Drama,47247
tt0177963,1998,Golden Alexander,,False,True,The Flight of the Bee,nm0882403,Jamshed Usmonov,The Flight of the Bee,1999.0,Drama,4930
tt0156794,1998,Greek Competition Award,Best Costume Design,True,True,Eternity and a Day,nm0666029,Giorgos Patsas,Eternity and a Day,1999.0,Drama,329592
tt0215369,1999,Golden Alexander,,True,True,Shower,nm0955434,Yang Zhang,Shower,2000.0,Comedy,5038610
tt0220726,1999,Golden Alexander,,False,True,Human Resources,nm0134559,Laurent Cantet,Human Resources,2000.0,Comedy,174139
tt0188674,1999,Golden Alexander,,False,True,Human Traffic,nm0449863,Justin Kerrigan,Human Traffic,2000.0,Comedy,310701
tt0126651,1999,Golden Alexander,,False,False,Santitos,nm0819702,Alejandro Springall,Santitos,1999.0,Comedy,755911
tt0222027,1999,Audience Award,Greek Competition,True,True,I earini synaxis ton agrofylakon,nm0042822,Dimos Avdeliodis,I earini synaxis ton agrofylakon,2000.0,Others,23962
tt0144134,1999,Greek Competition Award,Best Cinematography,True,True,The Cherry Orchard,nm0824024,Aris Stavrou,The Cherry Orchard,2002.0,Drama,388869
tt0258761,2000,Golden Alexander,,True,True,Last Resort,nm0667734,Pawel Pawlikowski,Last Resort,2001.0,Drama,169378
tt0230098,2000,Golden Alexander,,False,False,Confusion of Genders,nm0243666,Ilan Duran Cohen,Confusion of Genders,2001.0,Comedy,155951
tt0262432,2000,Golden Alexander,,False,False,George Washington,nm0337773,David Gordon Green,George Washington,2000.0,Drama,792529
tt0219288,2000,Golden Alexander,,False,True,Loners,nm0648576,David Ondrícek,Loners,2002.0,Comedy,1001419
tt0260332,2000,Golden Alexander,,False,True,The Day I Became a Woman,nm0581863,Marzieh Makhmalbaf,The Day I Became a Woman,2000.0,Comedy,440514
tt0237993,2000,FIPRESCI Prize,Parallel Sections,True,True,101 Reykjavík,nm0466349,Baltasar Kormákur,101 Reykjavík,2000.0,Comedy,988211
