tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0234837,2000,Grand Prize,,True,False,Suzhou River,nm0521601,Ye Lou,Suzhou River,2000.0,Drama,142789
tt0260332,2000,Grand Prize,,False,False,The Day I Became a Woman,nm0581863,Marzieh Makhmalbaf,The Day I Became a Woman,2000.0,Others,440514
tt0293082,2001,Grand Prize,,False,True,Delbaran,nm0416119,Abolfazl Jalili,Delbaran,2002.0,Drama,37197
tt0277444,2001,Grand Prize,,False,False,I Love Beijing,nm0948075,Ying Ning,I Love Beijing,2002.0,Drama,29668
tt0290823,2001,Grand Prize,,False,False,Secret Ballot,nm0668165,Babak Payami,Secret Ballot,2002.0,Others,337772
tt0269217,2001,Grand Prize,,False,False,Tears of the Black Tiger,nm0765685,Wisit Sasanatieng,Tears of the Black Tiger,2001.0,Action,306379
tt0317171,2002,Grand Prize,,True,False,Blissfully Yours,nm0917405,Apichatpong Weerasethakul,Blissfully Yours,2002.0,Drama,26386
tt0317476,2002,Grand Prize,,False,True,Angel on the Right,nm0882403,Jamshed Usmonov,Angel on the Right,2004.0,Others,115572
tt0333692,2002,Grand Prize,,False,True,Too Young to Die,nm1252754,Jin-pyo Park,Too Young to Die,2002.0,Others,497906
tt0372937,2003,Grand Prize,,False,False,Into the Mirror,nm1193005,Sung-ho Kim,Into the Mirror,2010.0,Action,82113
tt0354668,2003,Grand Prize,,False,False,Save the Green Planet!,nm2287741,Joon-Hwan Jang,Save the Green Planet!,2004.0,Others,41847
tt0381668,2004,Grand Prize,,True,False,Tropical Malady,nm0917405,Apichatpong Weerasethakul,Tropical Malady,2004.0,Drama,125163
tt0423277,2004,Grand Prize,,False,False,Stray Dogs,nm0581863,Marzieh Makhmalbaf,Stray Dogs,2004.0,Drama,60386
tt0424227,2004,Grand Prize,,False,True,Turtles Can Fly,nm0315842,Bahman Ghobadi,Turtles Can Fly,2004.0,Drama,1785932
tt0456836,2005,Grand Prize,,True,False,Bashing,nm0462029,Masahiro Kobayashi,Bashing,2006.0,Drama,4806
tt0469692,2005,Grand Prize,,False,False,A Perfect Day,nm0352858,Joana Hadjithomas,A Perfect Day,2006.0,Drama,6929
tt0478024,2005,Grand Prize,,False,True,SPL: Kill Zone,nm0948159,Wilson Yip,SPL: Kill Zone,2005.0,Action,1234042
tt0478025,2005,Grand Prize,,False,False,Sa-kwa,nm1118549,Yi-kwan Kang,Sa-kwa,2008.0,Drama,322942
tt0792988,2006,Grand Prize,,True,False,To Get to Heaven First You Have to Die,nm0882403,Jamshed Usmonov,To Get to Heaven First You Have to Die,2006.0,Others,311
tt0478999,2006,Grand Prize,,False,False,Close to Home,nm0353263,Dalia Hager,Close to Home,2006.0,Drama,112606
tt0847050,2006,Grand Prize,,False,False,Half Moon,nm0315842,Bahman Ghobadi,Half Moon,2007.0,Others,305725
tt0479506,2006,Grand Prize,,False,False,The Blossoming of Maximo Oliveros,nm2039919,Auraeus Solito,The Blossoming of Maximo Oliveros,2006.0,Drama,85824
tt0499537,2006,Audience Award,,True,True,Offside,nm0070159,Jafar Panahi,Offside,2006.0,Others,926581
tt0816672,2007,Grand Prize,,True,False,Tehilim,nm0618930,Raphaël Nadjari,Tehilim,2008.0,Drama,147994
tt1094627,2007,Grand Prize,,False,False,Buddha Collapsed Out of Shame,nm0538529,Hana Makhmalbaf,Buddha Collapsed Out of Shame,2008.0,Drama,1888332
tt0901488,2007,Grand Prize,,False,True,Eye in the Sky,nm0946883,Nai-Hoi Yau,Eye in the Sky,2007.0,Action,2192847
tt1076251,2007,Grand Prize,,False,False,"Help Me, Eros",nm0497642,Kang-sheng Lee,"Help Me, Eros",2008.0,Drama,95966
tt0807721,2007,Grand Prize,,False,False,Jellyfish,nm0449316,Etgar Keret,Jellyfish,2007.0,Drama,1573356
tt0831386,2007,Grand Prize,,False,False,The Drummer,nm0080456,Kenneth Bi,The Drummer,2008.0,Others,781767
tt1499354,2007,Grand Prize,,False,False,The Wonder Years,nm3587010,Hee-jung Kim,The Wonder Years,2007.0,Drama,43433
tt0796212,2007,Audience Award,,True,True,Exiled,nm0864775,Johnnie To,Exiled,2007.0,Action,1595485
tt1185616,2008,Grand Prize,,True,False,Waltz with Bashir,nm0284369,Ari Folman,Waltz with Bashir,2008.0,Others,15641444
tt1068652,2008,Grand Prize,,False,False,I Want to See,nm0352858,Joana Hadjithomas,I Want to See,2008.0,Drama,106655
tt1143155,2008,Grand Prize,,False,True,Treeless Mountain,nm0811611,So Yong Kim,Treeless Mountain,2009.0,Drama,223131
tt1373120,2009,Grand Prize,,True,True,Breathless,nm3344655,Ik-joon Yang,Breathless,2009.0,Others,813589
