tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0089424,1985,Special Jury Distinguished Award,,True,True,Kiss of the Spider Woman,nm0002199,Hector Babenco,Kiss of the Spider Woman,1985.0,Drama,80634836
tt0092822,1987,Tokyo Grand Prix,,False,False,Dancers,nm0006889,Herbert Ross,Dancers,1987.0,Comedy,5276815
tt0093209,1987,Tokyo Grand Prix,,False,True,Hope and Glory,nm0000958,John Boorman,Hope and Glory,1988.0,Comedy,44153054
tt0093225,1987,Tokyo Grand Prix,,False,True,Housekeeping,nm0287025,Bill Forsyth,Housekeeping,1987.0,Drama,4797756
tt0092843,1987,Tokyo Grand Prix,,False,True,The Dead,nm0001379,John Huston,The Dead,1987.0,Drama,19354674
tt0093106,1987,Tokyo Grand Prix,,False,True,The Good Wife,nm0131643,Ken Cameron,The Good Wife,1987.0,Drama,5219505
tt0093354,1987,Gold Award,,True,True,The Kitchen Toto,nm0393591,Harry Hook,The Kitchen Toto,1988.0,Drama,439098
tt0097243,1989,Tokyo Grand Prix,,False,True,A Dry White Season,nm0657484,Euzhan Palcy,A Dry White Season,1989.0,Drama,15401894
tt0096976,1989,Tokyo Grand Prix,,False,False,Breaking In,nm0287025,Bill Forsyth,Breaking In,1989.0,Others,7640470
tt0098596,1989,Tokyo Grand Prix,,False,True,Life and Nothing But,nm0851724,Bertrand Tavernier,Life and Nothing But,1989.0,Drama,3255
tt0098067,1989,Tokyo Grand Prix,,False,False,Parenthood,nm0000165,Ron Howard,Parenthood,1989.0,Comedy,464222959
tt0101588,1991,Tokyo Grand Prix,,True,False,City of Hope,nm0000626,John Sayles,City of Hope,1991.0,Others,5107219
tt0103282,1991,Tokyo Grand Prix,,False,False,A Woman's Tale,nm0185187,Paul Cox,A Woman's Tale,1992.0,Drama,741102
tt0101605,1991,Tokyo Grand Prix,,False,True,The Commitments,nm0000570,Alan Parker,The Commitments,1991.0,Comedy,55578225
tt0102050,1991,Tokyo Grand Prix,,False,False,Voyager,nm0772522,Volker Schlöndorff,Voyager,1992.0,Drama,1911584
tt0101773,1991,Best Director Award,Young Cinema Competition,False,False,Drive,nm0506461,Jefery Levy,Drive,1992.0,Others,54715
tt0102721,1991,Bronze Award,,True,True,Proof,nm0602104,Jocelyn Moorhouse,Proof,1992.0,Drama,1925023
tt0103671,1992,Tokyo Grand Prix,,False,False,American Me,nm0001579,Edward James Olmos,American Me,1992.0,Others,48014515
tt0104073,1992,Tokyo Grand Prix,,False,False,Deep Cover,nm0004886,Bill Duke,Deep Cover,1992.0,Others,60964406
tt0103994,1992,Tokyo Grand Prix,,False,True,Like Water for Chocolate,nm0000778,Alfonso Arau,Like Water for Chocolate,1993.0,Drama,76929640
tt0103850,1992,Bronze Award,,True,True,Bob Roberts,nm0000209,Tim Robbins,Bob Roberts,1992.0,Comedy,16202683
tt0107358,1993,Tokyo Grand Prix,,True,True,The Blue Kite,nm0862514,Zhuangzhuang Tian,The Blue Kite,1994.0,Drama,617992
tt0106469,1993,Tokyo Grand Prix,,False,True,"Blood In, Blood Out",nm0000431,Taylor Hackford,"Blood In, Blood Out",1993.0,Others,15959622
tt0104812,1993,Tokyo Grand Prix,,False,True,Map of the Human Heart,nm0911910,Vincent Ward,Map of the Human Heart,1993.0,Others,9948582
tt0108065,1993,Tokyo Grand Prix,,False,True,Searching for Bobby Fischer,nm0001873,Steven Zaillian,Searching for Bobby Fischer,1993.0,Others,25647923
tt0108135,1993,Tokyo Grand Prix,,False,False,Silent Tongue,nm0001731,Sam Shepard,Silent Tongue,1993.0,Drama,219613
tt0103935,1993,Bronze Award,,True,True,Rebels of the Neon God,nm0158857,Ming-liang Tsai,Rebels of the Neon God,1993.0,Others,100994
tt0106661,1994,Tokyo Grand Prix,,False,True,A Dangerous Woman,nm0350455,Stephen Gyllenhaal,A Dangerous Woman,1993.0,Drama,5248451
tt0109702,1994,Tokyo Grand Prix,,False,False,Cold Water,nm0000801,Olivier Assayas,Cold Water,1994.0,Drama,103344
tt0111001,1994,Tokyo Grand Prix,,False,False,The Road to Wellville,nm0000570,Alan Parker,The Road to Wellville,1994.0,Comedy,22435278
tt0111112,1994,Tokyo Grand Prix,,False,False,The Secret of Roan Inish,nm0000626,John Sayles,The Secret of Roan Inish,1995.0,Drama,20861350
tt0109093,1994,Silver Award,,True,True,Amateur,nm0001325,Hal Hartley,Amateur,1995.0,Comedy,2542343
tt0109842,1994,Bronze Award,,True,True,Fresh,nm0945026,Boaz Yakin,Fresh,1994.0,Others,27691605
tt0109642,1995,Tokyo Grand Prix,,False,True,Dolores Claiborne,nm0000431,Taylor Hackford,Dolores Claiborne,1995.0,Others,82240771
tt0113337,1995,Tokyo Grand Prix,,False,False,Hotel Sorrento,nm0002207,Richard Franklin,Hotel Sorrento,1995.0,Drama,152775
tt0113542,1995,Tokyo Grand Prix,,False,False,Killer: A Journal of Murder,nm0582481,Tim Metcalfe,Killer: A Journal of Murder,1996.0,Others,265682
tt0109255,1995,Tokyo Grand Prix,,False,False,Maybe... Maybe Not,nm0941811,Sönke Wortmann,Maybe... Maybe Not,1996.0,Comedy,1526549
tt0112445,1995,Gold Award,,True,True,The White Balloon,nm0070159,Jafar Panahi,The White Balloon,1996.0,Drama,3061743
tt0114814,1995,Silver Award,,True,True,The Usual Suspects,nm0001741,Bryan Singer,The Usual Suspects,1995.0,Others,77870639
tt0116790,1996,Tokyo Grand Prix,,True,True,Kolya,nm0841232,Jan Sverák,Kolya,1997.0,Comedy,18536478
tt0116384,1996,Tokyo Grand Prix,,False,True,Gabbeh,nm0538532,Mohsen Makhmalbaf,Gabbeh,1997.0,Drama,1698219
tt0116722,1996,Tokyo Grand Prix,,False,False,Jude,nm0935863,Michael Winterbottom,Jude,1996.0,Drama,1320984
tt0115669,1996,Tokyo Grand Prix,,False,True,The King of Masks,nm0943177,Tian-Ming Wu,The King of Masks,1997.0,Drama,3575754
