tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0177963,1998,Prize of the City of Torino,Best Feature Film,True,True,The Flight of the Bee,nm0882403,Jamshed Usmonov,The Flight of the Bee,1999.0,Drama,4930
tt0165078,1998,Prize of the City of Torino,Best Feature Film,False,True,After Life,nm0466153,Hirokazu Koreeda,After Life,1999.0,Drama,2466253
tt0156729,1998,Prize of the City of Torino,Best Feature Film,False,False,Last Night,nm0001528,Don McKellar,Last Night,1999.0,Comedy,1795258
tt0120735,1998,Prize of the City of Torino,Best Feature Film,False,False,"Lock, Stock and Two Smoking Barrels",nm0005363,Guy Ritchie,"Lock, Stock and Two Smoking Barrels",1999.0,Comedy,11627988
tt0156901,1998,Prize of the City of Torino,Best Feature Film,False,False,The Apple,nm0538533,Samira Makhmalbaf,The Apple,1999.0,Drama,47247
tt0194710,1999,Prize of the City of Torino,Best Feature Film,False,False,Bobby G. Can't Swim,nm0600024,John-Luke Montias,Bobby G. Can't Swim,1999.0,Drama,49251
tt0220726,1999,Prize of the City of Torino,Best Feature Film,False,True,Human Resources,nm0134559,Laurent Cantet,Human Resources,2000.0,Comedy,174139
tt0180181,1999,Prize of the City of Torino,Best Feature Film,False,True,Soft Fruit,nm0028297,Christina Andreef,Soft Fruit,2000.0,Comedy,41341
tt0262432,2000,Prize of the City of Torino,Best Feature Film,True,True,George Washington,nm0337773,David Gordon Green,George Washington,2000.0,Drama,792529
tt0279998,2000,Prize of the City of Torino,Best Feature Film,False,True,One More Day,nm0668165,Babak Payami,One More Day,2003.0,Drama,4655
tt0284848,2001,Prize of the City of Torino,Best Feature Film,False,True,Amour d'enfance,nm0146568,Yves Caumon,Amour d'enfance,2001.0,Drama,52861
tt0281718,2001,Prize of the City of Torino,Best Feature Film,False,True,Friend,nm0477041,Kyung-taek Kwak,Friend,2001.0,Others,792329
tt0302309,2001,Prize of the City of Torino,Best Feature Film,False,False,Gasoline,nm0821813,Monica Stambrini,Gasoline,2003.0,Others,30701
tt0162346,2001,Prize of the City of Torino,Best Feature Film,False,False,Ghost World,nm0959062,Terry Zwigoff,Ghost World,2001.0,Comedy,21472705
tt0273326,2001,Prize of the City of Torino,Best Feature Film,False,True,Truly Human,nm0761879,Åke Sandgren,Truly Human,2001.0,Drama,349370
tt0250125,2001,Prize of the City of Torino,Best Feature Film,False,True,Under the Skin of the City,nm0051999,Rakhshan Banietemad,Under the Skin of the City,2002.0,Drama,88499
tt0300453,2002,Prize of the City of Torino,Best Feature Film,True,True,Red Satin,nm1075853,Raja Amari,Red Satin,2002.0,Drama,5292228
tt0312687,2002,Prize of the City of Torino,Best Feature Film,False,False,Daughter of Keltoum,nm0152831,Mehdi Charef,Daughter of Keltoum,2005.0,Drama,38479
tt0337662,2002,Prize of the City of Torino,Best Feature Film,False,False,El Leyton,nm0433211,Gonzalo Justiniano,El Leyton,2003.0,Drama,3703
tt0289229,2002,Prize of the City of Torino,Best Feature Film,False,True,Hukkle,nm0701650,György Pálfi,Hukkle,2003.0,Others,258262
tt0265591,2002,Prize of the City of Torino,Best Feature Film,False,False,Pumpkin,nm0009159,Anthony Abrams,Pumpkin,2002.0,Comedy,890455
tt0300565,2002,Prize of the City of Torino,Best Feature Film,False,False,Toy Love,nm0801625,Harry Sinclair,Toy Love,2003.0,Comedy,15263
tt0329706,2003,Prize of the City of Torino,Best Feature Film,False,True,"A Man, a Real One",nm0488623,Arnaud Larrieu,"A Man, a Real One",2003.0,Comedy,669397
tt0353969,2003,Prize of the City of Torino,Best Feature Film,False,True,Memories of Murder,nm0094435,Joon-ho Bong,Memories of Murder,2003.0,Others,779543
tt0337250,2003,Prize of the City of Torino,Best Feature Film,False,True,Struggle,nm0534813,Ruth Mader,Struggle,2003.0,Drama,4969
tt0325007,2003,Audience Award,,True,True,April's Shower,nm0233180,Trish Doolan,April's Shower,2004.0,Comedy,44123
tt0407021,2004,Prize of the City of Torino,Best Feature Film,True,True,Los muertos,nm1027762,Lisandro Alonso,Los Muertos,2007.0,Drama,42709
tt0405821,2004,Prize of the City of Torino,Best Feature Film,False,False,Casshern,nm1589546,Kazuaki Kiriya,Casshern,2007.0,Others,15455795
tt0338977,2004,Prize of the City of Torino,Best Feature Film,False,True,Games of Love and Chance,nm0444244,Abdellatif Kechiche,Games of Love and Chance,2005.0,Comedy,2307488
tt0415080,2004,Prize of the City of Torino,Best Feature Film,False,False,Triad Underworld,nm1494662,Ching-Po Wong,Triad Underworld,2010.0,Others,1949875
tt0360130,2004,Prize of the City of Torino,Best Feature Film,False,False,Undertow,nm0337773,David Gordon Green,Undertow,2004.0,Drama,402081
tt0476323,2005,Prize of the City of Torino,Best Feature Film,True,True,Gravehopping,nm0194156,Jan Cvitkovic,Odgrobadogroba,2006.0,Comedy,59132
tt0463903,2005,Prize of the City of Torino,Best Feature Film,False,True,Be with Me,nm0451799,Eric Khoo,Be with Me,2005.0,Drama,119112
tt0471367,2005,Prize of the City of Torino,Best Feature Film,False,True,Les saignantes,nm0067464,Jean-Pierre Bekolo,Les saignantes,2009.0,Others,1602
tt0452581,2005,Prize of the City of Torino,Best Feature Film,False,False,Mob Sister,nm1494662,Ching-Po Wong,Mob Sister,2005.0,Others,882231
tt0766229,2005,Prize of the City of Torino,Best Italian Documentary Film,False,False,Altri occhi,nm1182732,Guido Votano,Altri occhi,2005.0,Others,1303
tt0795341,2006,Prize of the City of Torino,Best Feature Film,False,True,Back Home,nm1140699,Rabah Ameur-Zaïmeche,Back Home,2006.0,Drama,285310
tt0860508,2006,Prize of the City of Torino,Best Feature Film,False,False,The Pavillion Salamandre,nm0866695,Masanori Tominaga,The Pavillion Salamandre,2006.0,Comedy,217
tt0878674,2007,Prize of the City of Torino,Best Feature Film,True,True,Garage,nm1049433,Lenny Abrahamson,Garage,2008.0,Drama,1156850
