tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0082158,1981,People's Choice Award,,True,False,Chariots of Fire,nm0399853,Hugh Hudson,Chariots of Fire,1982.0,Others,318495916
tt0084776,1982,People's Choice Award,,True,False,Tempest,nm0005196,Paul Mazursky,Tempest,1982.0,Comedy,26130344
tt0085244,1983,People's Choice Award,,True,False,The Big Chill,nm0001410,Lawrence Kasdan,The Big Chill,1983.0,Comedy,286252632
tt0087921,1984,People's Choice Award,,True,False,Places in the Heart,nm0000914,Robert Benton,Places in the Heart,1984.0,Drama,169402424
tt0087054,1984,International Critics' Award,,True,True,Choose Me,nm0748928,Alan Rudolph,Choose Me,1984.0,Comedy,12179407
tt0089276,1985,People's Choice Award,,True,False,The Official Story,nm0699933,Luis Puenzo,The Official Story,1985.0,Drama,232708
tt0090985,1986,People's Choice Award,,True,True,The Decline of the American Empire,nm0000780,Denys Arcand,The Decline of the American Empire,1986.0,Comedy,8838854
tt0093779,1987,People's Choice Award,,True,False,The Princess Bride,nm0001661,Rob Reiner,The Princess Bride,1987.0,Others,136827824
tt0095675,1988,People's Choice Award,,True,False,Women on the Verge of a Nervous Breakdown,nm0000264,Pedro Almodóvar,Women on the Verge of a Nervous Breakdown,1988.0,Comedy,30832131
tt0095806,1988,Best Canadian Feature Film,,True,True,The Outside Chance of Maximilian Glick,nm0326161,Allan A. Goldstein,The Outside Chance of Maximilian Glick,1990.0,Comedy,637205
tt0095037,1988,International Critics' Award,,True,True,"Distant Voices, Still Lives",nm0203993,Terence Davies,"Distant Voices, Still Lives",1988.0,Drama,3125680
tt0098213,1989,People's Choice Award,,True,False,Roger & Me,nm0601619,Michael Moore,Roger & Me,1989.0,Others,29208135
tt0097635,1989,International Critics' Award,,True,True,Jesus of Montreal,nm0000780,Denys Arcand,Jesus of Montreal,1990.0,Drama,6335739
tt0099334,1990,People's Choice Award,,True,False,Cyrano de Bergerac,nm0710919,Jean-Paul Rappeneau,Cyrano de Bergerac,1990.0,Comedy,22235466
tt0099040,1990,International Critics' Award,,True,True,An Angel at My Table,nm0001005,Jane Campion,An Angel at My Table,1990.0,Others,4040210
tt0101889,1991,People's Choice Award,,True,False,The Fisher King,nm0000416,Terry Gilliam,The Fisher King,1991.0,Comedy,156068643
tt0101273,1991,Best Canadian Feature Film,,True,True,The Adjuster,nm0000382,Atom Egoyan,The Adjuster,1992.0,Comedy,1442611
tt0102494,1991,International Critics' Award,,True,True,My Own Private Idaho,nm0001814,Gus Van Sant,My Own Private Idaho,1991.0,Drama,23846189
tt0105488,1992,People's Choice Award,,True,False,Strictly Ballroom,nm0525303,Baz Luhrmann,Strictly Ballroom,1993.0,Comedy,41923522
tt0103905,1992,Metro Media Award,,True,True,Man Bites Dog,nm0069715,Rémy Belvaux,Man Bites Dog,1993.0,Comedy,736784
tt0104782,1992,Best Canadian Feature Film - Special Jury Citation,,True,True,Léolo,nm0491682,Jean-Claude Lauzon,Léolo,1993.0,Comedy,2171103
tt0105236,1992,International Critics' Award (FIPRESCI),,True,True,Reservoir Dogs,nm0000233,Quentin Tarantino,Reservoir Dogs,1992.0,Others,10532387
tt0108026,1993,People's Choice Award,,False,False,The Saint of Fort Washington,nm0006853,Tim Hunter,The Saint of Fort Washington,1993.0,Drama,471323
tt0107653,1993,Metro Media Award,,True,True,Naked,nm0005139,Mike Leigh,Naked,1994.0,Comedy,6164176
tt0108328,1993,Best Canadian Feature Film - Special Jury Citation,,True,True,Thirty Two Short Films About Glenn Gould,nm0320660,François Girard,Thirty Two Short Films About Glenn Gould,1993.0,Others,4625527
tt0108649,1993,Best Canadian Feature Film - Special Jury Citation,,True,True,Zero Patience,nm0340742,John Greyson,Zero Patience,1994.0,Others,754491
tt0110889,1994,People's Choice Award,,True,False,Priest,nm0000944,Antonia Bird,Priest,1995.0,Drama,14063056
tt0110005,1994,Metro Media Award,,True,True,Heavenly Creatures,nm0001392,Peter Jackson,Heavenly Creatures,1994.0,Others,10424084
tt0109759,1994,Best Canadian Feature Film,,True,True,Exotica,nm0000382,Atom Egoyan,Exotica,1995.0,Drama,14249369
tt0109655,1994,Best Canadian Feature Film - Special Jury Citation,,True,True,Double Happiness,nm0795803,Mina Shum,Double Happiness,1995.0,Drama,2545067
tt0112379,1995,People's Choice Award,,True,False,Antonia's Line,nm0331296,Marleen Gorris,Antonia's Line,1996.0,Comedy,13986008
tt0112769,1995,Metro Media Award,,True,True,La cérémonie,nm0001031,Claude Chabrol,La Cérémonie,1996.0,Others,2813915
tt0117631,1996,People's Choice Award,,True,True,Shine,nm0382956,Scott Hicks,Shine,1997.0,Others,115103957
tt0116783,1996,Best Canadian Feature Film - Special Jury Citation,,True,True,Kissed,nm0832369,Lynne Stopkewich,Kissed,1997.0,Drama,1050302
tt0116041,1996,International Critics' Award (FIPRESCI) - Special Mention,,True,True,The Daytrippers,nm0609549,Greg Mottola,The Daytrippers,1997.0,Comedy,6707103
tt0125128,1997,People's Choice Award,,True,True,The Hanging Garden,nm0280396,Thom Fitzgerald,The Hanging Garden,1997.0,Drama,39414
tt0118749,1997,Metro Media Award,,True,True,Boogie Nights,nm0000759,Paul Thomas Anderson,Boogie Nights,1997.0,Drama,109908149
tt0119488,1997,Metro Media Award,,True,True,L.A. Confidential,nm0000436,Curtis Hanson,L.A. Confidential,1997.0,Others,302526156
tt0120255,1997,Best Canadian Feature Film,,True,True,The Sweet Hereafter,nm0000382,Atom Egoyan,The Sweet Hereafter,1997.0,Drama,10328205
tt0123755,1997,Best Canadian First Feature Film,,True,True,Cube,nm0622112,Vincenzo Natali,Cube,1998.0,Drama,1688174
tt0124185,1997,International Critics' Award (FIPRESCI),,True,True,Under the Skin,nm0012119,Carine Adler,Under the Skin,1998.0,Drama,440314
tt0118799,1998,People's Choice Award,,True,False,Life Is Beautiful,nm0000905,Roberto Benigni,Life Is Beautiful,1999.0,Comedy,446878134
tt0147612,1998,Metro Media Award,,True,True,Happiness,nm0001754,Todd Solondz,Happiness,1998.0,Comedy,9293255
tt0128370,1998,Best Canadian Feature Film,,True,True,Nô,nm0503215,Robert Lepage,Nô,1998.0,Drama,15207
tt0156729,1998,Best Canadian First Feature Film,,True,True,Last Night,nm0001528,Don McKellar,Last Night,1999.0,Comedy,1795258
tt0147192,1998,International Critics' Award (FIPRESCI),,True,True,Praise,nm0192845,John Curran,Praise,2000.0,Drama,88564
tt0154443,1999,People's Choice Award,Masters,False,False,8 ½ Women,nm0000425,Peter Greenaway,8 ½ Women,2000.0,Comedy,1283984
tt0165196,1999,People's Choice Award,Masters,False,False,Molokai,nm0185187,Paul Cox,Molokai,1999.0,Others,282953
tt0120731,1999,People's Choice Award,Masters,False,False,The Legend of 1900,nm0868153,Giuseppe Tornatore,The Legend of 1900,1998.0,Drama,522119
tt0209463,1999,People's Choice Award,Masters,False,False,The Wind Will Carry Us,nm0452102,Abbas Kiarostami,The Wind Will Carry Us,2000.0,Drama,767560
tt0169547,1999,People's Choice Award,,True,False,American Beauty,nm0005222,Sam Mendes,American Beauty,1999.0,Drama,738982223
tt0162348,1999,Discovery Award,,True,True,Smiling Fish & Goat on Fire,nm0430064,Kevin Jordan,Smiling Fish & Goat on Fire,2000.0,Comedy,831402
tt0188674,1999,Discovery Award,,False,False,Human Traffic,nm0449863,Justin Kerrigan,Human Traffic,2000.0,Comedy,310701
tt0156096,1999,Discovery Award,,False,False,Spring Forward,nm0319680,Tom Gilroy,Spring Forward,2000.0,Drama,344853
tt0188757,1999,Discovery Award,,False,False,Kill by Inches,nm0232538,Diane Doniol-Valcroze,Kill by Inches,2000.0,Others,1532
tt0168794,1999,Best Canadian Feature Film,,True,True,The Five Senses,nm0687964,Jeremy Podeswa,The Five Senses,2000.0,Comedy,1511116
tt0148103,1999,Best Canadian Feature Film - Special Jury Citation,,True,True,Set Me Free,nm0690794,Léa Pool,Set Me Free,1999.0,Drama,225015
tt0213121,1999,Best Canadian First Feature Film - Special Jury Congratulation,,True,True,New Waterford Girl,nm0049313,Liane Balaban,New Waterford Girl,2000.0,Comedy,2344952
