tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0314871,2002,Special Mention,Narrative Feature,True,True,Washington Heights,nm0212137,Alfredo Rodriguez de Villa,Washington Heights,2002.0,Drama,455640
tt0326988,2002,Jury Award,Best Documentary Feature,False,False,I'll Sing for You,nm1213932,Jacques Sarasin,I'll Sing for You,2002.0,Others,48771
tt0334405,2002,Jury Award,Best Documentary Feature,False,False,Spellbound,nm0998825,Jeffrey Blitz,Spellbound,2002.0,Comedy,18846366
tt0324080,2002,Jury Award,Best Documentary Feature,False,False,Stone Reader,nm1195672,Mark Moskowitz,Stone Reader,2002.0,Documentary,751847
tt0299117,2002,Jury Award,Best Narrative Feature,True,False,Roger Dodger,nm1071898,Dylan Kidd,Roger Dodger,2002.0,Comedy,4512367
tt0298050,2002,Jury Award,Best Narrative Feature,False,True,Manito,nm1067858,Eric Eason,Manito,2002.0,Drama,31745
tt0295671,2002,Jury Award,Best Narrative Feature,False,False,One Man Up,nm0815204,Paolo Sorrentino,L'uomo in più,2002.0,Comedy,450877
tt0265709,2002,Jury Award,Best Narrative Feature,False,False,Scenes of the Crime,nm0286322,Dominique Forma,Scenes of the Crime,2002.0,Others,100644
tt0162838,2002,Jury Award,Best Narrative Feature,False,False,Three Days of Rain,nm0580618,Michael Meredith,Three Days of Rain,2002.0,Drama,8075
tt0364930,2003,Special Mention,Documentary > 2 Feature,True,True,Aileen: Life and Death of a Serial Killer,nm0112374,Nick Broomfield,Aileen: Life and Death of a Serial Killer,2003.0,Others,271178
tt0317216,2003,Special Mention,Documentary Feature,True,True,"Carlo Giuliani, Boy",nm0173726,Francesca Comencini,"Carlo Giuliani, Boy",2003.0,Documentary,111042
tt0368310,2003,Special Mention,Documentary Feature,True,True,Sunset Story,nm0299990,Laura Gabbert,Sunset Story,2003.0,Documentary,48764
tt0332639,2003,Audience Award,,True,True,Together with You,nm0155280,Kaige Chen,Together,2003.0,Drama,22034035
tt0329094,2003,Jury Award,Best Documentary > 2 Feature,False,False,Forget Baghdad: Jews and Arabs - The Iraqi Connection,nm0759848,Samir,Forget Baghdad: Jews and Arabs - The Iraqi Connection,2003.0,Documentary,13775
tt0308488,2003,Jury Award,Best Documentary > 2 Feature,False,False,This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,nm0021899,Michael Almereyda,This So-Called Disaster: Sam Shepard Directs the Late Henry Moss,2003.0,Documentary,631302
tt0357033,2003,Jury Award,Best Documentary Feature,False,False,"Seville, Southside",nm0008443,Dominique Abel,"Seville, Southside",2003.0,Documentary,4913
tt0308508,2003,Jury Award,Best Documentary Feature,False,False,Step Into Liquid,nm1440144,Dana Brown,Step Into Liquid,2003.0,Documentary,10691750
tt0351299,2003,Jury Award,Best Narrative Feature,True,False,Blind Shaft,nm1317258,Yang Li,Blind Shaft,2003.0,Others,137390
tt0354490,2003,Jury Award,Best Narrative Feature,False,False,Ballroom,nm0076349,Patrick-Mario Bernard,Ballroom,2003.0,Drama,26916
tt0337585,2003,Jury Award,Best Narrative Feature,False,False,Bomb the System,nm1266372,Adam Bhala Lough,Bomb the System,2002.0,Others,43848
tt0342428,2003,Jury Award,Best Narrative Feature,False,False,Firedancer,nm1288901,Jawed Wassel,Firedancer,2003.0,Drama,6745
tt0325030,2003,Jury Award,Best Narrative Feature,False,True,It's Easier for a Camel...,nm0116254,Valeria Bruni Tedeschi,It's Easier for a Camel...,2003.0,Others,3629713
tt0333089,2003,Jury Award,Best Narrative Feature,False,False,Open My Heart,nm1251009,Giada Colagrande,Open My Heart,2003.0,Drama,12202
tt0289786,2003,Jury Award,Best Narrative Feature,False,False,Some Secrets,nm0625080,Alice Nellis,Some Secrets,2003.0,Comedy,230008
tt0379063,2003,Jury Award,Best Narrative Feature,False,False,Squint Your Eyes,nm1435889,Andrzej Jakimowski,Squint Your Eyes,2003.0,Comedy,291897
tt0334754,2003,Jury Award,Best Narrative Feature,False,False,Yossi & Jagger,nm0297202,Eytan Fox,Yossi & Jagger,2003.0,Drama,861638
tt0410520,2004,Jury Award,Best Documentary > 2 Feature,False,False,Rhythm Is It!,nm0344215,Thomas Grube,Rhythm Is It!,2004.0,Documentary,6528639
tt0400647,2004,Jury Award,Best Documentary > 2 Feature,False,False,Social Genocide,nm0812625,Fernando E. Solanas,Social Genocide,2004.0,Documentary,68454
tt0389361,2004,Jury Award,Best Documentary Feature,False,False,Searching for the Wrong-Eyed Jesus,nm1497918,Andrew Douglas,Searching for the Wrong-Eyed Jesus,2004.0,Documentary,215995
tt0439130,2004,Jury Award,Best Documentary Feature,False,False,The Beauty Academy of Kabul,nm1644490,Liz Mermin,The Beauty Academy of Kabul,2004.0,Documentary,609336
tt0407926,2004,Jury Award,"Best NY, NY Documentary Feature",True,False,Kill Your Idols,nm1950479,Scott Crary,Kill Your Idols,2004.0,Documentary,20954
tt0401581,2004,Jury Award,"Best NY, NY Documentary Feature",False,False,A Letter to True,nm0916510,Bruce Weber,A Letter to True,2004.0,Documentary,42257
tt0410818,2004,Jury Award,"Best NY, NY Documentary Feature",False,False,Tying the Knot,nm1472444,Jim de Sève,Tying the Knot,2004.0,Documentary,109668
tt0306597,2004,Jury Award,"Best NY, NY Narrative Feature",False,False,Brother to Brother,nm0263179,Rodney Evans,Brother to Brother,2004.0,Drama,223276
tt0364435,2004,Jury Award,"Best NY, NY Narrative Feature",False,False,Jailbait,nm1236670,Brett C. Leonard,Jailbait,2004.0,Drama,15843
tt0365938,2004,Jury Award,"Best NY, NY Narrative Feature",False,False,Winter Solstice,nm0973835,Josh Sternfeld,Winter Solstice,2004.0,Drama,931720
tt0378897,2004,Jury Award,Best Narrative Feature,False,False,A Touch of Spice,nm0099552,Tassos Boulmetis,A Touch of Spice,2004.0,Comedy,14048760
tt0377752,2004,Jury Award,Best Narrative Feature,False,False,Dear Frankie,nm0994254,Shona Auerbach,Dear Frankie,2005.0,Drama,2199412
tt0363095,2004,Jury Award,Best Narrative Feature,False,False,Freeze Frame,nm0801055,John Simpson,Freeze Frame,2004.0,Others,54739
tt0297389,2004,Jury Award,Best Narrative Feature,False,False,Poster Boy,nm1576746,Zak Tucker,Poster Boy,2004.0,Drama,167740
tt0404552,2004,Jury Award,Best Narrative Feature,False,False,The Life: What's Your Pleasure?,nm1009774,María Lidón,The Life: What's Your Pleasure?,2004.0,Drama,42093
tt0402417,2004,Jury Award,Best Narrative Feature,False,False,The Other Side of the Street,nm0077094,Marcos Bernstein,The Other Side of the Street,2004.0,Drama,149893
tt0420215,2004,Jury Award,Best Narrative Feature,False,False,The Spectator,nm1671980,Paolo Franchi,The Spectator,2004.0,Drama,244128
tt0455946,2005,Special Mention,Narrative Feature,True,True,My Brother's Summer,nm0716575,Pietro Reggiani,My Brother's Summer,2005.0,Comedy,50433
tt0457496,2005,Audience Award,,True,True,Street Fight,nm1903582,Marshall Curry,Street Fight,2005.0,Documentary,12551
tt0456012,2005,Jury Award,Best Documentary Feature,False,False,A State of Mind,nm1326085,Daniel Gordon,A State of Mind,2005.0,Documentary,159947
tt0455949,2005,Jury Award,Best Documentary Feature,False,False,Favela Rising,nm1905310,Jeff Zimbalist,Favela Rising,2005.0,Documentary,51952
tt0441001,2005,Jury Award,Best Documentary Feature,False,False,The Devil's Miner,nm0203400,Kief Davidson,The Devil's Miner,2005.0,Documentary,37528
tt0443946,2005,Jury Award,Best Documentary Feature,False,False,The Sky Turns,nm1070737,Mercedes Álvarez,The Sky Turns,2005.0,Documentary,319227
tt0457462,2005,Jury Award,Best Documentary Feature,False,False,Totally Personal,nm1359023,Nedzad Begovic,Totally Personal,2005.0,Others,1235
tt0457535,2005,Jury Award,Best Documentary Feature,False,False,Zielen van Napels,nm0598372,Vincent Monnikendam,Zielen van Napels,2005.0,Documentary,13168
tt0455953,2005,Jury Award,"Best NY, NY Documentary Feature",False,False,Gay Sex in the 70s,nm0522673,Joseph F. Lovett,Gay Sex in the 70s,2005.0,Documentary,655455
tt0415234,2005,Jury Award,"Best NY, NY Narrative Feature",True,False,Red Doors,nm1565392,Georgia Lee,Red Doors,2006.0,Drama,246474
tt0372122,2005,Jury Award,"Best NY, NY Narrative Feature",False,False,Adam & Steve,nm0156314,Craig Chester,Adam & Steve,2005.0,Comedy,812616
tt0435645,2005,Jury Award,"Best NY, NY Narrative Feature",False,False,Four Lane Highway,nm1788075,Dylan McCormick,Four Lane Highway,2007.0,Drama,3417
tt0443564,2005,Jury Award,"Best NY, NY Narrative Feature",False,False,Laura Smiles,nm0750599,Jason Ruscio,Laura Smiles,2005.0,Drama,11971
tt0402230,2005,Jury Award,"Best NY, NY Narrative Feature",False,False,The Great New Wonderful,nm0500444,Danny Leiner,The Great New Wonderful,2005.0,Comedy,451883
tt0457452,2005,Jury Award,"Best NY, NY Narrative Feature",False,False,The Reception,nm0949714,John G. Young,The Reception,2005.0,Comedy,48296
tt0445161,2005,Jury Award,Best Narrative Feature,False,False,4,nm0451969,Ilya Khrzhanovskiy,4,2005.0,Drama,53901
tt0325675,2005,Jury Award,Best Narrative Feature,False,False,Boats Out of Watermelon Rinds,nm1204496,Ahmet Uluçay,Boats Out of Watermelon Rinds,2005.0,Comedy,17728
tt0428649,2005,Jury Award,Best Narrative Feature,False,False,I Am a Sex Addict,nm0004354,Caveh Zahedi,I Am a Sex Addict,2005.0,Others,310549
tt0393775,2005,Jury Award,Best Narrative Feature,False,False,Simon,nm0856124,Eddy Terstall,Simon,2005.0,Comedy,1460049
tt0411270,2005,Jury Award,Best Narrative Feature,False,False,The Beat That My Heart Skipped,nm0002191,Jacques Audiard,The Beat That My Heart Skipped,2005.0,Others,16783348
tt0407205,2005,Jury Award,Best Narrative Feature,False,False,The Sisters,nm0782381,Arthur Allan Seidelman,The Sisters,2005.0,Drama,6282
tt0407265,2005,Jury Award,Best Narrative Feature,False,False,Transamerica,nm1053371,Duncan Tucker,Transamerica,2006.0,Others,30910112
tt0426155,2005,Jury Award,Best Narrative Feature,False,False,Ushpizin,nm0200886,Gidi Dar,Ushpizin,2005.0,Drama,3835395
tt0382308,2005,Jury Award,Best Narrative Feature,False,False,Wandering Shadows,nm1458734,Ciro Guerra,Wandering Shadows,2005.0,Drama,3082
tt0486358,2006,Special Jury Prize,,True,True,Jesus Camp,nm1823216,Heidi Ewing,Jesus Camp,2006.0,Documentary,2430102
tt0762111,2006,Special Jury Prize,,True,True,Jonestown: The Life and Death of Peoples Temple,nm0625747,Stanley Nelson,Jonestown: The Life and Death of Peoples Temple,2006.0,Documentary,376136
tt0795488,2006,Special Mention,Actress in a Narrative Feature,True,True,Úcastníci zájezdu,,[],Úcastníci zájezdu,2006.0,Comedy,4729095
tt0799976,2006,Special Mention,"NY, NY Documentary Feature",True,True,The Cats of Mirikitani,nm0369002,Linda Hattendorf,The Cats of Mirikitani,2006.0,Documentary,110853
tt2350432,2006,Tribeca All Access Creative Promise Award - Honorable Mention,Documentary Feature,True,True,Free Angela and All Political Prisoners,nm0528454,Shola Lynch,Free Angela and All Political Prisoners,2013.0,Documentary,427622
tt0775566,2006,Jury Award,Best Documentary Feature,True,False,The War Tapes,nm2198201,Deborah Scranton,The War Tapes,2006.0,Documentary,644741
tt0480126,2006,Jury Award,Best Documentary Feature,False,False,La dignidad de los nadies,nm0812625,Fernando E. Solanas,La dignidad de los nadies,2006.0,Documentary,7603
