tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0022835,1932,Audience Referendum,Most Original Story (Fantasy),True,True,Dr. Jekyll and Mr. Hyde,nm0541149,Rouben Mamoulian,Dr. Jekyll and Mr. Hyde,1932.0,Others,216197
tt0024184,1934,Mussolini Cup,Best Foreign Film,False,True,The Invisible Man,nm0001843,James Whale,The Invisible Man,1933.0,Others,517755
tt0025919,1934,Mussolini Cup,Best Foreign Film,False,False,Twentieth Century,nm0001328,Howard Hawks,Twentieth Century,1934.0,Comedy,188298
tt0026276,1935,Mussolini Cup,Best Foreign Film,False,True,The Devil Is a Woman,nm0903049,Josef von Sternberg,The Devil Is a Woman,1935.0,Comedy,43980
tt0027951,1936,Mussolini Cup,Best Foreign Film,False,False,Mayerling,nm0514822,Anatole Litvak,Mayerling,1937.0,Drama,4200789
tt0028950,1937,Mussolini Cup,Best Foreign Film,False,True,La grande illusion,nm0719756,Jean Renoir,La Grande Illusion,1938.0,Drama,359235
tt0029546,1937,Mussolini Cup,Best Foreign Film,False,False,Shall We Dance,nm0762263,Mark Sandrich,Shall We Dance,1937.0,Comedy,118226
tt0030643,1938,Mussolini Cup,Best Foreign Film,False,True,Port of Shadows,nm0138893,Marcel Carné,Port of Shadows,1939.0,Crime,1223198
tt0029583,1938,Mussolini Cup,Best Foreign Film,False,True,Snow White and the Seven Dwarfs,nm0183183,William Cottrell,Snow White and the Seven Dwarfs,1938.0,Others,6703168524
tt0031514,1939,Mussolini Cup,Best Foreign Film,False,False,Le Jour Se Leve,nm0138893,Marcel Carné,Le Jour Se Leve,1940.0,Crime,1289458
tt0031424,1939,Mussolini Cup,Best Italian Film,False,False,Los hijos de la noche,nm0674398,Benito Perojo,Los hijos de la noche,1940.0,Comedy,1999010
tt0037536,1946,International Critics Award,Best Feature Film,False,False,The Bells of St. Mary's,nm0564970,Leo McCarey,The Bells of St. Mary's,1945.0,Drama,599086877
tt0033152,1946,International Critics Award,Best Feature Film,False,False,The Thief of Bagdad,nm0003490,Ludwig Berger,The Thief of Bagdad,1940.0,Others,4874405
tt0037674,1946,International Critics Award - Special Mention,Feature Films,True,True,Children of Paradise,nm0138893,Marcel Carné,Children of Paradise,1946.0,Drama,957009
tt0036910,1946,International Critics Award - Special Mention,Feature Films,True,True,Henry V,nm0000059,Laurence Olivier,Henry V,1946.0,Biography,869682
tt0038824,1946,International Critics Award - Special Mention,Feature Films,True,True,Panique,nm0245213,Julien Duvivier,Panique,1947.0,Drama,1018674
tt0039677,1947,Grand International Award,,False,False,Odd Man Out,nm0715346,Carol Reed,Odd Man Out,1947.0,Crime,767332
tt0039739,1947,Grand International Award,,False,False,Quai des Orfèvres,nm0167241,Henri-Georges Clouzot,Quai des Orfèvres,1948.0,Crime,3952781
tt0038109,1947,Grand International Award,,False,False,Spellbound,nm0000033,Alfred Hitchcock,Spellbound,1945.0,Others,266780
tt0040897,1948,International Award,Best Score,True,True,The Treasure of the Sierra Madre,nm0000070,Max Steiner,The Treasure of the Sierra Madre,1948.0,Others,4642886
tt0040338,1948,International Award,Best Screenplay,True,True,The Fallen Idol,nm0001294,Graham Greene,The Fallen Idol,1949.0,Drama,7669725
tt0038499,1948,Cinecittà Cup,,True,True,Duel in the Sun,nm0006388,David O. Selznick,Duel in the Sun,1946.0,Drama,485385898
tt0040725,1948,Grand International Award,,False,False,The Red Shoes,nm0003836,Michael Powell,The Red Shoes,1948.0,Drama,315926
tt0040497,1949,Golden Lion,,False,True,Jour de fête,nm0004244,Jacques Tati,Jour de Fête,1952.0,Comedy,269938
