tconst,Year,awardName,categoryName,isWinner,otherAwards,primaryNominees,nconst,secondaryNominees,Name,releaseYear,Genre1,AdjustedTotalGross
tt0100905,1989,Robert and Frances Flaherty Prize,,False,True,Weapons of the Spirit,nm0767143,Pierre Sauvage,Weapons of the Spirit,1989.0,Documentary,952605
tt0099028,1991,Robert and Frances Flaherty Prize,,False,True,American Dream,nm0465932,Barbara Kopple,American Dream,1990.0,Documentary,1032999
tt0104360,1991,Robert and Frances Flaherty Prize,,False,False,The Good Woman of Bangkok,nm0642536,Dennis O'Rourke,The Good Woman of Bangkok,1992.0,Drama,377834
tt0106225,1993,Robert and Frances Flaherty Prize,,False,False,"Africa, I Will Fleece You",nm0879403,Jean-Marie Téno,"Africa, I Will Fleece You",2002.0,Documentary,3027
tt0103888,1993,Robert and Frances Flaherty Prize,,False,False,Brother's Keeper,nm0075666,Joe Berlinger,Brother's Keeper,1992.0,Others,4723623
tt0109381,1995,Robert and Frances Flaherty Prize,,False,False,Carmen Miranda: Bananas Is My Business,nm0812773,Helena Solberg,Carmen Miranda: Bananas Is My Business,1995.0,Others,48689
tt0109508,1995,Robert and Frances Flaherty Prize,,False,False,Crumb,nm0959062,Terry Zwigoff,Crumb,1995.0,Others,10232293
tt0110057,1995,Robert and Frances Flaherty Prize,,False,False,Hoop Dreams,nm0416945,Steve James,Hoop Dreams,1994.0,Documentary,33607932
tt0138677,1999,Robert and Frances Flaherty Prize,,False,True,Het ondergronds orkest,nm0393322,Heddy Honigmann,Het ondergronds orkest,1999.0,Documentary,13365
tt0192335,1999,Robert and Frances Flaherty Prize,,False,False,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",nm0001554,Errol Morris,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",2000.0,Others,1537953
tt0139500,2001,Robert and Frances Flaherty Prize,,False,True,In Vanda's Room,nm0182276,Pedro Costa,In Vanda's Room,2001.0,Drama,4223
tt0236576,2001,Robert and Frances Flaherty Prize,,False,False,Paragraph 175,nm0258531,Rob Epstein,Paragraph 175,2000.0,Documentary,297157
tt2109126,2001,Ogawa Shinsuke Prize,,False,True,Farewell,nm4769759,Yun Hwang,Farewell,2001.0,Documentary,17257
tt0368954,2003,Robert and Frances Flaherty Prize,,False,True,S21: The Khmer Rouge Killing Machine,nm0659454,Rithy Panh,S21: The Khmer Rouge Killing Machine,2003.0,Documentary,63757
tt0334416,2003,Robert and Frances Flaherty Prize,,False,True,Stevie,nm0416945,Steve James,Stevie,2003.0,Documentary,290852
tt0424024,2005,Robert and Frances Flaherty Prize,,False,True,Darwin's Nightmare,nm0767012,Hubert Sauper,Darwin's Nightmare,2005.0,Documentary,4182824
tt0424272,2005,Robert and Frances Flaherty Prize,,False,False,Melancholian 3 huonetta,nm0393345,Pirjo Honkasalo,Melancholian 3 huonetta,2005.0,Documentary,51771
tt0492454,2005,Ogawa Shinsuke Prize,,False,True,Dear Pyongyang,nm2134169,Yong-hi Yang,Dear Pyongyang,2006.0,Documentary,20209
tt0989030,2007,Robert and Frances Flaherty Prize,,False,True,M,nm2594154,Nicolás Prividera,M,2007.0,Documentary,6488
tt0905361,2007,Robert and Frances Flaherty Prize,,False,False,Protagonist,nm0950506,Jessica Yu,Protagonist,2007.0,Documentary,34970
tt0782690,2007,Robert and Frances Flaherty Prize,,False,False,Revolution,nm0007385,Jouko Aaltonen,Revolution,2006.0,Documentary,69078
tt0925259,2007,Robert and Frances Flaherty Prize,,False,False,The Monastery: Mr. Vig and the Nun,nm1279549,Pernille Rose Grønkjær,The Monastery: Mr. Vig and the Nun,2007.0,Documentary,30787
tt1444306,2009,Robert and Frances Flaherty Prize,,False,True,Oblivion,nm0393322,Heddy Honigmann,Oblivion,2008.0,Documentary,22742
tt1270680,2009,Robert and Frances Flaherty Prize,,False,False,Puisque nous sommes nés,nm0004202,Jean-Pierre Duret,Puisque nous sommes nés,2009.0,Documentary,87293
tt1397511,2009,Robert and Frances Flaherty Prize,,False,False,RiP: A Remix Manifesto,nm0310924,Brett Gaylor,RiP: A Remix Manifesto,2009.0,Documentary,502
tt1094277,2009,Robert and Frances Flaherty Prize,,False,False,Staub,nm0084478,Hartmut Bitomsky,Staub,2008.0,Documentary,16478
tt1323518,2009,Robert and Frances Flaherty Prize,,False,True,The Fortress,nm0577663,Fernand Melgar,The Fortress,2009.0,Documentary,139454
